page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     330   330  rgb     3   8  jpeg   yes      311  0   200   200 18.9K 5.9%
   1     1 smask     330   330  gray    1   8  image  no       311  0   200   200 30.0K  28%
   3     2 image     630   341  rgb     3   8  jpeg   yes      329  0   150   150 53.9K 8.6%
   4     3 image     456   612  rgb     3   8  jpeg   yes      333  0   157   157 29.8K 3.6%
   5     4 image    1204   234  rgb     3   8  image  no       342  0   200   199 75.8K 9.2%
   5     5 image     787   460  rgb     3   8  image  no       341  0   131   131 57.9K 5.5%
   6     6 image    1011   527  rgb     3   8  image  no       347  0   168   168 69.0K 4.4%
   7     7 image    1218   206  rgb     3   8  image  no       349  0   202   202 50.8K 6.9%
   9     8 image    1325   994  rgb     3   8  jpeg   yes      279  0   220   220  184K 4.8%
   9     9 image    1325   994  rgb     3   8  jpeg   yes      280  0   220   220  279K 7.2%
  10    10 image    1163   655  rgb     3   8  jpeg   yes      284  0   209   208  102K 4.6%
  11    11 image    1269   953  rgb     3   8  image  no       296  0   220   220 33.1K 0.9%
  12    12 image    1269   953  rgb     3   8  image  no       299  0   220   220 33.6K 0.9%
  15    13 image     993   623  rgb     3   8  image  no       259  0   165   165 4826B 0.3%
  15    14 image     841   706  rgb     3   8  image  no       260  0   171   171 16.4K 0.9%
  16    15 image     806   606  rgb     3   8  jpeg   yes      262  0   220   220 36.4K 2.5%
  16    16 image     806   606  rgb     3   8  jpeg   yes      263  0   220   220 30.9K 2.2%
  17    17 image     806   606  rgb     3   8  jpeg   yes      265  0   220   220 42.8K 3.0%
  17    18 image     806   606  rgb     3   8  jpeg   yes      266  0   220   220 41.7K 2.9%
  17    19 image     806   606  rgb     3   8  jpeg   yes      267  0   220   220 31.0K 2.2%
  18    20 image    1077   810  rgb     3   8  jpeg   yes      200  0   257   257 68.2K 2.7%
  20    21 image    1537   423  rgb     3   8  image  no       216  0   255   255  132K 6.9%
  20    22 image     675   403  rgb     3   8  jpeg   yes      217  0   200   200 15.4K 1.9%
  23    23 image    1535   297  rgb     3   8  image  no        76  0   255   255  118K 8.8%
  28    24 image    1071   952  rgb     3   8  jpeg   yes       56  0   220   220  115K 3.9%
  28    25 image    1071   952  rgb     3   8  jpeg   yes       57  0   220   220  121K 4.1%
  29    26 image    1170  1040  rgb     3   8  jpeg   yes       68  0   220   220  127K 3.6%
  29    27 image     945   592  rgb     3   8  jpeg   yes       69  0   184   184 22.1K 1.4%
  30    28 image    1535   297  rgb     3   8  image  no        76  0   255   255  118K 8.8%
  30    29 image     549   400  rgb     3   8  jpeg   yes       77  0   200   200 33.0K 5.1%
  30    30 image     947   453  rgb     3   8  jpeg   yes       78  0   261   261 46.9K 3.7%
  31    31 image    1509   407  rgb     3   8  image  no        82  0   251   251 72.4K 4.0%
