passage_index,passage_id,span,gate_index,catwalk,subsystem,mct_node,component_id,component_name,authority_category,authority,quantity_at_station_per_catwalk,unit_weight_kn,weight_kn_per_catwalk_station,mass_tonne_per_catwalk_station,original_distribution_node_count,original_weight_kn_per_node,original_mass_tonne_per_node,original_ansys_nodes,original_mass21_elements,relocation_note
1,H01,north_side,3,1,bottom,42,cross_passage_half,横向通道（每幅计1/2）,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,49.69,49.69,5.067305731184989,16,3.105625,0.3167066081990618,42;770;1498;2226;2954;3682;4410;5138;5866;6594;7322;8050;8778;9506;10234;10962,500034;500727;501420;502113;502806;503499;504192;504885;505578;506271;506964;507657;508350;509043;509736;510429,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
1,H01,north_side,3,1,bottom,42,main_cable_restrainer,主缆抑位器,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,14.72,14.72,1.5011217621864166,16,0.92,0.09382011013665104,42;770;1498;2226;2954;3682;4410;5138;5866;6594;7322;8050;8778;9506;10234;10962,500034;500727;501420;502113;502806;503499;504192;504885;505578;506271;506964;507657;508350;509043;509736;510429,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
1,H01,north_side,3,1,bottom,42,gate_bottom_beam,猫道门架下横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,3.18,3.18,0.324291250254946,16,0.19875,0.020268203140934124,42;770;1498;2226;2954;3682;4410;5138;5866;6594;7322;8050;8778;9506;10234;10962,500034;500727;501420;502113;502806;503499;504192;504885;505578;506271;506964;507657;508350;509043;509736;510429,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
1,H01,north_side,3,1,bottom,42,pws_roller,PWS滚筒组,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.21,1.21,0.12339384050581277,16,0.075625,0.007712115031613298,42;770;1498;2226;2954;3682;4410;5138;5866;6594;7322;8050;8778;9506;10234;10962,500034;500727;501420;502113;502806;503499;504192;504885;505578;506271;506964;507657;508350;509043;509736;510429,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
1,H01,north_side,3,1,bottom,42,large_crossbeam,大横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.32,1.32,0.1346114623699776,16,0.0825,0.0084132163981236,42;770;1498;2226;2954;3682;4410;5138;5866;6594;7322;8050;8778;9506;10234;10962,500034;500727;501420;502113;502806;503499;504192;504885;505578;506271;506964;507657;508350;509043;509736;510429,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
1,H01,north_side,3,1,gate,1018,cross_passage_tri_gate,横通道三角门架,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,12.36,12.36,1.2604527840097899,6,2.06,0.21007546400163166,11666;12061;12456;12851;13246;13641,511090;511161;511232;511303;511374;511445,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
1,H01,north_side,3,1,gate,1018,guide_roller,门架导轮组,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,9.196,9.196,0.9377931878441771,6,1.5326666666666666,0.15629886464069617,11666;12061;12456;12851;13246;13641,511090;511161;511232;511303;511374;511445,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
1,H01,north_side,3,2,bottom,42,cross_passage_half,横向通道（每幅计1/2）,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,49.69,49.69,5.067305731184989,16,3.105625,0.3167066081990618,14060;14788;15516;16244;16972;17700;18428;19156;19884;20612;21340;22068;22796;23524;24252;24980,511548;512241;512934;513627;514320;515013;515706;516399;517092;517785;518478;519171;519864;520557;521250;521943,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
1,H01,north_side,3,2,bottom,42,main_cable_restrainer,主缆抑位器,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,14.72,14.72,1.5011217621864166,16,0.92,0.09382011013665104,14060;14788;15516;16244;16972;17700;18428;19156;19884;20612;21340;22068;22796;23524;24252;24980,511548;512241;512934;513627;514320;515013;515706;516399;517092;517785;518478;519171;519864;520557;521250;521943,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
1,H01,north_side,3,2,bottom,42,gate_bottom_beam,猫道门架下横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,3.18,3.18,0.324291250254946,16,0.19875,0.020268203140934124,14060;14788;15516;16244;16972;17700;18428;19156;19884;20612;21340;22068;22796;23524;24252;24980,511548;512241;512934;513627;514320;515013;515706;516399;517092;517785;518478;519171;519864;520557;521250;521943,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
1,H01,north_side,3,2,bottom,42,pws_roller,PWS滚筒组,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.21,1.21,0.12339384050581277,16,0.075625,0.007712115031613298,14060;14788;15516;16244;16972;17700;18428;19156;19884;20612;21340;22068;22796;23524;24252;24980,511548;512241;512934;513627;514320;515013;515706;516399;517092;517785;518478;519171;519864;520557;521250;521943,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
