passage_index,passage_id,span,gate_index,catwalk,subsystem,mct_node,rope_index,ansys_node,mass21_element_id,component_id,component_name,component_quantity_at_station,component_weight_kn_per_catwalk_station,distribution_node_count,component_weight_kn_at_node,component_mass_tonne_at_node,allocation_note
1,H01,north_side,3,1,bottom,42,1,42,500034,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,1,42,500034,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,1,42,500034,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,1,42,500034,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,1,42,500034,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,2,770,500727,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,2,770,500727,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,2,770,500727,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,2,770,500727,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,2,770,500727,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,3,1498,501420,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,3,1498,501420,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,3,1498,501420,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,3,1498,501420,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,3,1498,501420,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,4,2226,502113,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,4,2226,502113,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,4,2226,502113,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,4,2226,502113,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,4,2226,502113,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,5,2954,502806,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,5,2954,502806,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,5,2954,502806,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,5,2954,502806,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,5,2954,502806,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,6,3682,503499,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,6,3682,503499,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,6,3682,503499,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,6,3682,503499,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,6,3682,503499,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,7,4410,504192,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,7,4410,504192,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,7,4410,504192,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,7,4410,504192,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,7,4410,504192,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,8,5138,504885,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,8,5138,504885,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,8,5138,504885,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,8,5138,504885,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,8,5138,504885,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,9,5866,505578,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,9,5866,505578,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,9,5866,505578,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,9,5866,505578,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,9,5866,505578,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,10,6594,506271,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,10,6594,506271,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,10,6594,506271,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,10,6594,506271,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,10,6594,506271,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,11,7322,506964,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,11,7322,506964,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,11,7322,506964,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,11,7322,506964,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,11,7322,506964,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,12,8050,507657,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,12,8050,507657,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,12,8050,507657,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,12,8050,507657,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,12,8050,507657,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,13,8778,508350,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,13,8778,508350,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,13,8778,508350,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,13,8778,508350,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,13,8778,508350,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,14,9506,509043,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,14,9506,509043,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,14,9506,509043,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,14,9506,509043,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,14,9506,509043,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,15,10234,509736,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,15,10234,509736,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,15,10234,509736,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,15,10234,509736,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,15,10234,509736,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,16,10962,510429,cross_passage_half,横向通道（每幅计1/2）,1,49.69,16,3.105625,0.3167066081990618,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,16,10962,510429,main_cable_restrainer,主缆抑位器,1,14.72,16,0.92,0.09382011013665104,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,16,10962,510429,gate_bottom_beam,猫道门架下横梁,1,3.18,16,0.19875,0.020268203140934124,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,16,10962,510429,pws_roller,PWS滚筒组,1,1.21,16,0.075625,0.007712115031613298,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,bottom,42,16,10962,510429,large_crossbeam,大横梁,1,1.32,16,0.0825,0.0084132163981236,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,gate,1018,1,11666,511090,cross_passage_tri_gate,横通道三角门架,1,12.36,6,2.06,0.21007546400163168,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,gate,1018,1,11666,511090,guide_roller,门架导轮组,1,9.196,6,1.5326666666666666,0.15629886464069617,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,gate,1018,2,12061,511161,cross_passage_tri_gate,横通道三角门架,1,12.36,6,2.06,0.21007546400163168,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,gate,1018,2,12061,511161,guide_roller,门架导轮组,1,9.196,6,1.5326666666666666,0.15629886464069617,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,gate,1018,3,12456,511232,cross_passage_tri_gate,横通道三角门架,1,12.36,6,2.06,0.21007546400163168,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,gate,1018,3,12456,511232,guide_roller,门架导轮组,1,9.196,6,1.5326666666666666,0.15629886464069617,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
1,H01,north_side,3,1,gate,1018,4,12851,511303,cross_passage_tri_gate,横通道三角门架,1,12.36,6,2.06,0.21007546400163168,当前MASS21只保存组合质量；本行是按权威分项/物理索数等分得到的可迁移份额，不是现有独立MASS21单元。
