passage_index,passage_id,span,gate_index,catwalk,gate_name,centerline_element_id,n1,n2,member
1,H01,north_side,3,1,CW1_GATE_03,17,33,34,bottom_beam
1,H01,north_side,3,1,CW1_GATE_03,18,35,36,top_beam
1,H01,north_side,3,1,CW1_GATE_03,19,37,38,left_post
1,H01,north_side,3,1,CW1_GATE_03,20,39,40,right_post
1,H01,north_side,3,2,CW2_GATE_03,21,41,42,bottom_beam
1,H01,north_side,3,2,CW2_GATE_03,22,43,44,top_beam
1,H01,north_side,3,2,CW2_GATE_03,23,45,46,left_post
1,H01,north_side,3,2,CW2_GATE_03,24,47,48,right_post
2,H02,north_side,6,1,CW1_GATE_06,41,81,82,bottom_beam
2,H02,north_side,6,1,CW1_GATE_06,42,83,84,top_beam
2,H02,north_side,6,1,CW1_GATE_06,43,85,86,left_post
2,H02,north_side,6,1,CW1_GATE_06,44,87,88,right_post
2,H02,north_side,6,2,CW2_GATE_06,45,89,90,bottom_beam
2,H02,north_side,6,2,CW2_GATE_06,46,91,92,top_beam
2,H02,north_side,6,2,CW2_GATE_06,47,93,94,left_post
2,H02,north_side,6,2,CW2_GATE_06,48,95,96,right_post
3,H03,north_side,9,1,CW1_GATE_09,65,129,130,bottom_beam
3,H03,north_side,9,1,CW1_GATE_09,66,131,132,top_beam
3,H03,north_side,9,1,CW1_GATE_09,67,133,134,left_post
3,H03,north_side,9,1,CW1_GATE_09,68,135,136,right_post
3,H03,north_side,9,2,CW2_GATE_09,69,137,138,bottom_beam
3,H03,north_side,9,2,CW2_GATE_09,70,139,140,top_beam
3,H03,north_side,9,2,CW2_GATE_09,71,141,142,left_post
3,H03,north_side,9,2,CW2_GATE_09,72,143,144,right_post
4,H04,main_span,14,1,CW1_GATE_14,105,209,210,bottom_beam
4,H04,main_span,14,1,CW1_GATE_14,106,211,212,top_beam
4,H04,main_span,14,1,CW1_GATE_14,107,213,214,left_post
4,H04,main_span,14,1,CW1_GATE_14,108,215,216,right_post
4,H04,main_span,14,2,CW2_GATE_14,109,217,218,bottom_beam
4,H04,main_span,14,2,CW2_GATE_14,110,219,220,top_beam
4,H04,main_span,14,2,CW2_GATE_14,111,221,222,left_post
4,H04,main_span,14,2,CW2_GATE_14,112,223,224,right_post
5,H05,main_span,17,1,CW1_GATE_17,129,257,258,bottom_beam
5,H05,main_span,17,1,CW1_GATE_17,130,259,260,top_beam
5,H05,main_span,17,1,CW1_GATE_17,131,261,262,left_post
5,H05,main_span,17,1,CW1_GATE_17,132,263,264,right_post
5,H05,main_span,17,2,CW2_GATE_17,133,265,266,bottom_beam
5,H05,main_span,17,2,CW2_GATE_17,134,267,268,top_beam
5,H05,main_span,17,2,CW2_GATE_17,135,269,270,left_post
5,H05,main_span,17,2,CW2_GATE_17,136,271,272,right_post
6,H06,main_span,20,1,CW1_GATE_20,153,305,306,bottom_beam
6,H06,main_span,20,1,CW1_GATE_20,154,307,308,top_beam
6,H06,main_span,20,1,CW1_GATE_20,155,309,310,left_post
6,H06,main_span,20,1,CW1_GATE_20,156,311,312,right_post
6,H06,main_span,20,2,CW2_GATE_20,157,313,314,bottom_beam
6,H06,main_span,20,2,CW2_GATE_20,158,315,316,top_beam
6,H06,main_span,20,2,CW2_GATE_20,159,317,318,left_post
6,H06,main_span,20,2,CW2_GATE_20,160,319,320,right_post
7,H07,main_span,23,1,CW1_GATE_23,177,353,354,bottom_beam
7,H07,main_span,23,1,CW1_GATE_23,178,355,356,top_beam
7,H07,main_span,23,1,CW1_GATE_23,179,357,358,left_post
7,H07,main_span,23,1,CW1_GATE_23,180,359,360,right_post
7,H07,main_span,23,2,CW2_GATE_23,181,361,362,bottom_beam
7,H07,main_span,23,2,CW2_GATE_23,182,363,364,top_beam
7,H07,main_span,23,2,CW2_GATE_23,183,365,366,left_post
7,H07,main_span,23,2,CW2_GATE_23,184,367,368,right_post
8,H08,main_span,26,1,CW1_GATE_26,201,401,402,bottom_beam
8,H08,main_span,26,1,CW1_GATE_26,202,403,404,top_beam
8,H08,main_span,26,1,CW1_GATE_26,203,405,406,left_post
8,H08,main_span,26,1,CW1_GATE_26,204,407,408,right_post
8,H08,main_span,26,2,CW2_GATE_26,205,409,410,bottom_beam
8,H08,main_span,26,2,CW2_GATE_26,206,411,412,top_beam
8,H08,main_span,26,2,CW2_GATE_26,207,413,414,left_post
8,H08,main_span,26,2,CW2_GATE_26,208,415,416,right_post
9,H09,main_span,29,1,CW1_GATE_29,225,449,450,bottom_beam
9,H09,main_span,29,1,CW1_GATE_29,226,451,452,top_beam
9,H09,main_span,29,1,CW1_GATE_29,227,453,454,left_post
9,H09,main_span,29,1,CW1_GATE_29,228,455,456,right_post
9,H09,main_span,29,2,CW2_GATE_29,229,457,458,bottom_beam
9,H09,main_span,29,2,CW2_GATE_29,230,459,460,top_beam
9,H09,main_span,29,2,CW2_GATE_29,231,461,462,left_post
9,H09,main_span,29,2,CW2_GATE_29,232,463,464,right_post
10,H10,main_span,32,1,CW1_GATE_32,249,497,498,bottom_beam
10,H10,main_span,32,1,CW1_GATE_32,250,499,500,top_beam
10,H10,main_span,32,1,CW1_GATE_32,251,501,502,left_post
10,H10,main_span,32,1,CW1_GATE_32,252,503,504,right_post
10,H10,main_span,32,2,CW2_GATE_32,253,505,506,bottom_beam
10,H10,main_span,32,2,CW2_GATE_32,254,507,508,top_beam
10,H10,main_span,32,2,CW2_GATE_32,255,509,510,left_post
10,H10,main_span,32,2,CW2_GATE_32,256,511,512,right_post
11,H11,main_span,35,1,CW1_GATE_35,273,545,546,bottom_beam
11,H11,main_span,35,1,CW1_GATE_35,274,547,548,top_beam
11,H11,main_span,35,1,CW1_GATE_35,275,549,550,left_post
11,H11,main_span,35,1,CW1_GATE_35,276,551,552,right_post
11,H11,main_span,35,2,CW2_GATE_35,277,553,554,bottom_beam
11,H11,main_span,35,2,CW2_GATE_35,278,555,556,top_beam
11,H11,main_span,35,2,CW2_GATE_35,279,557,558,left_post
11,H11,main_span,35,2,CW2_GATE_35,280,559,560,right_post
12,H12,main_span,38,1,CW1_GATE_38,297,593,594,bottom_beam
12,H12,main_span,38,1,CW1_GATE_38,298,595,596,top_beam
12,H12,main_span,38,1,CW1_GATE_38,299,597,598,left_post
12,H12,main_span,38,1,CW1_GATE_38,300,599,600,right_post
12,H12,main_span,38,2,CW2_GATE_38,301,601,602,bottom_beam
12,H12,main_span,38,2,CW2_GATE_38,302,603,604,top_beam
12,H12,main_span,38,2,CW2_GATE_38,303,605,606,left_post
12,H12,main_span,38,2,CW2_GATE_38,304,607,608,right_post
13,H13,main_span,41,1,CW1_GATE_41,321,641,642,bottom_beam
13,H13,main_span,41,1,CW1_GATE_41,322,643,644,top_beam
13,H13,main_span,41,1,CW1_GATE_41,323,645,646,left_post
13,H13,main_span,41,1,CW1_GATE_41,324,647,648,right_post
13,H13,main_span,41,2,CW2_GATE_41,325,649,650,bottom_beam
13,H13,main_span,41,2,CW2_GATE_41,326,651,652,top_beam
13,H13,main_span,41,2,CW2_GATE_41,327,653,654,left_post
13,H13,main_span,41,2,CW2_GATE_41,328,655,656,right_post
14,H14,main_span,44,1,CW1_GATE_44,345,689,690,bottom_beam
14,H14,main_span,44,1,CW1_GATE_44,346,691,692,top_beam
14,H14,main_span,44,1,CW1_GATE_44,347,693,694,left_post
14,H14,main_span,44,1,CW1_GATE_44,348,695,696,right_post
14,H14,main_span,44,2,CW2_GATE_44,349,697,698,bottom_beam
14,H14,main_span,44,2,CW2_GATE_44,350,699,700,top_beam
14,H14,main_span,44,2,CW2_GATE_44,351,701,702,left_post
14,H14,main_span,44,2,CW2_GATE_44,352,703,704,right_post
