local_element_index,n1_local,n2_local,section_key,member,source_member_id,length_mm
1,1,3,passage_chord152,主弦杆,LT:TAIL-M01-01,150.000000000000
2,3,6,passage_chord152,主弦杆,LT:TAIL-M01-01,450.000000000000
3,6,157,passage_chord152,主弦杆,LT:TAIL-M01-01,140.000000000000
4,157,159,passage_chord152,主弦杆,LT:TAIL-M01-01,260.000000000000
5,159,161,passage_chord152,主弦杆,LT:TAIL-M01-01,260.000000000000
6,161,9,passage_chord152,主弦杆,LT:TAIL-M01-01,100.000000000000
7,9,163,passage_chord152,主弦杆,LT:TAIL-M01-01,160.000000000000
8,163,165,passage_chord152,主弦杆,LT:TAIL-M01-01,260.000000000000
9,165,167,passage_chord152,主弦杆,LT:TAIL-M01-01,260.000000000000
10,167,169,passage_chord152,主弦杆,LT:TAIL-M01-01,260.000000000000
11,169,11,passage_chord152,主弦杆,LT:TAIL-M01-01,135.000000000000
12,11,171,passage_chord152,主弦杆,LT:TAIL-M01-01,125.000000000000
13,171,14,passage_chord152,主弦杆,LT:TAIL-M01-01,950.000000000000
14,14,173,passage_chord152,主弦杆,LT:TAIL-M01-01,750.000000000000
15,173,175,passage_chord152,主弦杆,LT:TAIL-M01-01,260.000000000000
16,175,16,passage_chord152,主弦杆,LT:TAIL-M01-01,65.000000000000
17,16,177,passage_chord152,主弦杆,LT:TAIL-M01-01,195.000000000000
18,177,179,passage_chord152,主弦杆,LT:TAIL-M01-01,260.000000000000
19,179,181,passage_chord152,主弦杆,LT:TAIL-M01-01,260.000000000000
20,181,183,passage_chord152,主弦杆,LT:TAIL-M01-01,260.000000000000
21,183,19,passage_chord152,主弦杆,LT:TAIL-M01-01,100.000000000000
22,19,185,passage_chord152,主弦杆,LT:TAIL-M01-01,160.000000000000
23,185,187,passage_chord152,主弦杆,LT:TAIL-M01-01,260.000000000000
24,187,25,passage_chord152,主弦杆,LT:TAIL-M01-01,350.000000000000
25,25,34,passage_chord152,主弦杆,LT:TAIL-M01-01,170.000000000000
26,34,28,passage_chord152,主弦杆,LT:TAIL-M01-01,100.000000000000
27,0,5,passage_chord152,主弦杆,LT:TAIL-M01-02,600.000000000000
28,5,8,passage_chord152,主弦杆,LT:TAIL-M01-02,760.000000000000
29,8,13,passage_chord152,主弦杆,LT:TAIL-M01-02,2150.000000000000
30,13,18,passage_chord152,主弦杆,LT:TAIL-M01-02,2150.000000000000
31,18,24,passage_chord152,主弦杆,LT:TAIL-M01-02,770.000000000000
32,24,33,passage_chord152,主弦杆,LT:TAIL-M01-02,170.000000000000
33,33,27,passage_chord152,主弦杆,LT:TAIL-M01-02,100.000000000000
34,2,4,passage_chord152,主弦杆,LT:TAIL-M01-03,150.000000000000
35,4,7,passage_chord152,主弦杆,LT:TAIL-M01-03,450.000000000000
36,7,158,passage_chord152,主弦杆,LT:TAIL-M01-03,140.000000000000
37,158,160,passage_chord152,主弦杆,LT:TAIL-M01-03,260.000000000000
38,160,162,passage_chord152,主弦杆,LT:TAIL-M01-03,260.000000000000
39,162,10,passage_chord152,主弦杆,LT:TAIL-M01-03,100.000000000000
40,10,164,passage_chord152,主弦杆,LT:TAIL-M01-03,160.000000000000
41,164,166,passage_chord152,主弦杆,LT:TAIL-M01-03,260.000000000000
42,166,168,passage_chord152,主弦杆,LT:TAIL-M01-03,260.000000000000
43,168,170,passage_chord152,主弦杆,LT:TAIL-M01-03,260.000000000000
44,170,12,passage_chord152,主弦杆,LT:TAIL-M01-03,135.000000000000
45,12,172,passage_chord152,主弦杆,LT:TAIL-M01-03,125.000000000000
46,172,15,passage_chord152,主弦杆,LT:TAIL-M01-03,950.000000000000
47,15,174,passage_chord152,主弦杆,LT:TAIL-M01-03,750.000000000000
48,174,176,passage_chord152,主弦杆,LT:TAIL-M01-03,260.000000000000
49,176,17,passage_chord152,主弦杆,LT:TAIL-M01-03,65.000000000000
50,17,178,passage_chord152,主弦杆,LT:TAIL-M01-03,195.000000000000
51,178,180,passage_chord152,主弦杆,LT:TAIL-M01-03,260.000000000000
52,180,182,passage_chord152,主弦杆,LT:TAIL-M01-03,260.000000000000
53,182,184,passage_chord152,主弦杆,LT:TAIL-M01-03,260.000000000000
54,184,23,passage_chord152,主弦杆,LT:TAIL-M01-03,100.000000000000
55,23,186,passage_chord152,主弦杆,LT:TAIL-M01-03,160.000000000000
56,186,188,passage_chord152,主弦杆,LT:TAIL-M01-03,260.000000000000
57,188,26,passage_chord152,主弦杆,LT:TAIL-M01-03,350.000000000000
58,26,38,passage_chord152,主弦杆,LT:TAIL-M01-03,170.000000000000
59,38,32,passage_chord152,主弦杆,LT:TAIL-M01-03,100.000000000000
60,6,5,passage_frame102,端部横架,LT:TAIL-M02-01,1858.090417606205
61,7,5,passage_frame102,端部横架,LT:TAIL-M02-02,1858.090417606205
62,9,8,passage_frame102,端部横架,LT:TAIL-M02-03,1858.090417606205
63,10,8,passage_frame102,端部横架,LT:TAIL-M02-04,1858.090417606205
64,19,18,passage_frame102,端部横架,LT:TAIL-M02-05,1858.090417606205
65,23,18,passage_frame102,端部横架,LT:TAIL-M02-06,1858.090417606205
66,25,24,passage_frame102,端部横架,LT:TAIL-M02-07,1858.090417606205
67,26,24,passage_frame102,端部横架,LT:TAIL-M02-08,1858.090417606205
68,6,7,passage_frame102,端部横架,LT:TAIL-M03-01,1500.000000000000
69,9,10,passage_frame102,端部横架,LT:TAIL-M03-02,1500.000000000000
70,19,20,passage_frame102,端部横架,LT:TAIL-M03-03,375.000000000000
71,20,21,passage_frame102,端部横架,LT:TAIL-M03-03,375.000000000000
72,21,22,passage_frame102,端部横架,LT:TAIL-M03-03,375.000000000000
73,22,23,passage_frame102,端部横架,LT:TAIL-M03-03,375.000000000000
74,25,221,passage_frame102,端部横架,LT:TAIL-M03-04,375.000000000000
75,221,222,passage_frame102,端部横架,LT:TAIL-M03-04,375.000000000000
76,222,223,passage_frame102,端部横架,LT:TAIL-M03-04,375.000000000000
77,223,26,passage_frame102,端部横架,LT:TAIL-M03-04,375.000000000000
78,3,5,passage_brace51,侧面腹杆,LT:TAIL-M04-01,1911.805429430516
79,4,5,passage_brace51,侧面腹杆,LT:TAIL-M04-02,1911.805429430516
80,6,8,passage_brace51,侧面腹杆,LT:TAIL-M05-01,2007.510896608036
81,7,8,passage_brace51,侧面腹杆,LT:TAIL-M05-02,2007.510896608036
82,8,11,passage_brace51,侧面腹杆,LT:TAIL-M06-01,2146.654373670806
83,8,12,passage_brace51,侧面腹杆,LT:TAIL-M06-02,2146.654373670806
84,11,13,passage_brace51,侧面腹杆,LT:TAIL-M06-03,2146.654373670806
85,12,13,passage_brace51,侧面腹杆,LT:TAIL-M06-04,2146.654373670806
86,13,16,passage_brace51,侧面腹杆,LT:TAIL-M06-05,2146.654373670806
87,13,17,passage_brace51,侧面腹杆,LT:TAIL-M06-06,2146.654373670806
88,16,18,passage_brace51,侧面腹杆,LT:TAIL-M06-07,2146.654373670806
89,17,18,passage_brace51,侧面腹杆,LT:TAIL-M06-08,2146.654373670806
90,18,25,passage_brace51,侧面腹杆,LT:TAIL-M07-01,2011.317975855633
91,18,26,passage_brace51,侧面腹杆,LT:TAIL-M07-02,2011.317975855633
92,3,7,passage_brace51,平面斜撑,LT:TAIL-M08-01,1566.045976336582
93,7,9,passage_brace51,平面斜撑,LT:TAIL-M09-01,1681.546906868791
94,9,12,passage_brace51,平面斜撑,LT:TAIL-M10-01,1845.433553396058
95,16,23,passage_brace51,平面斜撑,LT:TAIL-M10-02,1845.433553396058
96,12,224,passage_brace51,平面斜撑,LT:TAIL-M11-01,1310.772672891833
97,224,16,passage_brace51,平面斜撑,LT:TAIL-M11-01,1310.772672891833
98,23,227,passage_brace51,平面斜撑,LT:TAIL-M12-01,421.522537950226
99,227,226,passage_brace51,平面斜撑,LT:TAIL-M12-01,421.522537950226
100,226,225,passage_brace51,平面斜撑,LT:TAIL-M12-01,421.522537950226
101,225,25,passage_brace51,平面斜撑,LT:TAIL-M12-01,421.522537950226
102,11,12,passage_brace51,内部横梁,LT:TAIL-M13-01,1500.000000000000
103,14,224,passage_brace51,内部横梁,LT:TAIL-M13-02,750.000000000000
104,224,15,passage_brace51,内部横梁,LT:TAIL-M13-02,750.000000000000
105,16,17,passage_brace51,内部横梁,LT:TAIL-M13-03,1500.000000000000
106,20,225,passage_rhs50x30,纵向方矩管,LT:TAIL-M14-01,577.500000000000
107,225,221,passage_rhs50x30,纵向方矩管,LT:TAIL-M14-01,192.500000000000
108,221,35,passage_rhs50x30,纵向方矩管,LT:TAIL-M14-01,170.000000000000
109,35,29,passage_rhs50x30,纵向方矩管,LT:TAIL-M14-01,100.000000000000
110,21,226,passage_rhs50x30,纵向方矩管,LT:TAIL-M14-02,385.000000000000
111,226,222,passage_rhs50x30,纵向方矩管,LT:TAIL-M14-02,385.000000000000
112,222,36,passage_rhs50x30,纵向方矩管,LT:TAIL-M14-02,170.000000000000
113,36,30,passage_rhs50x30,纵向方矩管,LT:TAIL-M14-02,100.000000000000
114,22,227,passage_rhs50x30,纵向方矩管,LT:TAIL-M14-03,192.500000000000
115,227,223,passage_rhs50x30,纵向方矩管,LT:TAIL-M14-03,577.500000000000
116,223,37,passage_rhs50x30,纵向方矩管,LT:TAIL-M14-03,170.000000000000
117,37,31,passage_rhs50x30,纵向方矩管,LT:TAIL-M14-03,100.000000000000
118,28,40,passage_chord152,主弦杆,M1:MID-M01-01,170.000000000000
119,40,43,passage_chord152,主弦杆,M1:MID-M01-01,2250.000000000000
120,43,46,passage_chord152,主弦杆,M1:MID-M01-01,2250.000000000000
121,46,49,passage_chord152,主弦杆,M1:MID-M01-01,2250.000000000000
122,49,53,passage_chord152,主弦杆,M1:MID-M01-01,2250.000000000000
123,53,56,passage_chord152,主弦杆,M1:MID-M01-01,270.000000000000
124,27,39,passage_chord152,主弦杆,M1:MID-M01-02,170.000000000000
125,39,42,passage_chord152,主弦杆,M1:MID-M01-02,1125.000000000000
126,42,45,passage_chord152,主弦杆,M1:MID-M01-02,2250.000000000000
127,45,48,passage_chord152,主弦杆,M1:MID-M01-02,2250.000000000000
128,48,51,passage_chord152,主弦杆,M1:MID-M01-02,2250.000000000000
129,51,52,passage_chord152,主弦杆,M1:MID-M01-02,1125.000000000000
130,52,55,passage_chord152,主弦杆,M1:MID-M01-02,270.000000000000
131,32,41,passage_chord152,主弦杆,M1:MID-M01-03,170.000000000000
132,41,44,passage_chord152,主弦杆,M1:MID-M01-03,2250.000000000000
133,44,47,passage_chord152,主弦杆,M1:MID-M01-03,2250.000000000000
134,47,50,passage_chord152,主弦杆,M1:MID-M01-03,2250.000000000000
135,50,54,passage_chord152,主弦杆,M1:MID-M01-03,2250.000000000000
136,54,60,passage_chord152,主弦杆,M1:MID-M01-03,270.000000000000
137,40,39,passage_frame102,端部横架,M1:MID-M02-01,1858.090417606205
138,41,39,passage_frame102,端部横架,M1:MID-M02-02,1858.090417606205
139,53,52,passage_frame102,端部横架,M1:MID-M02-03,1858.090417606205
140,54,52,passage_frame102,端部横架,M1:MID-M02-04,1858.090417606205
141,40,228,passage_frame102,端部横架,M1:MID-M03-01,375.000000000000
142,228,229,passage_frame102,端部横架,M1:MID-M03-01,375.000000000000
143,229,230,passage_frame102,端部横架,M1:MID-M03-01,375.000000000000
144,230,41,passage_frame102,端部横架,M1:MID-M03-01,375.000000000000
145,53,231,passage_frame102,端部横架,M1:MID-M03-02,375.000000000000
146,231,232,passage_frame102,端部横架,M1:MID-M03-02,375.000000000000
147,232,233,passage_frame102,端部横架,M1:MID-M03-02,375.000000000000
148,233,54,passage_frame102,端部横架,M1:MID-M03-02,375.000000000000
149,40,42,passage_brace51,侧面腹杆,M1:MID-M04-01,2172.124536024581
150,41,42,passage_brace51,侧面腹杆,M1:MID-M04-02,2172.124536024581
151,42,43,passage_brace51,侧面腹杆,M1:MID-M04-03,2172.124536024581
152,42,44,passage_brace51,侧面腹杆,M1:MID-M04-04,2172.124536024581
153,43,45,passage_brace51,侧面腹杆,M1:MID-M04-05,2172.124536024581
154,44,45,passage_brace51,侧面腹杆,M1:MID-M04-06,2172.124536024581
155,45,46,passage_brace51,侧面腹杆,M1:MID-M04-07,2172.124536024581
156,45,47,passage_brace51,侧面腹杆,M1:MID-M04-08,2172.124536024581
157,46,48,passage_brace51,侧面腹杆,M1:MID-M04-09,2172.124536024581
158,47,48,passage_brace51,侧面腹杆,M1:MID-M04-10,2172.124536024581
159,48,49,passage_brace51,侧面腹杆,M1:MID-M04-11,2172.124536024581
160,48,50,passage_brace51,侧面腹杆,M1:MID-M04-12,2172.124536024581
161,49,51,passage_brace51,侧面腹杆,M1:MID-M04-13,2172.124536024581
162,50,51,passage_brace51,侧面腹杆,M1:MID-M04-14,2172.124536024581
163,51,53,passage_brace51,侧面腹杆,M1:MID-M04-15,2172.124536024581
164,51,54,passage_brace51,侧面腹杆,M1:MID-M04-16,2172.124536024581
165,40,234,passage_brace51,平面斜撑,M1:MID-M05-01,676.040864149498
166,234,235,passage_brace51,平面斜撑,M1:MID-M05-01,676.040864149498
