mode,frequency_hz,dominant_span,main_span_fraction,family,family_fraction,L_frac,V_frac,T_frac,half_wave,parity,template_mac2
1,0.03717922,MAIN,0.9999907748357781,L,0.9999282139248975,0.9999282139248975,1.2869021138422283e-11,7.178606223342248e-05,1,S,0.9996640476764671
2,0.0727918,MAIN,0.9999975210816338,V,0.9999999999945417,1.9485346682742787e-12,0.9999999999945417,3.5097652201208856e-12,2,A,0.9998641401033025
3,0.0740562,MAIN,0.9999634047823602,L,0.9761507623982192,0.9761507623982192,7.842661318710072e-11,0.023849237523354234,2,A,0.9988092007894428
4,0.08112811,MAIN,0.9999971574968898,T,0.9441695899503063,0.055830410046269076,3.4245262754967834e-12,0.9441695899503063,2,A,0.9995799673564543
5,0.1029565,MAIN,0.9999959628316488,V,0.9999999999582074,1.408797065436793e-12,0.9999999999582074,4.03836567174545e-11,3,S,0.6502114936479408
6,0.1048126,MAIN,0.999993956785944,T,0.95652115335885,0.04347884660051142,4.06384870062652e-11,0.95652115335885,3,S,0.637932737754339
7,0.1113595,MAIN,0.9999181405236658,L,0.9846361323958934,0.9846361323958934,6.120786701754964e-14,0.015363867604045359,3,S,0.9976327212484165
8,0.1167773,SOUTH_AUX,9.144760337319872e-07,L,0.999766621430211,0.999766621430211,4.540615795839032e-16,0.00023337856978862277,3,S,0.9399376241244323
9,0.1255105,NORTH,1.7733186297617958e-07,L,0.9999667854171713,0.9999667854171713,1.0258434850877182e-16,3.321458282861458e-05,3,S,0.5957857198853825
10,0.1380715,SOUTH_AUX,4.2134186011562385e-09,V,0.9999999991098389,3.2534914806645385e-11,0.9999999991098389,8.576262100948101e-10,1,S,0.6093119088103693
11,0.1384606,SOUTH_AUX,1.616825303182423e-08,T,0.9628085620211181,0.03719143709437133,8.845105575125702e-10,0.9628085620211181,1,S,0.6101423113358978
12,0.1446548,MAIN,0.9999967469962259,T,0.8813179243606182,0.11868207562541122,1.397065132521703e-11,0.8813179243606182,1,S,0.6209132392692391
13,0.1471651,MAIN,0.9999990465164139,V,0.9999999999651998,1.0305816730954528e-11,0.9999999999651998,2.449438389538761e-11,1,S,0.6464263402144228
14,0.1481082,MAIN,0.9998564840023186,L,0.9635810653571693,0.9635810653571693,1.6473134012405892e-11,0.03641893462635762,4,A,0.9949801072897545
15,0.1501876,MAIN,0.9999890478410521,V,0.9999999998830451,1.6100806866841717e-11,0.9999999998830451,1.0085404201968225e-10,4,A,0.9954253900641165
16,0.151692,MAIN,0.9999845512418098,T,0.9327077811561449,0.06729221872462088,1.1923421376961645e-10,0.9327077811561449,4,A,0.9981334320303963
17,0.1561335,MAIN,0.9999844499155663,V,0.9999999440622934,5.0786094838082104e-08,0.9999999440622934,5.151611789911415e-09,1,S,0.664122332516121
18,0.1621951,MAIN,0.9999728468541242,V,0.9999774823387478,1.567784491643771e-05,0.9999774823387478,6.839816335791249e-06,1,S,0.580244886523831
19,0.1674786,NORTH,1.6968160505218143e-08,T,0.913883083203037,0.08611691658546776,2.114951626607263e-10,0.913883083203037,1,S,0.3401235653429634
20,0.1680121,SOUTH,7.575629252941046e-12,L,0.9998213815636398,0.9998213815636398,1.4778497793886842e-17,0.00017861843636017465,5,S,0.5465423802953119
21,0.1687582,NORTH,1.0323201820635209e-08,V,0.9999999997829563,1.9608677442781813e-11,0.9999999997829563,1.9743508343262125e-10,1,S,0.4474617892973479
22,0.1769958,SOUTH_AUX,3.413700789939499e-07,V,0.9999910393652776,8.808546983387247e-06,0.9999910393652776,1.520877390826221e-07,1,S,0.44644089101279577
23,0.1825551,MAIN,0.9999648136283511,L,0.8512379083795383,0.8512379083795383,6.229346493249284e-14,0.14876209162039944,1,S,0.7496173133315089
24,0.1848105,MAIN,0.9999512693346736,L,0.966079810462293,0.966079810462293,1.1000243207594432e-13,0.03392018953759694,2,A,0.8040476070590714
25,0.1849136,MAIN,0.9997895882219625,L,0.9982079214189014,0.9982079214189014,4.4941012958007245e-14,0.0017920785810536586,5,S,0.981371693940845
26,0.1852697,MAIN,0.9999518291360683,V,0.9892760021986728,0.010453778085666516,0.9892760021986728,0.0002702197156606467,5,S,0.7800982650125631
27,0.1869717,NORTH,4.3096608946817245e-06,V,0.9999967540941991,2.985848076967166e-06,0.9999967540941991,2.6005772387399534e-07,5,S,0.9169879636610037
28,0.1919884,SOUTH_AUX,4.2930531795094957e-07,L,0.831604961268372,0.831604961268372,2.571240185158479e-09,0.16839503616038784,2,A,0.5041564814722587
29,0.1923295,MAIN,0.9999836421427024,V,0.9999999988631005,4.842918285324876e-10,0.9999999988631005,6.526076569030306e-10,5,S,0.9618743522204802
30,0.193302,MAIN,0.9999843832709876,T,0.9199125997220857,0.0800873996162896,6.616246595514967e-10,0.9199125997220857,5,S,0.9305004165482207
31,0.2013343,SOUTH,9.789174801038723e-08,V,0.9999999384295447,5.0353064160100776e-08,0.9999999384295447,1.1217391130921088e-08,6,A,0.74493075461687
32,0.202391,SOUTH,1.2058244489680044e-06,T,0.7983466571285814,0.201652842362282,5.005091365620643e-07,0.7983466571285814,7,S,0.41611450085027746
33,0.2051528,NORTH,0.00016550217953211713,L,0.9380749611694347,0.9380749611694347,4.0226693526180546e-05,0.061884812137039065,3,S,0.42955045553953775
34,0.2078996,MAIN,0.9998681588273041,L,0.9779328744313376,0.9779328744313376,5.600785181095453e-06,0.022061524783481265,3,S,0.8178786245808228
35,0.2088255,MAIN,0.9999027635789527,L,0.8926634110981836,0.8926634110981836,0.057946207828285703,0.049390381073530686,3,S,0.7056266311069144
36,0.2210053,SOUTH,0.001642942860415297,L,0.7776245233100761,0.7776245233100761,0.21582894649205353,0.006546530197870267,6,A,0.9216275624441964
37,0.2225824,MAIN,0.9985216599781658,L,0.9942691409716687,0.9942691409716687,0.00040454888857296793,0.005326310139758199,6,A,0.9879514351697513
38,0.2276855,MAIN,0.9992210893915693,V,0.7333931517423742,0.052017760817652,0.7333931517423742,0.21458908743997382,6,A,0.9925682256487887
39,0.2281414,MAIN,0.996263105608547,T,0.5498586440132178,0.19388266093913614,0.256258695047646,0.5498586440132178,6,A,0.9793480661478885
40,0.2288492,MAIN,0.9996539906468167,L,0.7885958149315045,0.7885958149315045,0.0012614969690477736,0.2101426880994476,4,A,0.9369869780696582
41,0.2331381,SOUTH_AUX,0.00531647939105895,L,0.9778472294486713,0.9778472294486713,0.002109164281875656,0.02004360626945303,4,A,0.6102858122448317
42,0.2357353,MAIN,0.9918755450610476,L,0.8774320013768845,0.8774320013768845,0.03538771902575767,0.08718027959735782,6,A,0.4262292591187573
43,0.23653,SOUTH,0.006379055046843742,L,0.9060327625108623,0.9060327625108623,0.00012112954355406223,0.09384610794558373,4,A,0.5999473571108538
44,0.2371422,SOUTH_AUX,0.00028036379423285223,V,0.9999533409396647,2.764421831888509e-05,0.9999533409396647,1.901484201639089e-05,6,A,0.8912576481274691
45,0.2376063,SOUTH_AUX,0.00017563813595318685,T,0.9091362197775048,0.09084141002927228,2.2370193222899118e-05,0.9091362197775048,7,S,0.6254968306702802
46,0.2496454,NORTH,0.001209585444191455,L,0.9912114797854277,0.9912114797854277,0.0002365390207859249,0.008551981193786395,5,S,0.7557301738461393
47,0.2538538,MAIN,0.9856483750501998,L,0.9636132888086916,0.9636132888086916,0.011070658972051988,0.0253160522192565,5,S,0.9484127468596455
48,0.2552333,NORTH,0.01326605463762898,V,0.964419481568344,0.015061160886513698,0.964419481568344,0.0205193575451423,7,S,0.8087298465043009
49,0.2554394,NORTH,0.0020916014363269635,T,0.9428378465765733,0.038223555823991666,0.018938597599434913,0.9428378465765733,7,S,0.47516973599872875
50,0.2588513,MAIN,0.9983146522862731,L,0.9970169013676882,0.9970169013676882,0.001195798096115779,0.0017873005361960226,7,S,0.9854688185246969
51,0.2651718,MAIN,0.9998017117399457,V,0.5669880891325688,0.027171112475180507,0.5669880891325688,0.40584079839225073,7,S,0.9922802111781202
52,0.2665459,MAIN,0.9999138202955584,V,0.663744735383675,0.010963310076409095,0.663744735383675,0.325291954539916,7,S,0.9948374024727246
53,0.2672102,MAIN,0.9987664634948134,T,0.6443458381422295,0.022586430490780452,0.33306773136699014,0.6443458381422295,7,S,0.9946775476200972
54,0.2740746,SOUTH_AUX,0.00010946438659404831,L,0.6769861814688022,0.6769861814688022,0.2294647183700859,0.09354910016111191,6,A,0.9659394583798052
55,0.2810041,MAIN,0.9987128483189515,L,0.9739710106602821,0.9739710106602821,0.0003961517197536549,0.025632837619964183,6,A,0.956920137033797
56,0.2851442,SOUTH_AUX,0.0010819170167422076,L,0.9791216294825704,0.9791216294825704,7.996517248678424e-05,0.020798405344942764,6,A,0.7218984547774124
57,0.2935969,NORTH,1.910378549399002e-05,L,0.7542425567786148,0.7542425567786148,0.1340415685333642,0.11171587468802104,8,A,0.9548672371573753
58,0.2956267,MAIN,0.9994004352095137,L,0.9978737752804627,0.9978737752804627,0.0007532814045264464,0.001372943315010714,8,A,0.9820644015164852
59,0.2969417,MAIN,0.9996085618273993,L,0.9352922643297229,0.9352922643297229,0.018706718346759663,0.04600101732351749,8,A,0.9729777291136857
60,0.3030969,MAIN,0.9834103056744936,V,0.9785125886131297,0.018225427341078272,0.9785125886131297,0.0032619840457920155,8,A,0.9898442907248204
61,0.3041044,MAIN,0.982544152073545,T,0.9463741718859907,0.05216081239042389,0.0014650157235854549,0.9463741718859907,8,A,0.990838720990175
62,0.3051061,NORTH,0.03412158998039554,L,0.9515238127038321,0.9515238127038321,0.017249691357226777,0.031226495938941046,6,A,0.5251658623268213
63,0.3121286,MAIN,0.999629895562447,L,0.9722907200165256,0.9722907200165256,0.00024800274695750885,0.02746127723651696,7,S,0.9531408530632557
64,0.3290553,MAIN,0.999682286149724,L,0.5613355400486053,0.5613355400486053,0.18036069929155224,0.25830376065984245,7,S,0.07978488247644153
65,0.3329463,MAIN,0.9993168127691869,L,0.9999504596253767,0.9999504596253767,3.323532899881179e-05,1.6305045624431422e-05,7,S,0.0062132193439956695
66,0.3336802,SOUTH,3.679125513404184e-05,L,0.9900021575951835,0.9900021575951835,1.6830737336953543e-06,0.009996159331082687,7,S,0.00486383581167013
67,0.3415363,SOUTH,0.0010403097378982541,V,0.9989230458982953,4.9346869344878316e-05,0.9989230458982953,0.001027607232359717,7,S,0.00838677043223683
68,0.3418321,SOUTH,0.0028342044406778535,T,0.9639646169551392,0.03438326999324754,0.00165211305161324,0.9639646169551392,7,S,0.00628913054892586
69,0.3430359,MAIN,0.9995992443899927,L,0.8273938838986254,0.8273938838986254,0.11856793528346007,0.05403818081791443,8,A,0.9501677866572378
70,0.3430833,MAIN,0.9998777118778303,V,0.4922648183033857,0.16194157307190174,0.4922648183033857,0.3457936086247126,7,S,0.0040121801338770064
71,0.3434215,MAIN,0.9944442372601994,T,0.5894355400689705,0.03189781876556944,0.37866664116546017,0.5894355400689705,7,S,0.0030479542002088823
72,0.3476337,SOUTH_AUX,0.0012185460223157506,L,0.9947672262368017,0.9947672262368017,0.0005046033077541545,0.004728170455444091,8,A,0.14414092437890233
73,0.3572009,SOUTH_AUX,2.0269559958377638e-05,V,0.9999044557581377,4.566974041238837e-06,0.9999044557581377,9.097726782102318e-05,8,A,0.14280673631120822
74,0.3573973,SOUTH_AUX,0.0005679581844600013,T,0.9662611947456139,0.03341366265923376,0.00032514259515235237,0.9662611947456139,8,A,0.07270268395884746
