node_id,deck_id,station_index,x_m,y_m,z_reference_m,z_target_m,is_support
1001,DECK-P,0,666.679,21.45,340.6,340.6,1
1002,DECK-P,1,809.594125,21.45,290.630186,287.326563,0
1003,DECK-P,2,952.50925,21.45,247.323013,241.15625,0
1004,DECK-P,3,1095.424375,21.45,210.678483,202.089063,0
1005,DECK-P,4,1238.3395,21.45,180.696594,170.125,0
1006,DECK-P,5,1381.254625,21.45,157.377347,145.264063,0
1007,DECK-P,6,1524.16975,21.45,140.720743,127.50625,0
1008,DECK-P,7,1667.084875,21.45,130.72678,116.851562,0
1009,DECK-P,8,1810.0,21.45,127.395459,113.3,0
1010,DECK-P,9,1952.915125,21.45,130.72678,116.851563,0
1011,DECK-P,10,2095.83025,21.45,140.720743,127.50625,0
1012,DECK-P,11,2238.745375,21.45,157.377347,145.264063,0
1013,DECK-P,12,2381.6605,21.45,180.696594,170.125,0
1014,DECK-P,13,2524.575625,21.45,210.678483,202.089063,0
1015,DECK-P,14,2667.49075,21.45,247.323013,241.15625,0
1016,DECK-P,15,2810.405875,21.45,290.630186,287.326563,0
1017,DECK-P,16,2953.321,21.45,340.6,340.6,1
2001,DECK-M,0,666.679,-21.45,340.6,340.6,1
2002,DECK-M,1,809.594125,-21.45,290.630186,287.326563,0
2003,DECK-M,2,952.50925,-21.45,247.323013,241.15625,0
2004,DECK-M,3,1095.424375,-21.45,210.678483,202.089063,0
2005,DECK-M,4,1238.3395,-21.45,180.696594,170.125,0
2006,DECK-M,5,1381.254625,-21.45,157.377347,145.264063,0
2007,DECK-M,6,1524.16975,-21.45,140.720743,127.50625,0
2008,DECK-M,7,1667.084875,-21.45,130.72678,116.851562,0
2009,DECK-M,8,1810.0,-21.45,127.395459,113.3,0
2010,DECK-M,9,1952.915125,-21.45,130.72678,116.851563,0
2011,DECK-M,10,2095.83025,-21.45,140.720743,127.50625,0
2012,DECK-M,11,2238.745375,-21.45,157.377347,145.264063,0
2013,DECK-M,12,2381.6605,-21.45,180.696594,170.125,0
2014,DECK-M,13,2524.575625,-21.45,210.678483,202.089063,0
2015,DECK-M,14,2667.49075,-21.45,247.323013,241.15625,0
2016,DECK-M,15,2810.405875,-21.45,290.630186,287.326563,0
2017,DECK-M,16,2953.321,-21.45,340.6,340.6,1
