mode,freq_Hz,uxavg_s1,uxavg_s2,uxavg_s3,uxavg_s4,uxavg_s5,uzavg_s1,uzavg_s2,uzavg_s3,uzavg_s4,uzavg_s5,duz_s1,duz_s2,duz_s3,duz_s4,duz_s5,rms_uxavg,rms_uzavg,rms_duz,share_ux,share_uz,share_duz,span12,span23,span34,span45,sene
1,3.6821631980304442e-02,-1.1009630527017565e-18,2.8058033930661375e-07,2.2527462829314732e-09,-3.9027602294951604e-07,-1.8014552363465980e-18,3.1008047685730868e-18,3.3225499316544133e-06,3.6582392265348553e-06,3.9262025556155141e-06,-5.9174653532283496e-18,1.0142830787742076e-17,1.1400512124353629e-05,5.0830893635992746e-05,1.3375862688536672e-05,1.0988130446429042e-17,2.1496314835828067e-07,2.8226625301164458e-06,2.4052713473509510e-05,3.0271927172542093e-04,5.2195126915651299e-02,9.4750215381262326e-01,9.7534880612459171e-02,3.9158020468218901e-01,3.9620018930274381e-01,1.1468472540260806e-01,NOT_STORED
2,7.1536409065466600e-02,1.2494353136296352e-18,-9.2416908428794436e-03,-7.2755063153754213e-03,-9.2465006666624869e-03,-2.4622909179124709e-18,-5.4531439180348598e-18,-2.8546535481923277e-02,-5.8909752813216291e-04,2.8572545923238518e-02,-6.9086963751699095e-18,-2.2597982241599803e-17,1.6254297196049289e-05,1.3830571037260278e-07,-1.6442754597622428e-05,2.8609086349202030e-18,6.6908835942500033e-03,1.8064562571254970e-02,1.0340072384317733e-05,1.2063692017308632e-01,8.7936300779906240e-01,7.2027851320651539e-08,2.4630224589445268e-01,2.5348550885310461e-01,2.5369470617244594e-01,2.4651753907999679e-01,NOT_STORED
3,7.3359322928141041e-02,-1.6351283819297006e-19,8.6787589644887753e-04,6.7480004547399450e-04,8.6755913475528110e-04,-1.3647606169359766e-17,5.5936914781492401e-18,2.6112993228796996e-03,5.3472096799498531e-05,-2.6091155468682663e-03,-3.3306942934790359e-17,4.6706593579147786e-17,4.2346575646119620e-02,8.6566343870455589e-04,-4.2384835102790466e-02,-4.5093274245328325e-17,6.2629426395361147e-04,1.6510134678867890e-03,2.6797224068296252e-02,2.1476269392541759e-03,1.4924617401991589e-02,9.8292775565875423e-01,2.4980229851036007e-01,2.4997910453928723e-01,2.5019762422490216e-01,2.5002097272545054e-01,NOT_STORED
4,7.3799583780513406e-02,-1.9750199262853682e-18,7.8562066770767767e-04,6.1342923565978636e-04,7.8458093632834775e-04,-3.6874522409309334e-18,3.4005608814555152e-18,2.3533156837472549e-03,4.8324327710195982e-05,-2.3472286602426104e-03,-1.3509380655536413e-17,4.7143521389968251e-17,3.8480929058156088e-02,7.8587615938761240e-04,-3.8515154247355479e-02,-3.1532895432126467e-17,5.6728520275809661e-04,1.4866009774975779e-03,2.4350838216432389e-02,2.1344226138807487e-03,1.4657716943106427e-02,9.8320786044301278e-01,2.4980735723729575e-01,2.4998419751859008e-01,2.5019256907039467e-01,2.5001587617371951e-01,NOT_STORED
5,1.0128651825508610e-01,3.6386570366511987e-18,-4.6177724774197600e-03,1.3539594539835126e-05,4.3582795506194325e-03,1.1006606730455956e-17,-7.0935937679390299e-18,-5.7817123115968226e-03,4.1032490601690612e-02,-4.3115775713241187e-03,1.4135908566816708e-17,-2.6334508277537898e-17,5.8322947529077310e-06,-5.0563745191620213e-05,3.7665519722202001e-06,7.2709669368617388e-17,2.8396692277511217e-03,1.8631603169805031e-02,2.2824963980901817e-05,2.2701886934000003e-02,9.7729774638647804e-01,3.6667952182705695e-07,7.6509984806994571e-02,4.3111698278952659e-01,4.2898295632731220e-01,6.3390076076166729e-02,NOT_STORED
6,1.0341227431163270e-01,-2.9398234789239096e-18,-5.5454057858715048e-04,1.6828918357520396e-08,5.1814374766016207e-04,1.3395472131739220e-17,4.2655963061183897e-18,-5.8726030233704606e-04,5.1324019147801180e-03,-3.8688110413724174e-04,3.1075577271974140e-17,-3.7010456976650115e-17,-1.0917506613229365e-02,8.2331563916402617e-02,-8.0094595259482797e-03,1.7299686018104562e-18,3.3940777740714838e-04,2.3167261843505837e-03,3.7314420294219768e-02,3.2580922022739728e-04,1.5179910301261130e-02,9.8449428047851140e-01,5.9267119544546915e-02,4.4948150854283025e-01,4.4768215481655621e-01,4.3569217096066586e-02,NOT_STORED
7,1.1027364929935179e-01,5.7963165960647795e-18,1.3592315966058698e-05,-1.9979969661143935e-08,-1.1329604835115653e-05,-5.6147557468168438e-18,-2.4483380296788166e-17,-2.2379852871997960e-05,-2.0451875243914744e-04,-3.5136871299693768e-05,-5.5484362210839221e-17,3.0872902047063793e-17,1.1882965245701838e-04,-3.3439686613205653e-03,9.6637491870436867e-06,9.5437559685625925e-18,7.9134240154339992e-06,9.3341713760321327e-05,1.4964184095529872e-03,1.1013564259535510e-04,1.5323238364406895e-02,9.8456662599299782e-01,1.8696789610816174e-02,4.8541166084366261e-01,4.8516993271301845e-01,1.0721616832502742e-02,NOT_STORED
8,1.1624829849324179e-01,2.9677894916695243e-18,-1.4191970381323383e-17,6.3654169239988896e-18,-2.1048970012335830e-17,4.7613929770082085e-05,2.1104105551040846e-18,5.3438498097527227e-17,-5.1221495586510440e-17,3.8489605980317553e-17,1.4515086005855533e-04,8.4713558921317441e-17,-1.0185016129043134e-17,-4.2426338853200450e-16,3.3679337369641249e-17,2.0848830717146816e-03,2.1293596728360895e-05,6.4913438016697762e-05,9.3238805469851940e-04,2.0423829036813708e-03,1.8980530180341397e-02,9.7897708691597718e-01,6.6375182985972431e-14,2.1381584747333834e-13,2.1196462181679626e-13,9.9999999999950784e-01,NOT_STORED
9,1.2488779708992161e-01,-3.7325625805936151e-05,-3.9347341763984146e-17,-4.7013224992745796e-18,-6.1866137642882925e-17,-3.9342636202016526e-17,9.7564396041715932e-05,1.3455628333879855e-16,-1.3093770018991613e-16,1.4811794724451650e-16,-9.5932143983005016e-17,1.2169828130200702e-03,-6.7124926490597702e-17,-3.6772829357236112e-16,9.3695329921669405e-17,-5.2145221219282458e-16,1.6692527320958721e-05,4.3632124346597646e-05,5.4425125947235868e-04,3.6550316985409191e-03,2.4972364935112012e-02,9.7137260336634712e-01,9.9999999999858202e-01,4.3386844529028498e-13,4.5506154702128290e-13,5.2905433081519101e-13,NOT_STORED
10,1.3548592676595231e-01,3.4176815722282267e-18,2.5170818086237885e-17,6.6656728327328322e-19,3.2229984896343823e-17,1.6620420570103024e-02,-1.4131574506363393e-17,-6.7336635039530944e-18,5.1385882474786154e-18,-2.0403521643009002e-17,4.6634695360302944e-02,3.6603698080242200e-16,3.6003525682444920e-16,-6.3964115059611292e-17,3.8094431583430141e-16,-9.3979022206772123e-05,7.4328780418772339e-03,2.0855669787126285e-02,4.2028696422660952e-05,1.1270272963302649e-01,8.8729636951741653e-01,9.0084955703833523e-07,5.2202194525116633e-15,3.7318562707799686e-15,3.9778999758047070e-15,9.9999999999998712e-01,NOT_STORED
11,1.3789205084057729e-01,1.6434716688468836e-17,-3.0712425197649265e-18,1.9122984144395282e-18,1.2291887929775967e-18,-2.1145638997264954e-03,-3.7172961623858530e-17,4.6231461389413289e-17,2.3539021843323518e-17,1.4428855329218604e-17,-5.7934456927103799e-03,-1.6372169960845825e-17,5.6085853261569323e-16,-4.6970620548134220e-17,5.3757764506965403e-16,-9.3307256262807448e-02,9.4566172451109845e-04,2.5909076785707533e-03,4.1728273559526088e-02,2.0190498201856366e-03,1.5155814767452628e-02,9.8282513541236172e-01,6.1037431028345629e-15,6.0811510233744239e-15,5.7635831473624016e-15,9.9999999999998201e-01,NOT_STORED
12,1.4540335437741950e-01,-1.4760156393897517e-16,6.4704471479392588e-03,4.4165240205378342e-05,-6.4093344551206816e-03,-1.3974931624781720e-18,3.3821572983764412e-16,3.3787193486134182e-02,2.3441507894079406e-03,3.3811817721279516e-02,4.3607448755379158e-18,2.9423202110292978e-16,-1.0428166483513607e-04,-8.1067920267231981e-06,-1.0499502720715675e-04,-3.7820406056272813e-17,4.0730383013253095e-03,2.1402376055989585e-02,6.6278716698475366e-05,3.4951133932560129e-02,9.6504655233853198e-01,2.3137289079418218e-06,2.4966420011309109e-01,2.5024336430213356e-01,2.5033569283593854e-01,2.4975674274883680e-01,NOT_STORED
13,1.4663444132910450e-01,8.8299555446321886e-18,3.8862705442321240e-03,-2.1235521218336035e-04,3.2976337140314220e-03,-1.3654317331307481e-16,-2.8448542487532814e-17,1.2045693764264765e-03,-1.2128719483698075e-03,1.7953575773030231e-03,-3.6331041092996505e-16,-1.0946811244357380e-16,1.4156273135969505e-04,1.3046143772085014e-05,1.3740235297285994e-04,-1.2613624901848408e-16,2.2813409035488037e-03,1.1086347077505939e-03,8.8419019876740887e-05,8.0871456504098360e-01,1.9098173391009352e-01,3.0370104892294867e-04,2.5388377117374417e-01,2.6525237753814873e-01,2.4656864657704633e-01,2.3429520471106074e-01,NOT_STORED
14,1.4670799116850519e-01,-2.9219246437499748e-17,-5.1229876053146117e-05,6.0631477029973204e-06,-8.6057840627915591e-05,1.8778581005626715e-17,6.2805010264388892e-17,8.7509591112819654e-05,3.3010049469790851e-05,8.9034393609084496e-05,6.4590648057035454e-17,-2.7388176079427326e-17,1.3834416377584797e-03,4.8701788406289951e-04,1.1910688009003248e-03,4.5856500812888069e-16,4.4871402683733422e-05,5.7748965615097054e-05,8.4495468197520577e-04,1.0952416123566617e-02,1.8140909785567080e-02,9.7090667409086640e-01,2.5849865078800899e-01,2.7401163315456073e-01,2.4258015681825443e-01,2.2490955923917585e-01,NOT_STORED
15,1.4672009231828370e-01,4.2602530267138167e-17,8.8337763939423230e-04,6.6724100246000676e-06,-8.9639804242179445e-04,-1.6410224428681203e-17,-9.4987270020167429e-17,4.4610506518602544e-03,3.4042145173998346e-04,4.5250902502087537e-03,-3.7852011985090466e-17,-2.0112219330097493e-16,6.7148301500068147e-02,4.5647493258365165e-03,6.7126585758769133e-02,6.8479969774423011e-16,5.6283745882712674e-04,2.8458145215667827e-03,4.2510492460994066e-02,6.8836453487507296e-04,1.7598095987219960e-02,9.8171353947790507e-01,2.4971780294725110e-01,2.5029635693010888e-01,2.5028221343771984e-01,2.4970362668492024e-01,NOT_STORED
16,1.4967229281097480e-01,1.1255320428228988e-16,4.7654371769539688e-04,-3.3630706344979646e-05,4.0678893323587632e-04,6.5167035530735557e-17,-2.5374035474780737e-16,1.2728678430203255e-04,-1.4897417386685696e-04,2.1692120074914150e-04,2.0547981579415749e-16,-7.4162246632074989e-17,2.0686392692333051e-03,-2.4102116454347480e-03,3.4951514408892072e-03,4.3329874109087324e-16,2.8060726130568845e-04,1.3072875526961468e-04,2.1120829622319893e-03,6.5018101332569841e-02,1.4111680168711834e-02,9.2087021849871831e-01,1.6849490067624365e-01,2.4554888545889333e-01,3.2020174825690545e-01,2.6575446560795762e-01,NOT_STORED
17,1.6588447410724971e-01,-2.3192556425156677e-02,-2.4572603002294773e-17,2.9670537871349030e-18,1.1243611864905771e-17,2.6649951739334945e-18,5.2498146544854046e-02,-1.2573002058643601e-16,-1.2848078369076727e-16,-5.3079031565604063e-17,1.3912219227816380e-17,-1.9484265547812379e-04,1.0386938419956976e-16,-1.6120264303432367e-16,2.6109426828979407e-16,3.4119762779658445e-17,1.0372026547729968e-02,2.3477884873407871e-02,8.7136284513131317e-05,1.6329729146255489e-01,8.3669982722850988e-01,2.8813089352490389e-06,9.9999999999999023e-01,3.5759717471681638e-15,3.6130192302226858e-15,2.4933609276628471e-15,NOT_STORED
