mode,freq,station,x_mm,nid_plus,nid_minus,uY_L,uY_R,uZ_L,uZ_R,u_L,u_V,u_T,dUZ
1,0.03682163198030444,1,372853.0,80,14098,-3.535424085909641e-17,-3.735073111367319e-17,8.172220162444125e-18,-1.970610625297951e-18,-3.6352485986384796e-17,3.100804768573087e-18,2.3587978576144364e-22,1.0142830787742076e-17
1,0.03682163198030444,2,1272409.0,28469,51317,0.02119110565611426,0.02119113772372255,9.022805993831228e-06,-2.377706130522401e-06,0.021191121689918404,3.3225499316544133e-06,2.6512818893845647e-10,1.1400512124353629e-05
1,0.03682163198030444,3,1847909.0,28660,51508,0.0304443894315116,0.03044442791069659,2.907368604453123e-05,-2.175720759146152e-05,0.030444408671104095,3.6582392265348553e-06,1.1821138054882033e-09,5.0830893635992746e-05
1,0.03682163198030444,4,2423409.0,374,14392,0.0216731148034861,0.02167315419355388,1.061413389988385e-05,-2.761728788652822e-06,0.021673134498519993,3.926202555615514e-06,3.110665741520156e-10,1.3375862688536672e-05
1,0.03682163198030444,5,3361547.0,29176,52024,-7.158826685767578e-18,-5.038014875015285e-18,-4.23400130013828e-19,-1.141153057644287e-17,-6.098420780391432e-18,-5.91746535322835e-18,2.5553791735881495e-22,1.0988130446429042e-17
2,0.0715364090654666,1,372853.0,80,14098,7.638911591173036e-17,7.337441546033665e-17,-1.675213503883476e-17,5.845847202765041e-18,7.48817656860335e-17,-5.45314391803486e-18,-5.255344707348791e-22,-2.2597982241599803e-17
2,0.0715364090654666,2,1272409.0,28469,51317,-1.617867599816809e-06,1.618872241312671e-06,-0.02853840833332525,-0.0285546626305213,5.023207479310284e-10,-0.028546535481923277,3.7800691153603e-10,1.625429719604929e-05
2,0.0715364090654666,3,1847909.0,28660,51508,-4.511635848934344e-08,1.547216185858449e-08,-0.0005890283752769766,-0.0005891666809873492,-1.4822098315379475e-08,-0.0005890975281321629,3.216411869130297e-12,1.3830571037260278e-07
2,0.0715364090654666,4,2423409.0,374,14392,1.614885697360765e-06,-1.64764097766541e-06,0.02856432454593971,0.02858076730053733,-1.6377640152322524e-08,0.028572545923238518,-3.8238964180517275e-10,-1.6442754597622428e-05
2,0.0715364090654666,5,3361547.0,29176,52024,9.535421910147887e-17,9.511495134850029e-17,-5.478242057709808e-18,-8.33915069263001e-18,9.523458522498957e-17,-6.9086963751699095e-18,6.653275895163263e-23,2.860908634920203e-18
