mode,freq_Hz,A_L,A_V,A_T,A_dUZ,rho_uy,rho_uz,nzero_uy,nzero_uz,e1,e2,e3,e4,class,b_mm,b_source,w_j,gauge,n_stations,note
1,0.03682163198030444,0.019212758348561332,2.8226625301164458e-06,5.593654296165002e-10,2.405271347350951e-05,0.9998741168178215,0.9908528402293904,0,0,0.180613241870601,0.31615022201498233,0.3185150600319927,0.18472147608242392,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
2,0.0715364090654666,9.881032552962713e-09,0.018064562571254973,2.404667996352961e-10,1.0340072384317733e-05,0.41632887575317257,-0.9995742029845492,1,1,0.24985958222122304,0.24991277923478034,0.250140393570417,0.25008724497357954,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
3,0.07335932292814104,0.014062987209695519,0.001651013467886789,6.231912574022384e-07,0.026797224068296256,-0.9995919426023571,-0.9995800716357163,1,1,0.2498817544251029,0.24993370008243176,0.25011822640929715,0.25006631908316823,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
4,0.0737995837805134,0.013192214529986628,0.001486600977497578,5.662985631728462e-07,0.02435083821643239,-0.9995871082069446,-0.9995739755202387,1,1,0.2498962672115011,0.24994825678159358,0.2501037166272627,0.2500517593796426,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
5,0.1012865182550861,8.985187001315005e-09,0.018631603169805028,5.308131158349261e-10,2.282496398090182e-05,0.7960902266244175,0.9987547864868166,2,2,0.06230996487624767,0.44657880255325044,0.44464503045268555,0.046466202117816394,MID2,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
6,0.1034122743116327,0.0021626110347013347,0.0023167261843505837,8.677772161446457e-07,0.03731442029421977,0.998509437756297,0.998503813092221,2,2,0.05935314336997477,0.44940827713622855,0.4476036332151442,0.0436349462786524,MID2,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
7,0.1102736492993518,0.01924005153130701,9.334171376032133e-05,3.480042812913924e-08,0.0014964184095529872,0.9988751658148155,0.9962642584669448,2,0,0.18937111330286938,0.3202901078387769,0.3132084039867855,0.17713037487156819,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
8,0.1162482984932418,0.024378867487613653,6.491343801669776e-05,2.1683443132523706e-08,0.0009323880546985194,-5.868689504465292e-15,2.907885704949914e-14,0,0,8.953517953845009e-15,1.6190827032474732e-14,1.6713251153406146e-14,0.999999999999958,SIDE,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
9,0.1248877970899216,0.025027721852424245,4.3632124346597646e-05,1.2657006034240899e-08,0.0005442512594723587,1.4272884320483682e-14,-1.9665400058786783e-12,0,0,0.9999999999999634,9.893837994224097e-15,1.2326786512872417e-14,1.4331427421880924e-14,SIDE,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
10,0.1354859267659523,1.2655392605426795e-07,0.020855669787126288,9.774115447130455e-10,4.202869642266095e-05,4.540448361608798e-12,-6.060541147393308e-16,0,0,1.1028441885184007e-14,8.850722402012232e-15,9.285759249322573e-15,0.9999999999999708,SIDE,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
11,0.1378920508405773,0.001345568160681017,0.0025909076785707538,9.704249665006066e-07,0.04172827355952609,2.6184648683059407e-13,1.283276433250481e-14,0,0,7.36634639380127e-15,6.057008412552762e-15,5.831475977768968e-15,0.9999999999999807,SIDE,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
12,0.1454033543774195,4.040278380303605e-07,0.021402376055989585,1.5413655046157061e-09,6.627871669847537e-05,0.9988130238038333,0.9999997352527159,0,0,0.2496091260921646,0.2502091612346169,0.25039065591907855,0.24979105675413998,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
13,0.1466344413291045,4.2451534288446135e-06,0.0011086347077505939,2.0562562762032766e-09,8.841901987674089e-05,0.9997971467553516,0.9432041399775787,0,2,0.1757828094448792,0.24860112942611584,0.3146513794062574,0.26096468172274745,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
14,0.1467079911685052,0.000992942772342812,5.7748965615097054e-05,1.9650108883144323e-08,0.0008449546819752058,0.9420642353489835,0.9998605659747726,2,0,0.2549713739537887,0.3017716571330692,0.2510197104725366,0.19223725844060555,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
15,0.1467200923182837,0.0020365386157363934,0.0028458145215667827,9.886161037440482e-07,0.042510492460994066,0.9999866419066975,0.9998987222575292,0,0,0.24974080812134103,0.2503205753614648,0.25025926306366303,0.24967935345353123,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
16,0.1496722928109748,7.318190495234435e-05,0.00013072875526961468,4.9118208423999756e-08,0.0021120829622319898,0.5247463105572929,0.9059763006742035,2,2,0.1595373515978223,0.24472475236559685,0.3267726304050165,0.2689652656315643,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
17,0.1658844741072497,4.129823735594806e-07,0.023477884873407875,2.026425221235612e-09,8.713628451313132e-05,-3.433775437242625e-10,5.300080152707929e-16,0,0,0.999999999999982,5.376089082501664e-15,6.526476990542772e-15,6.018200295836858e-15,SIDE,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
18,0.1674678547659484,4.572507466012876e-05,6.584655329933004e-05,2.45198316527227e-08,0.001054352761067076,-2.3068305856277778e-12,-2.0110676583301297e-12,0,0,2.892817790070776e-12,5.403999515676352e-13,5.716633694712283e-13,0.9999999999959951,SIDE,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
19,0.168030832661081,0.0018944280672483632,0.0029153443971851973,1.0864008351115918e-06,0.046715235909798446,-8.744840454771008e-14,-3.0911222058268225e-14,0,0,0.9999999999999923,1.6969477506383107e-15,1.847931588170386e-15,4.173999339459619e-15,SIDE,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
20,0.1833701470867523,0.019241034827250012,0.000168305595078369,5.548960820372881e-08,0.002386053152760339,0.9967973200106954,0.9933901003784725,2,2,0.16944916976455246,0.31431726768880874,0.3259952850340378,0.190238277512601,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
21,0.1875398384529541,2.1101704665857807e-07,0.017408613317618088,1.6136045833742637e-09,6.938499708509335e-05,0.9492880629022574,0.9957671791851401,2,2,0.11860775379349213,0.3641154405012105,0.3731924031908851,0.14408440251441237,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
22,0.1909612081647425,0.0004441552603337409,0.002124459234549901,8.146407906846419e-07,0.035029553999439605,0.9990223265733482,0.9967638686809612,0,2,0.12376699284013955,0.35893481199966737,0.36836911188769783,0.14892908327249527,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
23,0.1975332435292743,1.0589115483517624e-07,0.010991426137324097,1.1806933138521324e-09,5.076981249564169e-05,-2.1754648537702274e-08,-6.904769957752706e-13,0,0,9.256205169637862e-13,9.826790195136386e-13,1.5152061398731965e-12,0.9999999999965765,SIDE,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
24,0.2001839267397145,0.0010904264873521947,0.0013395469009312645,4.947305046881485e-07,0.021273411701590385,1.3020743595256479e-13,-7.057118775883729e-12,0,0,2.4369796464751127e-13,2.067055610298317e-13,2.5446548528772695e-13,0.9999999999992951,SIDE,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
25,0.2202740825132177,0.01926837873156809,0.00040965543171832405,1.1726428490728414e-07,0.005042364251013218,-0.9962330022537441,-0.9963187045180008,1,1,0.2504743710439171,0.2509411331480724,0.24952695411504922,0.24905754169296127,G,43000.0,NSEL_BAND_MIDPOINT_43000mm,uniform_1_over_5,1,5,10-probe RMS; A_T=dUZ/b; A_dUZ same units as A_L; GAUGE=1
