mode,frequency_hz,dominant_translation,ux_fraction,uy_fraction,uz_fraction,ux_mirror_correlation,uy_mirror_correlation,uz_mirror_correlation,uz_common_fraction,left_fraction,right_fraction,max_node,max_node_x_mm,max_node_y_mm,max_node_z_mm,max_node_role,max_node_incidence
1,0.03677346,UY,2.438235835080929e-08,0.9999993559169534,6.197007055079331e-07,-0.9999998856253097,0.9999999999999165,-0.9999999938193084,3.091491743105389e-09,0.501383767834168,0.4986162321658399,87464,1854913.1707329156,-24860.0,111600.00000184802,free_independent,NATIVE_MASS:1;UCOR6_SEC63:1;UCOR6_SEC64:1
2,0.07144416,UZ,0.12285069675124251,6.705214719462246e-08,0.8771492361966048,0.9999999985573826,-0.9529771511767703,0.9999999985998638,0.9999999544199539,0.5015511076099252,0.49844889239006523,77469,1286454.393401783,-18564.0,169030.932524137,free_independent+boundary,UCOR6_CROSS_LARGE:1
3,0.07267216,UZ,0.11037090639790186,0.1010482109281211,0.7885808826739742,-0.9999999983772904,0.9999999999932299,-0.999999998384533,5.2924338225032255e-08,0.49993523153944625,0.5000647684605515,88696,2485273.683412337,24860.0,179875.74899866685,free_independent,NATIVE_MASS:1;UCOR6_SEC63:1;UCOR6_SEC64:1
4,0.07356089,UY,0.007782733856037638,0.9367502545009679,0.055467011642938026,-0.9999999994350859,0.9999999999991865,-0.9999999994428825,1.8469405361942388e-08,0.5012111813583974,0.498788818641608,80909,2427918.3,25140.0,178605.00959397,free_independent,NATIVE_MASS:1;UCOR6_SEC62:1
5,0.1012149,UZ,0.03443871103623907,2.916623029809533e-07,0.9655609973014467,0.9999999978672703,-0.9945243537361748,0.9999999980671687,0.9999999397232306,0.5016457249306864,0.4983542750692951,87425,1855663.2499991846,-1090.0,113299.96502922749,free_independent,NATIVE_MASS:1;UCOR6_SEC63:2;UCOR6_SEC64:2;UCOR6_SEC65:1
6,0.1028555,UZ,0.033196920886609214,0.018235030087339527,0.948568049026041,-0.9999999979895905,0.999999999758887,-0.9999999979063806,6.603218326622803e-08,0.4997515764522489,0.5002484235477433,80535,1854913.25,25140.0,121407.00000001,free_independent,NATIVE_MASS:1;UCOR6_SEC62:1
7,0.1101283,UY,3.551551755260754e-05,0.9986469309139411,0.0013175535685008414,-0.9999999970229624,0.9999999999991188,-0.9999999996205121,2.7379580318539202e-09,0.5013378695114161,0.4986621304885874,80535,1854913.25,25140.0,121407.00000001,free_independent,NATIVE_MASS:1;UCOR6_SEC62:1
8,0.1161726,UY,5.510597970642184e-06,0.9999299172073745,6.457219466086526e-05,-0.999999966566744,0.9999999999993125,-0.9999999950099826,2.556222113813796e-09,0.5010766893242775,0.4989233106757196,90176,3362920.812994707,-24860.0,210870.11368264796,free_independent,NATIVE_MASS:1;UCOR6_SEC63:1;UCOR6_SEC64:1
9,0.1248024,UY,2.3769344445509962e-05,0.9998502078986466,0.00012602275689794988,-0.9999999909546994,0.9999999999991123,-0.9999999945727258,2.877297032299621e-09,0.5010993178261294,0.4989006821738704,84628,375592.3495593924,24860.0,179689.82956716378,free_independent,NATIVE_MASS:1;UCOR6_SEC63:1;UCOR6_SEC64:1
10,0.1456783,UZ,0.034529836313105466,1.8537250101719951e-06,0.9654683099618844,0.9999999843965569,-0.9951866870678363,0.9999999864306125,0.9999996098913229,0.5019585079393108,0.4980414920606834,83323,2427918.3,-17760.0,178605.00959397,free_independent,NATIVE_MASS:1;UCOR6_SEC62:1
11,0.1464436,UZ,0.0630482505539925,3.3430501101872204e-06,0.9369484063959155,0.9999999815799294,0.2657664556461607,0.9999999726999781,0.9999997845689007,0.5018238714815988,0.49817612851841325,88094,2163663.9382405905,-550.0,129672.45161203919,free_independent,NATIVE_MASS:1;UCOR6_SEC63:2;UCOR6_SEC64:2;UCOR6_SEC65:1
12,0.1465091,UY,0.001682771359088457,0.9730579453340839,0.025259283306772233,-0.9999968517408627,0.9999999999944158,-0.9999963016780268,7.814779264548981e-05,0.5011105027834246,0.49888949721657283,86662,1546735.044676649,24860.0,127927.32843172384,free_independent,NATIVE_MASS:1;UCOR6_SEC63:1;UCOR6_SEC64:1
13,0.1465538,UZ,0.034933651670063126,0.01860827538019511,0.9464580729497358,-0.9999999609135342,0.9999999992008105,-0.9999999720176972,4.2628537195947787e-07,0.49936499351239694,0.5006350064876138,80909,2427918.3,25140.0,178605.00959397,free_independent,NATIVE_MASS:1;UCOR6_SEC62:1
14,0.1491063,UZ,0.0615556769403489,0.02429113136275297,0.9141531916968928,-0.9999999984751173,0.9999999997787336,-0.9999999984509835,5.001922505825749e-08,0.4997687661814836,0.5002312338185233,80739,2162918.3,25140.0,137956.620262182,free_independent,NATIVE_MASS:1;UCOR6_SEC62:1
