
                        S T E P       1


     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.5338615E-01   0.2310544E+00   0.3677346E-01   0.0000000E+00
      2   0.2015084E+00   0.4488969E+00   0.7144416E-01   0.0000000E+00
      3   0.2084951E+00   0.4566126E+00   0.7267216E-01   0.0000000E+00
      4   0.2136258E+00   0.4621967E+00   0.7356089E-01   0.0000000E+00
      5   0.4044351E+00   0.6359521E+00   0.1012149E+00   0.0000000E+00
      6   0.4176521E+00   0.6462601E+00   0.1028555E+00   0.0000000E+00
      7   0.4788043E+00   0.6919568E+00   0.1101283E+00   0.0000000E+00
      8   0.5328035E+00   0.7299339E+00   0.1161726E+00   0.0000000E+00
      9   0.6149015E+00   0.7841565E+00   0.1248024E+00   0.0000000E+00
     10   0.8378172E+00   0.9153235E+00   0.1456783E+00   0.0000000E+00
     11   0.8466429E+00   0.9201320E+00   0.1464436E+00   0.0000000E+00
     12   0.8474005E+00   0.9205436E+00   0.1465091E+00   0.0000000E+00
     13   0.8479183E+00   0.9208248E+00   0.1465538E+00   0.0000000E+00
     14   0.8777115E+00   0.9368626E+00   0.1491063E+00   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1  -0.1585475E-06  -0.4187674E+02   0.1832993E-06   0.6618937E+07  -0.6059440E+00  -0.7767692E+08
      2  -0.1546973E+02   0.7075384E-07  -0.1972804E-03  -0.1062512E+00  -0.2487438E+08  -0.6186131E+03
      3   0.3305787E-02  -0.2047475E-03  -0.2435582E-05  -0.3195710E+03   0.5328700E+04  -0.6368688E+07
      4  -0.4966191E-03  -0.1682782E-03   0.1329244E-05  -0.8764252E+03  -0.8035197E+03  -0.2318785E+08
      5  -0.5993351E-03  -0.1114653E-03  -0.1165389E+02   0.1004863E+03   0.2161659E+08  -0.2064760E+03
      6   0.5531768E-07   0.5421171E+00  -0.2846598E-02  -0.4258015E+06   0.5279216E+04   0.1005816E+07
      7   0.7046096E-06   0.1405151E+02   0.1395250E-04  -0.4493674E+07  -0.2507129E+02   0.2606513E+08
      8   0.2176218E-05   0.2352725E+02  -0.3835019E-06  -0.5123852E+07   0.1899474E+01   0.7919295E+08
      9   0.5357839E-05   0.2294508E+02  -0.8388897E-05  -0.4294077E+07   0.4222114E+01   0.8628551E+07
     10  -0.5193316E-01   0.8439327E-04   0.3833628E+02  -0.5547818E+03  -0.7119812E+08   0.1487754E+03
     11  -0.7335096E+01   0.2051812E-04  -0.2860594E+00  -0.8830674E+02  -0.1157304E+08  -0.1719162E+05
     12  -0.1085440E-01  -0.6612939E-02  -0.4933530E-04   0.1435071E+05  -0.1782064E+05   0.1190956E+08
