
                        S T E P       1


     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.6778551E-01   0.2603565E+00   0.4143702E-01   0.0000000E+00
      2   0.2488261E+00   0.4988247E+00   0.7939041E-01   0.0000000E+00
      3   0.2680493E+00   0.5177347E+00   0.8240004E-01   0.0000000E+00
      4   0.4885211E+00   0.6989428E+00   0.1112402E+00   0.0000000E+00
      5   0.6019357E+00   0.7758452E+00   0.1234796E+00   0.0000000E+00
      6   0.6662905E+00   0.8162662E+00   0.1299128E+00   0.0000000E+00
      7   0.7666101E+00   0.8755627E+00   0.1393501E+00   0.0000000E+00
      8   0.9881765E+00   0.9940707E+00   0.1582113E+00   0.0000000E+00
      9   0.1049318E+01   0.1024362E+01   0.1630323E+00   0.0000000E+00
     10   0.1069376E+01   0.1034106E+01   0.1645831E+00   0.0000000E+00
     11   0.1336225E+01   0.1155952E+01   0.1839755E+00   0.0000000E+00
     12   0.1401175E+01   0.1183712E+01   0.1883937E+00   0.0000000E+00
     13   0.1424967E+01   0.1193720E+01   0.1899864E+00   0.0000000E+00
     14   0.1670364E+01   0.1292426E+01   0.2056959E+00   0.0000000E+00
     15   0.1739973E+01   0.1319080E+01   0.2099382E+00   0.0000000E+00
     16   0.2190169E+01   0.1479922E+01   0.2355369E+00   0.0000000E+00
     17   0.2381141E+01   0.1543095E+01   0.2455912E+00   0.0000000E+00
     18   0.2404951E+01   0.1550790E+01   0.2468159E+00   0.0000000E+00
     19   0.2644844E+01   0.1626298E+01   0.2588333E+00   0.0000000E+00
     20   0.2662513E+01   0.1631721E+01   0.2596965E+00   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1  -0.5054159E-16   0.5776042E+01   0.1607274E-16  -0.9061961E+06   0.2055596E-10   0.1071426E+08
      2   0.2198761E+01  -0.2238461E-14   0.4900118E-02   0.1181908E+03   0.3484363E+07  -0.5303412E+05
      3   0.2730518E-14  -0.1189509E-04   0.4534241E-15   0.1126001E+03   0.1251292E-08   0.3342842E+07
      4  -0.2788340E-02  -0.9745643E-14  -0.1868902E+01  -0.4507791E+05   0.3467661E+07   0.6725476E+02
      5  -0.1309624E-14  -0.1950713E+01   0.1646760E-14   0.6231965E+06  -0.6603176E-08  -0.3618468E+07
      6  -0.1335360E-14  -0.3256980E+01   0.3483101E-14   0.7037594E+06  -0.7399728E-08  -0.1096384E+08
      7  -0.1260003E-14   0.3176081E+01   0.3168983E-14  -0.5889353E+06  -0.7226171E-08   0.1193110E+07
      8  -0.2137024E-01  -0.7628285E-15  -0.5150725E+01  -0.1242355E+06   0.9529517E+07   0.5154502E+03
      9  -0.1100418E+01   0.7642692E-14   0.7462988E-01   0.1800073E+04  -0.1832427E+07   0.2654208E+05
     10   0.4587615E-14  -0.1064065E-04  -0.2433042E-13   0.5830658E+02   0.5110350E-07   0.1675536E+07
     11   0.1282570E+01   0.2317656E-13  -0.2860823E+01  -0.6900306E+05   0.1317697E+07  -0.3093558E+05
     12   0.2966573E-13  -0.2683187E+01   0.3172985E-13   0.2085987E+06  -0.1835545E-06  -0.1065700E+08
     13  -0.9190300E+00  -0.5289114E-13  -0.3045986E+01  -0.7346918E+05   0.1004286E+08   0.2216700E+05
     14   0.4547272E-15   0.1171456E+01  -0.5491718E-13  -0.3890091E+06   0.1103778E-06   0.2172984E+07
     15  -0.4576831E-04  -0.2356609E-13  -0.2381670E+01  -0.5744588E+05   0.4417392E+07   0.1103932E+01
     16   0.4505056E+00  -0.5442293E-15   0.2619464E+01   0.6318147E+05  -0.1036845E+08  -0.1086619E+05
