case_index,github_scenario_id,i08_case_id,name_cn,category,region,confidence,U10_sustained_ms,gust3s_ms,gust3s_role,Iu,representative_event,note_cn,source,U_deck_ms,wind_profile,stationarity,github_seed_status,derived_seed,derived_u_component_seed,derived_w_component_seed,duration_s,dt_s,sample_count,minimum_frequency_hz,minimum_frequency_policy,maximum_frequency_hz,wind_spectrum,Kaimal_Lu_m,Kaimal_Lw_m,sigma_w_over_sigma_u,sigma_u_definition,coherence_model,Davenport_C,structural_damping_ratio,materialization_status,solver_execution_status
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,GB50009 江苏沿江50年基本风速,design_code,中国江苏,B,26.8,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,w0=0.45 kPa (B类),U10=sqrt(1600*w0)；张家港/南通一带 0.40-0.45 kPa 取上界,GB 50009-2012 附录E 全国基本风压图,32.71971935969148,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
2,site_gb50009_100yr,I08-site_gb50009_100yr-S20260805,GB50009 江苏沿江100年基本风速,design_code,中国江苏,B,28.3,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,w0=0.50 kPa (B类),U10=sqrt(1600*0.50)=28.3,GB 50009-2012 附录E,34.551046935793615,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
3,site_sutong_100yr_obs,I08-site_sutong_100yr_obs-S20260805,苏通桥址实测百年设计风速,design_code,长江下游江面,A,38.9,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.11,"苏通大桥风观测专题 (2000-2003, 80 m 梯度塔)","同河段桥位实测外延的百年一遇10分钟设计基本风速, 江面明显大于岸站; 本库的桥址主锚点",应用气象学报: 苏通长江公路大桥设计风速的计算与分析 qikan.camscma.cn/article/id/20060107,47.49242847358203,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
4,hko_t10,I08-hko_t10-S20260805,香港十号台风信号阈值,design_code,香港,B,32.8,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,T10 (>=118 km/h 持续风),HKO 信号定义为海平面附近10分钟平均>=118 km/h,香港天文台热带气旋警告信号定义,40.045029664100014,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
5,asce7_risk4_fl,I08-asce7_risk4_fl-S20260805,ASCE 7 IV类风险佛州角风区,design_code,美国佛罗里达,B,58.3,82.8,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,Risk Cat IV ~185 mph 3-s gust,3秒阵风区划值/1.42 得等效10分钟值; 区划约值,ASCE 7-22 风速区划图 (Risk Category IV),71.17759845783631,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
6,ss_cat1,I08-ss_cat1-S20260805,萨菲尔-辛普森1级下限,hurricane,大西洋/东太平洋,B,28.9,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,SS Cat 1 (33 m/s 1-min),33/1.14,NOAA NHC Saffir-Simpson scale,35.28357796623447,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
7,ss_cat2,I08-ss_cat2-S20260805,萨菲尔-辛普森2级下限,hurricane,大西洋/东太平洋,B,37.7,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,SS Cat 2 (43 m/s 1-min),43/1.14,NOAA NHC,46.027366412700324,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
8,ss_cat3,I08-ss_cat3-S20260805,萨菲尔-辛普森3级下限,hurricane,大西洋/东太平洋,B,43.9,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,SS Cat 3 (50 m/s 1-min),50/1.14,NOAA NHC,53.59685372725581,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
9,ss_cat4,I08-ss_cat4-S20260805,萨菲尔-辛普森4级下限,hurricane,大西洋/东太平洋,B,50.9,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,SS Cat 4 (58 m/s 1-min),58/1.14,NOAA NHC,62.14304908239911,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
10,ss_cat5,I08-ss_cat5-S20260805,萨菲尔-辛普森5级下限,hurricane,大西洋/东太平洋,B,61.4,,METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION,0.12,SS Cat 5 (70 m/s 1-min),70/1.14,NOAA NHC,74.96234211511405,U_deck=U10*ln(60/0.003)/ln(10/0.003),stationary_ok,NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP,20260805,20260816,20260834,600.0,0.05,12000,0.0016666666666666668,GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record,5.0,Kaimal,120.0,60.0,0.5,sigma_u=Iu*U10_not_Iu*U_deck,Davenport_exp,8.0,0.005,NOT_MATERIALIZED_MATRIX_ONLY,NOT_EXECUTED
