mode,frequency_hz,dominant_translation,ux_fraction,uy_fraction,uz_fraction,mirror_signature,interpretation
1,0.03677346,UY,0.000000024382,0.999999355917,0.000000619701,UY_common,C3_computed_order
2,0.07144416,UZ,0.122850696751,0.000000067052,0.877149236197,UZ_common,C3_computed_order
3,0.07267216,UZ,0.110370906398,0.101048210928,0.788580882674,UZ_differential,TA1_comparison_candidate_not_aligned
4,0.07356089,UY,0.007782733856,0.936750254501,0.055467011643,UY_common,LA1_comparison_candidate_not_aligned
5,0.10121490,UZ,0.034438711036,0.000000291662,0.965560997301,UZ_common,C3_computed_order
6,0.10285550,UZ,0.033196920887,0.018235030087,0.948568049026,UZ_differential,C3_computed_order
7,0.11012830,UY,0.000035515518,0.998646930914,0.001317553569,UY_common,C3_computed_order
8,0.11617260,UY,0.000005510598,0.999929917207,0.000064572195,UY_common,C3_computed_order
9,0.12480240,UY,0.000023769344,0.999850207899,0.000126022757,UY_common,C3_computed_order
10,0.14567830,UZ,0.034529836313,0.000001853725,0.965468309962,UZ_common,VS2_comparison_candidate_not_aligned
11,0.14644360,UZ,0.063048250554,0.000003343050,0.936948406396,UZ_common,C3_computed_order
12,0.14650910,UY,0.001682771359,0.973057945334,0.025259283307,UY_common,C3_computed_order
13,0.14655380,UZ,0.034933651670,0.018608275380,0.946458072950,UZ_differential,C3_computed_order
14,0.14910630,UZ,0.061555676940,0.024291131363,0.914153191697,UZ_differential,VS2_rejected_not_aligned
