c3_mode,frequency_hz,table41_target,mapping_status,evidence_note
1,0.03677346,,UNRESOLVED,C3原生计算阶次
2,0.07144416,,UNRESOLVED,C3原生计算阶次
3,0.07267216,TA1,NOT_ALIGNED,C3 0.07267216 Hz ≠ attach TA1 0.0996 Hz; 14阶原生对照候选，不是复现
4,0.07356089,LA1,NOT_ALIGNED,C3 0.07356089 Hz 为原生 M4；≠ attach TA1 0.0996；对照候选不是复现
5,0.10121490,,UNRESOLVED,C3原生计算阶次
6,0.10285550,,UNRESOLVED,C3原生计算阶次
7,0.11012830,,UNRESOLVED,C3原生计算阶次
8,0.11617260,,UNRESOLVED,C3原生计算阶次
9,0.12480240,,UNRESOLVED,C3原生计算阶次
10,0.14567830,VS2,NOT_ALIGNED,C3 0.14567830 Hz ≠ attach VS2 0.1744 Hz; 质量加权最可能候选，不是复现
11,0.14644360,,UNRESOLVED,C3原生计算阶次
12,0.14650910,,UNRESOLVED,C3原生计算阶次
13,0.14655380,,UNRESOLVED,C3原生计算阶次
14,0.14910630,VS2,REJECTED_AS_FIXED_ORDER_PAIR,差分竖向而非目标共同竖向分支

