mode,node,dof,frequency_hz,mass,stiffness
1,1,1,3.677257629142e-02,1.000000000000e+00,5.338359930265e-02
2,1,2,7.144558330734e-02,1.000000000000e+00,2.015164525572e-01
3,1,3,7.149091563065e-02,1.000000000000e+00,2.017722586325e-01
4,2,1,7.350165370744e-02,1.000000000000e+00,2.132818786168e-01
5,2,2,1.009814467417e-01,1.000000000000e+00,4.025713960090e-01
6,2,3,1.011768285252e-01,1.000000000000e+00,4.041307162995e-01
7,3,1,1.101117029266e-01,1.000000000000e+00,4.786595136587e-01
8,3,2,1.161815599297e-01,1.000000000000e+00,5.328857947554e-01
9,3,3,1.248152372466e-01,1.000000000000e+00,6.150280874696e-01
10,4,1,1.352049332996e-01,1.000000000000e+00,7.216802382843e-01
11,4,2,1.353874657541e-01,1.000000000000e+00,7.236301521320e-01
12,4,3,1.438136128045e-01,1.000000000000e+00,8.165066567285e-01
13,5,1,1.453338835738e-01,1.000000000000e+00,8.338606777123e-01
14,5,2,1.464250117824e-01,1.000000000000e+00,8.464284882881e-01
15,5,3,1.464449991349e-01,1.000000000000e+00,8.466595829489e-01
16,6,1,1.465787124947e-01,1.000000000000e+00,8.482063941313e-01
17,6,2,1.647992852728e-01,1.000000000000e+00,1.072186622782e+00
18,6,3,1.657263370887e-01,1.000000000000e+00,1.084283377573e+00
19,7,1,1.673853602706e-01,1.000000000000e+00,1.106100731385e+00
20,7,2,1.831318313250e-01,1.000000000000e+00,1.323998257377e+00
21,7,3,1.870471324636e-01,1.000000000000e+00,1.381216780348e+00
22,8,1,1.873136351418e-01,1.000000000000e+00,1.385155468926e+00
23,8,2,1.964456105800e-01,1.000000000000e+00,1.523506794092e+00
24,8,3,1.973690722008e-01,1.000000000000e+00,1.537864018601e+00
25,9,1,2.200177302126e-01,1.000000000000e+00,1.911063407186e+00
26,9,2,2.208493471616e-01,1.000000000000e+00,1.925537479463e+00
27,9,3,2.208764603368e-01,1.000000000000e+00,1.926010296252e+00
28,10,1,2.310094629291e-01,1.000000000000e+00,2.106780439958e+00
29,10,2,2.311254985763e-01,1.000000000000e+00,2.108897435731e+00
30,10,3,2.320619085318e-01,1.000000000000e+00,2.126020540049e+00
31,11,1,2.480270648321e-01,1.000000000000e+00,2.428610589722e+00
32,11,2,2.482377627142e-01,1.000000000000e+00,2.432738529975e+00
33,11,3,2.491017619530e-01,1.000000000000e+00,2.449702444342e+00
34,12,1,2.560441221939e-01,1.000000000000e+00,2.588149492665e+00
35,12,2,2.581865896657e-01,1.000000000000e+00,2.631643756492e+00
36,12,3,2.582861051867e-01,1.000000000000e+00,2.633672830668e+00
37,13,1,2.804504043994e-01,1.000000000000e+00,3.105073450600e+00
38,13,2,2.822936035810e-01,1.000000000000e+00,3.146022411425e+00
39,13,3,2.862340641957e-01,1.000000000000e+00,3.234464366117e+00
40,14,1,2.923731297295e-01,1.000000000000e+00,3.374695948660e+00
