mode,frequency_hz,q_ref_max_abs,q_ccx_max_abs,q_max_abs_error,v_ref_max_abs,v_max_abs_error
1,3.677257629142e-02,2.649720205547e+02,2.649720000000e+02,4.925339513306e-05,1.093320089687e+02,4.701082244196e-05
2,7.144558330734e-02,4.211509186771e+01,4.211509000000e+01,4.995382337114e-06,3.116153430235e+01,4.912881184538e-06
3,7.149091563065e-02,1.888564611092e+01,1.888565000000e+01,4.974375883648e-06,1.181848656230e+01,4.839136137136e-06
4,7.350165370744e-02,2.862728208596e+02,2.862728000000e+02,4.992904379719e-05,1.887068029279e+02,4.706091399953e-05
5,1.009814467417e-01,2.437258094811e+00,2.437258000000e+00,4.874945305211e-07,2.232623953880e+00,4.905178438985e-07
6,1.011768285252e-01,1.335577526148e+02,1.335578000000e+02,4.902424606712e-05,1.470804887114e+02,4.900450042555e-05
7,1.101117029266e-01,1.330027788125e+02,1.330028000000e+02,4.860046875876e-05,1.558709846560e+02,4.930188930530e-05
8,1.161815599297e-01,1.321169291951e-11,1.322069000000e-11,5.978431054841e-14,1.637354781715e-11,5.267141683246e-14
9,1.248152372466e-01,4.307487456416e-13,3.918081000000e-13,9.878289512661e-14,4.095761783840e-13,1.175991051266e-13
10,1.352049332996e-01,3.575443981076e-12,3.647281000000e-12,7.183701892442e-14,4.801566792632e-12,1.317809963616e-13
11,1.353874657541e-01,2.744634871855e-13,3.747245000000e-13,1.053150739003e-13,3.969034309177e-13,5.866415774333e-14
12,1.438136128045e-01,2.013258311859e+01,2.013258000000e+01,4.896419335765e-06,1.728238906474e+01,4.903076526119e-06
13,1.453338835738e-01,3.012816899082e+01,3.012817000000e+01,4.964985688360e-06,2.442330119748e+01,4.873827267105e-06
14,1.464250117824e-01,2.000306367518e+01,2.000306000000e+01,4.836111042295e-06,1.936331911442e+01,4.874753502193e-06
15,1.464449991349e-01,9.622500893320e+01,9.622501000000e+01,4.970831437134e-06,8.142063433212e+01,4.975841079613e-06
16,1.465787124947e-01,8.269362353336e+01,8.269362000000e+01,4.874601557958e-06,8.002543779714e+01,4.914663399802e-06
17,1.647992852728e-01,1.467695572126e-12,1.506799000000e-12,4.872470122566e-14,1.876506744686e-12,2.847140329507e-14
18,1.657263370887e-01,1.440362363345e-12,1.372868000000e-12,7.869758968367e-14,1.919982683795e-12,3.633030640872e-14
