mode,q_ccx,q_matrix_reference,q_package,generalized_residual_N
1,5.117872000000e+04,5.117872255635e+04,5.117872255636e+04,-1.364673889839e-04
2,-5.684457000000e-03,-5.684456979520e-03,-5.684456979521e-03,-4.127152395880e-12
3,2.007032000000e-01,2.007031562526e-01,2.007031562526e-01,8.827010372636e-09
4,1.639709000000e-01,1.639709147956e-01,1.639709147956e-01,-3.155634496765e-09
5,1.750829000000e+02,1.750829049841e+02,1.750829049841e+02,-2.006451722991e-06
6,-1.343797000000e+02,-1.343797065706e+02,-1.343797065706e+02,2.655361953430e-06
7,-1.892283000000e+03,-1.892282512351e+03,-1.892282512351e+03,-2.334179021091e-04
8,-1.882275000000e-10,-1.882275033508e-10,-1.882275033507e-10,1.785576963224e-18
9,6.360538000000e-12,6.360538356017e-12,6.360538356016e-12,-2.189601542870e-19
10,1.484701000000e-12,1.484700744347e-12,1.484700744346e-12,1.844999095286e-19
11,8.914522000000e-12,8.914522133013e-12,8.914522133013e-12,-9.625209478545e-20
12,-2.884708000000e+02,-2.884708167963e+02,-2.884708167963e+02,1.371429587493e-05
13,-2.103689000000e+02,-2.103689484468e+02,-2.103689484468e+02,4.039791866717e-05
14,-4.427955000000e-01,-4.427955060629e-01,-4.427955060629e-01,5.131819358350e-09
15,1.106410000000e+00,1.106409728846e+00,1.106409728846e+00,2.295749234049e-07
16,3.976619000000e-01,3.976618618647e-01,3.976618618647e-01,3.234662043772e-08
17,-7.735823000000e-12,-7.735822677373e-12,-7.735822677374e-12,-3.459158815537e-19
18,1.320764000000e-11,1.320763983084e-11,1.320763983084e-11,1.834133243893e-19
19,-5.313916000000e-12,-5.313916114554e-12,-5.313916114554e-12,1.267081231903e-19
20,3.957291000000e+02,3.957290970886e+02,3.957290970887e+02,3.854653186863e-06
21,8.548390000000e+01,8.548390437509e+01,8.548390437509e+01,-6.042943581974e-06
22,-5.515785000000e+01,-5.515784800169e+01,-5.515784800169e+01,-2.767964232930e-06
23,-1.862868000000e-12,-1.862867973358e-12,-1.862867973359e-12,-4.058857206768e-20
24,3.804812000000e-13,3.804812321347e-13,3.804812321347e-13,-4.941876105350e-20
25,-4.686925000000e-01,-4.686925006697e-01,-4.686925006698e-01,1.279922723363e-09
26,2.858811000000e-03,2.858811101682e-03,2.858811101682e-03,-1.957931967597e-10
27,-4.662984000000e-02,-4.662983576891e-02,-4.662983576891e-02,-8.149114050227e-09
28,1.663917000000e-12,1.663916895553e-12,1.663916895553e-12,2.200479056783e-19
29,1.092946000000e-12,1.092945648904e-12,1.092945648904e-12,7.404250823240e-19
