category,family,event_count,category_aggregation,maximum_mean_plus_3p5sigma_kn,maximum_peak_case_id,maximum_peak_width,maximum_peak_element_id,minimum_mean_minus_3p5sigma_kn,minimum_margin_case_id,minimum_margin_width,minimum_margin_element_id,slack_screen_flag,slack_screen_event_count,minimum_capacity_ratio_break_to_peak,capacity_status
design_code,carrying_rope,5,DESCRIPTIVE_EVENT_AND_ELEMENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,982.768750000041,I08-asce7_risk4_fl-S20260805,L,2,24.351633791514942,I08-asce7_risk4_fl-S20260805,R,728,False,0,2.4217294251571397,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE
design_code,gantry_rope,5,DESCRIPTIVE_EVENT_AND_ELEMENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,776.272383577139,I08-asce7_risk4_fl-S20260805,L,1066,312.19911334115125,I08-asce7_risk4_fl-S20260805,R,1174,False,0,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
hurricane,carrying_rope,8,DESCRIPTIVE_EVENT_AND_ELEMENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,1156.0098830759002,I08-patricia_2015_peak-S20260805,L,160,-59.02163429713087,I08-patricia_2015_peak-S20260805,R,728,True,3,2.058805927910684,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE
hurricane,gantry_rope,8,DESCRIPTIVE_EVENT_AND_ELEMENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,1037.5517884165195,I08-patricia_2015_peak-S20260805,L,1066,60.11559001835775,I08-patricia_2015_peak-S20260805,R,1178,False,0,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
typhoon,carrying_rope,8,DESCRIPTIVE_EVENT_AND_ELEMENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,1073.655439980872,I08-goni_2020_landfall-S20260805,L,160,-32.315457819276816,I08-goni_2020_landfall-S20260805,R,728,True,3,2.216726066271691,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE
typhoon,gantry_rope,8,DESCRIPTIVE_EVENT_AND_ELEMENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,953.333471976398,I08-goni_2020_landfall-S20260805,L,1066,141.24290690958082,I08-goni_2020_landfall-S20260805,R,1178,False,0,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
monsoon,carrying_rope,3,DESCRIPTIVE_EVENT_AND_ELEMENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,982.7687500000502,I08-amphan_2020_peak-S20260805,L,2,10.078320634118313,I08-amphan_2020_peak-S20260805,R,728,False,0,2.421729425157117,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE
monsoon,gantry_rope,3,DESCRIPTIVE_EVENT_AND_ELEMENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,820.7116392719,I08-amphan_2020_peak-S20260805,L,1066,269.25302075115275,I08-amphan_2020_peak-S20260805,R,1175,False,0,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
tornado,carrying_rope,5,DESCRIPTIVE_EVENT_AND_ELEMENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,1946.4774141796718,I08-bridge_creek_1999_ref-S20260805,R,166,-596.4325912318338,I08-bridge_creek_1999_ref-S20260805,R,198,True,4,1.222721611184496,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE
tornado,gantry_rope,5,DESCRIPTIVE_EVENT_AND_ELEMENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,1843.5237495821689,I08-bridge_creek_1999_ref-S20260805,R,1066,-736.5003995166187,I08-bridge_creek_1999_ref-S20260805,R,1072,True,2,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
