category,event_count,station,response,unit,category_aggregation,maximum_sigma,maximum_sigma_case_id,maximum_mean_plus_3p5sigma,maximum_mean_plus_case_id,minimum_mean_minus_3p5sigma,minimum_mean_minus_case_id,reference_only_event_count
design_code,5,L/4,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,87.60871418111363,I08-asce7_risk4_fl-S20260805,397.05335312548095,I08-asce7_risk4_fl-S20260805,-216.20764614231442,I08-asce7_risk4_fl-S20260805,0
design_code,5,L/2,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,123.09193013191538,I08-asce7_risk4_fl-S20260805,551.0822904759206,I08-asce7_risk4_fl-S20260805,-310.561220447487,I08-asce7_risk4_fl-S20260805,0
design_code,5,3L/4,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,87.34193808083945,I08-asce7_risk4_fl-S20260805,396.1174698539323,I08-asce7_risk4_fl-S20260805,-215.27609671194392,I08-asce7_risk4_fl-S20260805,0
design_code,5,L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,6.039247944989492,I08-asce7_risk4_fl-S20260805,20.694419967474335,I08-asce7_risk4_fl-S20260805,-21.580315647452107,I08-asce7_risk4_fl-S20260805,0
design_code,5,L/2,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,3.779484593178827,I08-asce7_risk4_fl-S20260805,12.622716289557026,I08-asce7_risk4_fl-S20260805,-13.833675862694761,I08-asce7_risk4_fl-S20260805,0
design_code,5,3L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,6.072691290927284,I08-asce7_risk4_fl-S20260805,20.811462159768833,I08-asce7_risk4_fl-S20260805,-21.697376876722156,I08-asce7_risk4_fl-S20260805,0
design_code,5,L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,7.106853282346348,I08-asce7_risk4_fl-S20260805,37.972567595860546,I08-asce7_risk4_fl-S20260805,-11.775405380563887,I08-asce7_risk4_fl-S20260805,0
design_code,5,L/2,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,3.2847990444993203,I08-asce7_risk4_fl-S20260805,20.539482639331247,I08-asce7_risk4_fl-S20260805,-2.454110672163994,I08-asce7_risk4_fl-S20260805,0
design_code,5,3L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,7.032464054625021,I08-asce7_risk4_fl-S20260805,37.630582395023914,I08-asce7_risk4_fl-S20260805,-11.596665987351228,I08-asce7_risk4_fl-S20260805,0
design_code,5,L/4,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,7.141715212607616,I08-asce7_risk4_fl-S20260805,38.09457824343249,I08-asce7_risk4_fl-S20260805,-11.897428244820828,I08-asce7_risk4_fl-S20260805,0
design_code,5,L/2,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,3.294778107451961,I08-asce7_risk4_fl-S20260805,20.574401006355572,I08-asce7_risk4_fl-S20260805,-2.4890457458081574,I08-asce7_risk4_fl-S20260805,0
design_code,5,3L/4,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,6.977547875555648,I08-asce7_risk4_fl-S20260805,37.438369702795114,I08-asce7_risk4_fl-S20260805,-11.40446542609442,I08-asce7_risk4_fl-S20260805,0
design_code,5,L/4,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,5.5229089961359605,I08-asce7_risk4_fl-S20260805,20.564308890281488,I08-asce7_risk4_fl-S20260805,-18.096054082670236,I08-asce7_risk4_fl-S20260805,0
design_code,5,L/2,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,2.063941450184205,I08-asce7_risk4_fl-S20260805,9.044226790786874,I08-asce7_risk4_fl-S20260805,-5.403363360502559,I08-asce7_risk4_fl-S20260805,0
design_code,5,3L/4,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,5.579365211884012,I08-asce7_risk4_fl-S20260805,20.764579026508574,I08-asce7_risk4_fl-S20260805,-18.29097745667951,I08-asce7_risk4_fl-S20260805,0
hurricane,8,L/4,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,194.00949089418043,I08-patricia_2015_peak-S20260805,867.1957248314679,I08-patricia_2015_peak-S20260805,-490.870711427795,I08-patricia_2015_peak-S20260805,0
hurricane,8,L/2,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,272.3434058117655,I08-patricia_2015_peak-S20260805,1203.4541834782335,I08-patricia_2015_peak-S20260805,-702.949657204125,I08-patricia_2015_peak-S20260805,0
hurricane,8,3L/4,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,193.40336344217425,I08-patricia_2015_peak-S20260805,865.0697695662684,I08-patricia_2015_peak-S20260805,-488.75377452895145,I08-patricia_2015_peak-S20260805,0
hurricane,8,L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,13.189566297037326,I08-patricia_2015_peak-S20260805,45.24174408631299,I08-patricia_2015_peak-S20260805,-47.08521999294828,I08-patricia_2015_peak-S20260805,0
hurricane,8,L/2,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,8.394779590479258,I08-patricia_2015_peak-S20260805,28.121775026185606,I08-patricia_2015_peak-S20260805,-30.6416821071692,I08-patricia_2015_peak-S20260805,0
hurricane,8,3L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,13.26390466310548,I08-patricia_2015_peak-S20260805,45.501908560362864,I08-patricia_2015_peak-S20260805,-47.3454240813755,I08-patricia_2015_peak-S20260805,0
hurricane,8,L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,14.767809936898157,I08-patricia_2015_peak-S20260805,78.94440265835887,I08-patricia_2015_peak-S20260805,-24.430266899928228,I08-patricia_2015_peak-S20260805,0
hurricane,8,L/2,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,7.9580640008071635,I08-patricia_2015_peak-S20260805,46.670308360232966,I08-patricia_2015_peak-S20260805,-9.036139645417176,I08-patricia_2015_peak-S20260805,0
hurricane,8,3L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,14.40606131947951,I08-patricia_2015_peak-S20260805,77.5084319608036,I08-patricia_2015_peak-S20260805,-23.33399727555297,I08-patricia_2015_peak-S20260805,0
