category,event_count,confidence_A_count,confidence_B_count,confidence_C_count,stationary_ok_count,reference_only_count,U10_min_ms,U10_max_ms,U_deck_min_ms,U_deck_max_ms,Iu_min,Iu_max,stationarity_boundary,category_aggregation,station_response_control_policy,maximum_rope_peak_kn,maximum_rope_peak_case_id,maximum_rope_peak_family,maximum_rope_peak_element_id,minimum_rope_margin_kn,minimum_rope_margin_case_id,minimum_rope_margin_family,minimum_rope_margin_element_id,slack_screen_flag,slack_screen_event_count,linearity_boundary_status,lateral_common_m__critical_case_id,lateral_common_m__critical_station,lateral_common_m__unit,lateral_common_m__mean_plus_3p5sigma,lateral_common_m__mean_minus_3p5sigma,lateral_common_m__absolute_characteristic,vertical_common_m__critical_case_id,vertical_common_m__critical_station,vertical_common_m__unit,vertical_common_m__mean_plus_3p5sigma,vertical_common_m__mean_minus_3p5sigma,vertical_common_m__absolute_characteristic,local_roll_L_deg__critical_case_id,local_roll_L_deg__critical_station,local_roll_L_deg__unit,local_roll_L_deg__mean_plus_3p5sigma,local_roll_L_deg__mean_minus_3p5sigma,local_roll_L_deg__absolute_characteristic,local_roll_R_deg__critical_case_id,local_roll_R_deg__critical_station,local_roll_R_deg__unit,local_roll_R_deg__mean_plus_3p5sigma,local_roll_R_deg__mean_minus_3p5sigma,local_roll_R_deg__absolute_characteristic,system_roll_deg__critical_case_id,system_roll_deg__critical_station,system_roll_deg__unit,system_roll_deg__mean_plus_3p5sigma,system_roll_deg__mean_minus_3p5sigma,system_roll_deg__absolute_characteristic
design_code,5,1,4,0,5,0,26.8,58.3,32.71971935969148,71.17759845783631,0.11,0.12,STATIONARY_SPECTRAL_MAPPING,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,SEPARATE_BY_RESPONSE_QUANTITY_AND_UNIT,982.768750000041,I08-asce7_risk4_fl-S20260805,carrying_rope,2,24.351633791514942,I08-asce7_risk4_fl-S20260805,carrying_rope,728,False,0,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,I08-asce7_risk4_fl-S20260805,L/2,m,551.0822904759206,-310.561220447487,551.0822904759206,I08-asce7_risk4_fl-S20260805,3L/4,m,20.811462159768833,-21.697376876722156,21.697376876722156,I08-asce7_risk4_fl-S20260805,L/4,deg,37.972567595860546,-11.775405380563887,37.972567595860546,I08-asce7_risk4_fl-S20260805,L/4,deg,38.09457824343249,-11.897428244820828,38.09457824343249,I08-asce7_risk4_fl-S20260805,3L/4,deg,20.764579026508574,-18.29097745667951,20.764579026508574
hurricane,8,1,5,2,8,0,28.9,84.1,35.28357796623447,102.67643276679303,0.12,0.13,STATIONARY_SPECTRAL_MAPPING,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,SEPARATE_BY_RESPONSE_QUANTITY_AND_UNIT,1156.0098830759002,I08-patricia_2015_peak-S20260805,carrying_rope,160,-59.02163429713087,I08-patricia_2015_peak-S20260805,carrying_rope,728,True,3,LINEAR_TENSION_ONLY_BOUNDARY_CROSSED_STATISTICAL_SLACK,I08-patricia_2015_peak-S20260805,L/2,m,1203.4541834782335,-702.949657204125,1203.4541834782335,I08-patricia_2015_peak-S20260805,3L/4,m,45.501908560362864,-47.3454240813755,47.3454240813755,I08-patricia_2015_peak-S20260805,L/4,deg,78.94440265835887,-24.430266899928228,78.94440265835887,I08-patricia_2015_peak-S20260805,L/4,deg,79.21927825660016,-24.705167920084268,79.21927825660016,I08-patricia_2015_peak-S20260805,3L/4,deg,34.21796842173114,-29.070607395307015,34.21796842173114
typhoon,8,6,0,2,8,0,35.8,76.8,43.70768481630429,93.76397189642931,0.12,0.12,STATIONARY_SPECTRAL_MAPPING,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,SEPARATE_BY_RESPONSE_QUANTITY_AND_UNIT,1073.655439980872,I08-goni_2020_landfall-S20260805,carrying_rope,160,-32.315457819276816,I08-goni_2020_landfall-S20260805,carrying_rope,728,True,3,LINEAR_TENSION_ONLY_BOUNDARY_CROSSED_STATISTICAL_SLACK,I08-goni_2020_landfall-S20260805,L/2,m,994.0205290187589,-576.6339716178111,994.0205290187589,I08-goni_2020_landfall-S20260805,3L/4,m,37.65839649378247,-39.19576240445412,39.19576240445412,I08-goni_2020_landfall-S20260805,L/4,deg,65.56461779509164,-20.103555488058625,65.56461779509164,I08-goni_2020_landfall-S20260805,L/4,deg,65.79091677845734,-20.32987567156324,65.79091677845734,I08-goni_2020_landfall-S20260805,3L/4,deg,30.331552057167688,-26.039004865811517,30.331552057167688
monsoon,3,3,0,0,3,0,49.0,63.5,59.82336748600307,77.52620072165705,0.12,0.12,STATIONARY_SPECTRAL_MAPPING,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,SEPARATE_BY_RESPONSE_QUANTITY_AND_UNIT,982.7687500000502,I08-amphan_2020_peak-S20260805,carrying_rope,2,10.078320634118313,I08-amphan_2020_peak-S20260805,carrying_rope,728,False,0,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,I08-amphan_2020_peak-S20260805,L/2,m,662.6607496468339,-377.3202165250939,662.6607496468339,I08-amphan_2020_peak-S20260805,3L/4,m,25.08602992396451,-26.137028814024212,26.137028814024212,I08-amphan_2020_peak-S20260805,L/4,deg,44.85411829028221,-13.775293337833029,44.85411829028221,I08-amphan_2020_peak-S20260805,L/4,deg,45.00248118698368,-13.923670727715532,45.00248118698368,I08-amphan_2020_peak-S20260805,3L/4,deg,23.409432110653096,-20.47489173719492,23.409432110653096
tornado,5,1,3,1,0,5,47.2,95.1,57.62577439468052,116.10616832487534,0.25,0.25,REFERENCE_ONLY_STATIONARY_SURROGATE,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,SEPARATE_BY_RESPONSE_QUANTITY_AND_UNIT,1946.4774141796718,I08-bridge_creek_1999_ref-S20260805,carrying_rope,166,-736.5003995166187,I08-bridge_creek_1999_ref-S20260805,gantry_rope,1072,True,4,LINEAR_TENSION_ONLY_BOUNDARY_CROSSED_STATISTICAL_SLACK,I08-bridge_creek_1999_ref-S20260805,L/2,m,2892.846578398884,-2252.850884937827,2892.846578398884,I08-bridge_creek_1999_ref-S20260805,3L/4,m,123.12701612558251,-125.48432146917204,125.48432146917204,I08-bridge_creek_1999_ref-S20260805,L/4,deg,174.6118246001616,-104.9045386783562,174.6118246001616,I08-bridge_creek_1999_ref-S20260805,L/4,deg,175.35104151950372,-105.64378810472891,175.35104151950372,I08-bridge_creek_1999_ref-S20260805,3L/4,deg,80.17321117458377,-73.59127491493732,80.17321117458377
downburst,2,1,0,1,0,2,30.6,46.9,37.35908255248356,57.259508879460085,0.22,0.22,REFERENCE_ONLY_STATIONARY_SURROGATE,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,SEPARATE_BY_RESPONSE_QUANTITY_AND_UNIT,982.7687500000475,I08-andrews_afb_1983_microburst-S20260805,carrying_rope,2,15.084989903950941,I08-andrews_afb_1983_microburst-S20260805,carrying_rope,728,False,0,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,I08-andrews_afb_1983_microburst-S20260805,L/2,m,563.0676189989804,-407.41311095510645,563.0676189989804,I08-andrews_afb_1983_microburst-S20260805,3L/4,m,23.676098262687855,-24.24942275114076,24.24942275114076,I08-andrews_afb_1983_microburst-S20260805,L/4,deg,38.91228666397737,-21.958651806600784,38.91228666397737,I08-andrews_afb_1983_microburst-S20260805,L/4,deg,39.04646128454049,-22.092834333257514,39.04646128454049,I08-andrews_afb_1983_microburst-S20260805,3L/4,deg,27.065450707335707,-25.46464610671265,27.065450707335707
derecho,1,0,0,1,0,1,44.1,44.1,53.84103073740277,53.84103073740277,0.2,0.2,REFERENCE_ONLY_STATIONARY_SURROGATE,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,SEPARATE_BY_RESPONSE_QUANTITY_AND_UNIT,982.7687500000369,I08-midwest_derecho_2020-S20260805,carrying_rope,2,31.474503117120307,I08-midwest_derecho_2020-S20260805,carrying_rope,728,False,0,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,I08-midwest_derecho_2020-S20260805,L/2,m,452.3212156410265,-314.69752608296545,452.3212156410265,I08-midwest_derecho_2020-S20260805,3L/4,m,18.67688712327718,-19.183798438641308,19.183798438641308,I08-midwest_derecho_2020-S20260805,L/4,deg,32.2393939281488,-17.249646378822074,32.2393939281488,I08-midwest_derecho_2020-S20260805,L/4,deg,32.344655913661434,-17.354915354596564,32.344655913661434,I08-midwest_derecho_2020-S20260805,3L/4,deg,22.504337209247673,-21.088967759509885,22.504337209247673
extratropical_storm,3,0,0,3,3,0,28.0,35.2,34.18478142057319,42.975153785863434,0.15,0.16,STATIONARY_SPECTRAL_MAPPING,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,SEPARATE_BY_RESPONSE_QUANTITY_AND_UNIT,982.7687500000152,I08-great_storm_1987-S20260805,carrying_rope,2,65.62018481331961,I08-great_storm_1987-S20260805,carrying_rope,728,False,0,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,I08-great_storm_1987-S20260805,L/2,m,214.70940525808774,-127.02924302629137,214.70940525808774,I08-great_storm_1987-S20260805,3L/4,m,8.239466188114934,-8.562419790877554,8.562419790877554,I08-great_storm_1987-S20260805,3L/4,deg,17.18790352254992,-7.697433461511527,17.18790352254992,I08-great_storm_1987-S20260805,L/4,deg,17.20551679648801,-7.6555411472967165,17.20551679648801,I08-great_storm_1987-S20260805,3L/4,deg,11.994625123898366,-11.092892120158613,11.994625123898366
foehn_bora,2,0,0,2,2,0,28.0,48.6,34.18478142057319,59.335013465709174,0.16,0.18,STATIONARY_SPECTRAL_MAPPING,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,SEPARATE_BY_RESPONSE_QUANTITY_AND_UNIT,982.7687500000417,I08-bora_adriatic-S20260805,carrying_rope,2,24.765075890712396,I08-bora_adriatic-S20260805,carrying_rope,728,False,0,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,I08-bora_adriatic-S20260805,L/2,m,513.8793143142661,-346.7361744761546,513.8793143142661,I08-bora_adriatic-S20260805,3L/4,m,20.944838509593968,-21.560479240790055,21.560479240790055,I08-bora_adriatic-S20260805,L/4,deg,35.67778520046919,-17.472827327151098,35.67778520046919,I08-bora_adriatic-S20260805,L/4,deg,35.79727268659538,-17.59232330290811,35.79727268659538,I08-bora_adriatic-S20260805,3L/4,deg,23.496210797795086,-21.777253148717456,23.496210797795086
local_record,3,3,0,0,3,0,30.0,72.7,36.626551522042696,88.75834318841682,0.12,0.16,STATIONARY_SPECTRAL_MAPPING,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,SEPARATE_BY_RESPONSE_QUANTITY_AND_UNIT,1112.3987436697448,I08-mt_washington_1934-S20260805,carrying_rope,160,-45.84529790532636,I08-mt_washington_1934-S20260805,carrying_rope,728,True,1,LINEAR_TENSION_ONLY_BOUNDARY_CROSSED_STATISTICAL_SLACK,I08-mt_washington_1934-S20260805,L/2,m,1059.3695814342573,-685.3581817683138,1059.3695814342573,I08-mt_washington_1934-S20260805,3L/4,m,42.0967611293351,-43.474362697601855,43.474362697601855,I08-mt_washington_1934-S20260805,L/4,deg,68.26615854347581,-27.52944759228723,68.26615854347581,I08-mt_washington_1934-S20260805,L/4,deg,68.51709559830311,-27.780403644117378,68.51709559830311,I08-mt_washington_1934-S20260805,3L/4,deg,34.73846181188283,-30.89199969013077,34.73846181188283
