attachment_row,width,mct_node,global_axis,model_static_wind_increment_kN,attachment_static_wind_increment_kN,model_buffeting_sigma_kN,attachment_buffeting_RMS_kN,model_to_attachment_sigma_ratio,comparison_boundary,sign_note
北锚碇转索鞍1,L,6,Y_transverse,1.7928932628740923e-12,40.73,1.7049495945709066e-12,0.01,1.7049495945709065e-10,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北锚碇转索鞍1,L,6,Z_vertical,-2.4295810178935775e-12,451.6,1.7044428903479598e-11,16.69,1.0212360038034509e-12,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北锚碇转索鞍1,R,6,Y_transverse,-4.191599132465577e-13,40.73,1.3071103050811512e-12,0.01,1.3071103050811512e-10,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北锚碇转索鞍1,R,6,Z_vertical,-5.03682244945323e-12,451.6,6.4087272629101406e-12,16.69,3.8398605529719235e-13,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北锚碇转索鞍2,L,3,Y_transverse,4.896737759378872e-13,,3.9671769751236183e-13,,,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北锚碇转索鞍2,L,3,Z_vertical,-2.5589237435806527e-11,0.0,1.4378246555983565e-11,,,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北锚碇转索鞍2,R,3,Y_transverse,-2.6952670522973126e-13,,3.4691446627060946e-13,,,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北锚碇转索鞍2,R,3,Z_vertical,3.3472668010661696e-14,0.0,5.932862494135388e-12,,,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南锚碇转索鞍3,L,723,Y_transverse,3.3938560721759873e-13,25.58,1.9116887236751935e-12,0.01,1.9116887236751934e-10,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南锚碇转索鞍3,L,723,Z_vertical,-3.866260608151241e-12,11.54,2.943691207406719e-12,2.69,1.094308999035955e-12,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南锚碇转索鞍3,R,723,Y_transverse,1.3074400132621705e-12,25.58,1.5328525898888243e-12,0.01,1.532852589888824e-10,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南锚碇转索鞍3,R,723,Z_vertical,-3.6455894325697036e-12,11.54,4.056385564874708e-12,2.69,1.5079500241169916e-12,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南锚碇转索鞍4,L,726,Y_transverse,3.5395730550271e-13,,1.0274583390741671e-12,,,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南锚碇转索鞍4,L,726,Z_vertical,-6.8964596395408384e-12,0.0,3.4558256393093398e-12,,,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南锚碇转索鞍4,R,726,Y_transverse,-9.734027486601048e-15,,1.9658081152290472e-14,,,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
南锚碇转索鞍4,R,726,Z_vertical,8.164826560958684e-12,0.0,5.4516725929336156e-12,,,attachment horizontal X cannot be recovered because UX is free,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北塔转索鞍边跨侧,L,154,X_longitudinal,-234.13443392743577,-727.39,206.86829650796798,20.88,9.907485464940995,all three Attachment components can be compared after axis reorder and sign audit,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北塔转索鞍边跨侧,L,154,Y_transverse,1.0500056790884008e-12,-49.08,1.7661785870873682e-12,0.01,1.7661785870873683e-10,all three Attachment components can be compared after axis reorder and sign audit,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北塔转索鞍边跨侧,L,154,Z_vertical,-7.632059532053301e-05,-1061.36,0.00013129532364346578,29.35,4.47343521783529e-06,all three Attachment components can be compared after axis reorder and sign audit,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北塔转索鞍边跨侧,R,154,X_longitudinal,4.011063593013561,-727.39,209.39190785239828,20.88,10.028348077222141,all three Attachment components can be compared after axis reorder and sign audit,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北塔转索鞍边跨侧,R,154,Y_transverse,1.0379014148915008e-12,-49.08,1.821058843209609e-12,0.01,1.821058843209609e-10,all three Attachment components can be compared after axis reorder and sign audit,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
北塔转索鞍边跨侧,R,154,Z_vertical,-8.791151377934493e-05,-1061.36,0.00013470969861384825,29.35,4.589768266229923e-06,all three Attachment components can be compared after axis reorder and sign audit,model is support-on-structure; attachment sign convention requires confirmation; RMS has no sign
