width,element_id,n1,n2,family,mean_tension_per_rope_kn,sigma_per_rope_kn,peak_mean_plus_3p5sigma_kn,capacity_ratio_to_break
L,1,1,2,carrying_rope,980.3937499999989,2.9207687026629153e-12,980.3937500000092,2.4275960551563878
L,2,2,3,carrying_rope,982.7687499999977,2.7970541430423973e-12,982.7687500000075,2.4217294251572223
L,3,3,4,carrying_rope,762.8374999999997,2.3103294174804795e-12,762.8375000000078,3.119930522555558
L,4,4,5,carrying_rope,763.0812499999989,2.2504076870885392e-12,763.0812500000068,3.1189339274159584
L,5,5,6,carrying_rope,763.3125,2.4205486339648957e-12,763.3125000000085,3.117989028084793
L,6,6,7,carrying_rope,653.8437500000003,1.8818218902996776e-12,653.8437500000069,3.6400133824021026
L,7,7,8,carrying_rope,654.006249999999,1.8705443131400644e-12,654.0062500000056,3.6391089534694503
L,8,8,9,carrying_rope,655.4562499999984,1.9892155400243708e-12,655.4562500000053,3.6310585183984143
L,9,9,10,carrying_rope,655.8125000000014,1.9926070593658327e-12,655.8125000000083,3.629086057371535
L,10,10,11,carrying_rope,656.0874999999935,3.0186190998240284e-12,656.0875000000041,3.6275649208375182
L,11,11,12,carrying_rope,656.2750000000061,3.2939696159974385e-12,656.2750000000176,3.6265285131994
L,12,12,13,carrying_rope,656.5499999999959,2.4885688408826096e-12,656.5500000000046,3.625009519457746
L,13,13,14,carrying_rope,656.9374999999982,1.900726818727685e-12,656.9375000000049,3.6228712777090397
L,14,14,15,carrying_rope,657.21875,1.6767712907808143e-12,657.2187500000059,3.6213209072321484
L,15,15,16,carrying_rope,657.4125000000059,3.4849069414188237e-12,657.4125000000181,3.6202536459223613
L,16,16,17,carrying_rope,657.7562499999993,1.9222999921084776e-12,657.756250000006,3.6183616651304766
L,17,17,18,carrying_rope,658.1500000000017,1.82990108757137e-12,658.150000000008,3.616196915596704
L,18,18,19,carrying_rope,658.4312499999905,3.5328455462689094e-12,658.4312500000029,3.6146522510892205
L,19,19,20,carrying_rope,658.6312499999931,3.808470390461854e-12,658.6312500000064,3.6135546255966093
L,20,20,21,carrying_rope,658.9124999999984,1.9195111391806016e-12,658.9125000000051,3.612012217100118
L,21,21,22,carrying_rope,659.3125000000078,3.4187092659884954e-12,659.3125000000198,3.6098208360981
L,22,22,23,carrying_rope,659.6062500000155,6.719414820623084e-12,659.606250000039,3.608213233273425
L,23,23,24,carrying_rope,659.8062499999711,1.1120614052762717e-11,659.80625000001,3.607119514251288
L,24,24,25,carrying_rope,660.1000000000059,3.324104673339734e-12,660.1000000000175,3.6055143160126297
L,25,25,26,carrying_rope,660.5062499999952,2.0571891933105803e-12,660.5062500000024,3.6032967136949745
L,26,26,27,carrying_rope,660.8000000000004,3.4552772338549945e-12,660.8000000000125,3.6016949152541695
L,27,27,28,carrying_rope,660.9999999999994,3.231665192854009e-12,661.0000000000107,3.600605143721576
