width,element_id,n1,n2,family,mean_tension_per_rope_kn,sigma_per_rope_kn,peak_mean_plus_3p5sigma_kn,capacity_ratio_to_break
L,1001,1001,1002,gantry_rope,574.8349999999994,1.9702047829016373e-12,574.8350000000063,
L,1002,1002,1003,gantry_rope,576.2566666666651,2.0652755671051505e-12,576.2566666666723,
L,1003,1003,1004,gantry_rope,545.2983333333334,1.7298735438421125e-12,545.2983333333394,
L,1004,1004,1005,gantry_rope,545.4716666666665,1.8278078224426197e-12,545.4716666666728,
L,1005,1005,1006,gantry_rope,545.8149999999987,1.8605508922405877e-12,545.8150000000052,
L,1006,1006,1007,gantry_rope,546.1983333333336,1.890752100441198e-12,546.1983333333402,
L,1007,1007,1008,gantry_rope,546.5833333333351,1.926232918215596e-12,546.5833333333418,
L,1008,1008,1009,gantry_rope,547.9716666666659,1.6943478134175898e-12,547.9716666666718,
L,1009,1009,1010,gantry_rope,548.4299999999974,2.0420698353572164e-12,548.4300000000046,
L,1010,1010,1011,gantry_rope,548.8716666666649,1.8922644812755467e-12,548.8716666666714,
L,1011,1011,1012,gantry_rope,549.3183333333365,2.1566641745516635e-12,549.318333333344,
L,1012,1012,1013,gantry_rope,549.7883333333278,2.4378011469170504e-12,549.7883333333364,
L,1013,1013,1014,gantry_rope,551.2899999999983,1.913843832576414e-12,551.290000000005,
L,1014,1014,1015,gantry_rope,551.7766666666711,2.550925512503154e-12,551.7766666666801,
L,1015,1015,1016,gantry_rope,552.243333333331,1.8252469663365045e-12,552.2433333333373,
L,1016,1016,1017,gantry_rope,552.7149999999976,2.037821576446984e-12,552.7150000000048,
L,1017,1017,1018,gantry_rope,553.2100000000006,2.309066815229428e-12,553.2100000000087,
L,1018,1018,1019,gantry_rope,554.9933333333307,1.923070947923365e-12,554.9933333333374,
L,1019,1019,1020,gantry_rope,555.5050000000043,3.0702124295463727e-12,555.5050000000151,
L,1020,1020,1021,gantry_rope,555.999999999999,2.621117862113903e-12,556.0000000000082,
L,1021,1021,1022,gantry_rope,556.4983333333448,5.3145977680714765e-12,556.4983333333635,
L,1022,1022,1023,gantry_rope,557.0216666666524,5.263847609025141e-12,557.0216666666709,
L,1023,1023,1024,gantry_rope,558.6816666666705,2.507728172177778e-12,558.6816666666792,
L,1024,1024,1025,gantry_rope,559.2216666666757,3.482000025466587e-12,559.2216666666878,
L,1025,1025,1026,gantry_rope,559.7416666666483,6.687248308859166e-12,559.7416666666717,
L,1026,1026,1027,gantry_rope,560.2650000000087,4.499323098711301e-12,560.2650000000245,
L,1027,1027,1028,gantry_rope,560.8166666666541,4.7854979075392595e-12,560.8166666666708,
L,1028,1028,1029,gantry_rope,562.5516666666863,8.160061664659449e-12,562.5516666667148,
L,1029,1029,1030,gantry_rope,563.1183333333319,2.113682806340197e-12,563.1183333333393,
L,1030,1030,1031,gantry_rope,563.6633333333272,3.624795019994482e-12,563.6633333333399,
L,1031,1031,1032,gantry_rope,564.2133333333198,4.680030884845457e-12,564.2133333333362,
L,1032,1032,1033,gantry_rope,564.789999999995,3.0258887334417504e-12,564.7900000000055,
L,1033,1033,1034,gantry_rope,566.8299999999965,2.6160097557414798e-12,566.8300000000057,
L,1034,1034,1035,gantry_rope,567.4250000000287,1.0353524242328232e-11,567.425000000065,
L,1035,1035,1036,gantry_rope,567.998333333326,3.152124382968583e-12,567.998333333337,
L,1036,1036,1037,gantry_rope,568.575000000005,1.964298472500937e-12,568.5750000000119,
L,1037,1037,1038,gantry_rope,569.179999999983,6.30777940161797e-12,569.1800000000051,
L,1038,1038,1039,gantry_rope,571.0700000000217,8.809240878334204e-12,571.0700000000525,
L,1039,1039,1040,gantry_rope,571.6916666666506,6.4286643899054395e-12,571.6916666666731,
L,1040,1040,1041,gantry_rope,572.2900000000034,2.2755096151418037e-12,572.2900000000113,
L,1041,1041,1042,gantry_rope,572.8916666666482,6.969135102551986e-12,572.8916666666727,
L,1042,1042,1043,gantry_rope,573.5250000000093,3.7543374653549405e-12,573.5250000000225,
L,1043,1043,1044,gantry_rope,575.4883333333339,2.1746199169592986e-12,575.4883333333415,
L,1044,1044,1045,gantry_rope,576.1366666666652,2.359104283851098e-12,576.1366666666735,
L,1045,1045,1046,gantry_rope,576.7616666666621,2.3124653127790457e-12,576.7616666666702,
L,1046,1046,1047,gantry_rope,577.3900000000087,3.084837974483697e-12,577.3900000000195,
L,1047,1047,1048,gantry_rope,578.0499999999884,3.948262273823643e-12,578.0500000000022,
L,1048,1048,1049,gantry_rope,580.3416666666756,3.4086433981905855e-12,580.3416666666875,
L,1049,1049,1050,gantry_rope,581.0183333333298,2.480314630199427e-12,581.0183333333384,
L,1050,1050,1051,gantry_rope,581.6716666666664,1.7705903004621082e-12,581.6716666666726,
L,1051,1051,1052,gantry_rope,582.3266666666584,3.2169553161994217e-12,582.3266666666697,
L,1052,1052,1053,gantry_rope,583.016666666669,2.0773351667699166e-12,583.0166666666763,
L,1053,1053,1054,gantry_rope,585.1283333333341,1.8543800545396763e-12,585.1283333333406,
L,1054,1054,1055,gantry_rope,585.8333333333353,1.8779976086469326e-12,585.8333333333419,
L,1055,1055,1056,gantry_rope,586.511666666662,2.1723359169141254e-12,586.5116666666696,
L,1056,1056,1057,gantry_rope,587.193333333333,1.9839426897677416e-12,587.19333333334,
L,1057,1057,1058,gantry_rope,587.9099999999993,1.7283393275171204e-12,587.9100000000053,
L,1058,1058,1059,gantry_rope,590.0299999999994,1.8807378204250566e-12,590.030000000006,
L,1059,1059,1060,gantry_rope,590.6666666666656,1.7637805435146666e-12,590.6666666666717,
L,1060,1060,1061,gantry_rope,591.3066666666657,1.841992131377663e-12,591.3066666666722,
L,1061,1061,1062,gantry_rope,591.916666666666,1.8000405360633569e-12,591.9166666666722,
L,1062,1062,1063,gantry_rope,592.2499999999992,1.788984526693486e-12,592.2500000000055,
L,1063,1063,1064,gantry_rope,519.1833333333321,1.5496907660721765e-12,519.1833333333376,
L,1064,1064,1065,gantry_rope,519.1833333333325,1.5254113132530736e-12,519.1833333333378,
L,1065,1065,1066,gantry_rope,519.1833333333325,1.52474584254167e-12,519.1833333333378,
L,1066,1066,1067,gantry_rope,575.8355401104634,16.272686203999484,632.7899418244616,
L,1067,1067,1068,gantry_rope,575.5588027950304,16.273440240866993,632.5158436380649,
L,1068,1068,1069,gantry_rope,575.0752127060235,16.274591064502147,632.036281431781,
L,1069,1069,1070,gantry_rope,574.6165022971875,16.275521944810595,631.5808291040246,
L,1070,1070,1071,gantry_rope,574.1626654049028,16.276289900282816,631.1296800558927,
L,1071,1071,1072,gantry_rope,573.7103730263267,16.276895600078223,630.6795076266005,
L,1072,1072,1073,gantry_rope,573.2162187825413,16.277380609182103,630.1870509146787,
L,1073,1073,1074,gantry_rope,571.6028271158563,16.195062080030997,628.2855443959647,
L,1074,1074,1075,gantry_rope,571.1016352265732,16.1954085718347,627.7855652279947,
L,1075,1075,1076,gantry_rope,570.625373567262,16.195551936448197,627.3098053448307,
L,1076,1076,1077,gantry_rope,570.1523332890554,16.19551139301359,626.836623164603,
L,1077,1077,1078,gantry_rope,569.6607885435202,16.1952778505259,626.3442610203608,
L,1078,1078,1079,gantry_rope,568.1209171576833,16.17436310352879,624.731188020034,
L,1079,1079,1080,gantry_rope,567.6459273258841,16.1737112800542,624.2539168060739,
L,1080,1080,1081,gantry_rope,567.194269176094,16.172914303788552,623.799469239354,
L,1081,1081,1082,gantry_rope,566.7458810561913,16.171948233429024,623.3476998731928,
L,1082,1082,1083,gantry_rope,566.280692583546,16.170762904210264,622.878362748282,
L,1083,1083,1084,gantry_rope,564.6576923096114,16.165795781748926,621.2379775457326,
L,1084,1084,1085,gantry_rope,564.2101394039005,16.164168871488567,620.7847304541104,
L,1085,1085,1086,gantry_rope,563.7875680540717,16.162454664238123,620.3561593789051,
L,1086,1086,1087,gantry_rope,563.3665929403753,16.160586256740654,619.9286448389676,
L,1087,1087,1088,gantry_rope,562.9304868934762,16.158473672646043,619.4851447477373,
L,1088,1088,1089,gantry_rope,561.5519214970102,16.134652261591253,618.0232044125796,
L,1089,1089,1090,gantry_rope,561.1306644368317,16.132247547104416,617.5935308516971,
L,1090,1090,1091,gantry_rope,560.7310216248407,16.129804621221286,617.1853377991151,
L,1091,1091,1092,gantry_rope,560.3346033743156,16.12722255964314,616.7798823330667,
L,1092,1092,1093,gantry_rope,559.9246718990512,16.124380101692523,616.360002254975,
L,1093,1093,1094,gantry_rope,558.6235937938508,16.099709152421568,614.9725758273263,
L,1094,1094,1095,gantry_rope,558.2284755997151,16.096640046510554,614.5667157625021,
L,1095,1095,1096,gantry_rope,557.8533394806911,16.093577802638745,614.1808617899268,
L,1096,1096,1097,gantry_rope,557.4814513736072,16.090392455544386,613.7978249680126,
L,1097,1097,1098,gantry_rope,557.0977328899202,16.086936595221243,613.4020109731945,
L,1098,1098,1099,gantry_rope,555.742308422153,16.074178808739916,612.0019342527427,
L,1099,1099,1100,gantry_rope,555.3747476923073,16.070534663623146,611.6216190149884,
L,1100,1100,1101,gantry_rope,555.0271606041764,16.066938721168412,611.2614461282658,
L,1101,1101,1102,gantry_rope,554.6828357099719,16.063235390820836,610.9041595778448,
L,1102,1102,1103,gantry_rope,554.3267192166073,16.05925445794753,610.5341098194237,
L,1103,1103,1104,gantry_rope,553.1934908895461,16.03363438551978,609.3112112388653,
L,1104,1104,1105,gantry_rope,552.8522913332124,16.029563393731266,608.9557632112718,
L,1105,1105,1106,gantry_rope,552.5293924083911,16.02557477412881,608.6189041178419,
L,1106,1106,1107,gantry_rope,552.2097421401945,16.02149402315695,608.2849712212438,
L,1107,1107,1108,gantry_rope,551.878277057603,16.01713474996023,607.9382486824638,
L,1108,1108,1109,gantry_rope,550.8249348156504,15.991529483243779,606.7952880070036,
L,1109,1109,1110,gantry_rope,550.5083918925199,15.987145982665353,606.4634028318486,
L,1110,1110,1111,gantry_rope,550.2101752789426,15.982873717740748,606.1502332910353,
L,1111,1111,1112,gantry_rope,549.9152239739024,15.97852414272358,605.8400584734349,
L,1112,1112,1113,gantry_rope,549.6084686042857,15.973899493416852,605.5171168312447,
L,1113,1113,1114,gantry_rope,548.5305371936114,15.957182863541801,604.3806772160077,
L,1114,1114,1115,gantry_rope,548.2433627779359,15.952615156150287,604.0775158244619,
L,1115,1115,1116,gantry_rope,547.9711431222095,15.948180457366325,603.7897747229916,
L,1116,1116,1117,gantry_rope,547.7021788358262,15.943681298786645,603.5050633815795,
L,1117,1117,1118,gantry_rope,547.4247607272681,15.93891333543927,603.2109574013056,
L,1118,1118,1119,gantry_rope,546.542062530135,15.914307540678685,602.2421389225104,
L,1119,1119,1120,gantry_rope,546.2794904104375,15.909628089564018,601.9631887239116,
L,1120,1120,1121,gantry_rope,546.0318544360391,15.905098145807687,601.699697946366,
L,1121,1121,1122,gantry_rope,545.7874493238012,15.900515237125463,601.4392526537403,
L,1122,1122,1123,gantry_rope,545.5362224226842,15.895672119866358,601.1710748422165,
