mode,frequency_hz,family,span_parity,provisional_label,symmetry_correlation,mass_energy_x_fraction,mass_energy_y_fraction,mass_energy_z_fraction,signal_L,signal_V,signal_T,signal_X,main_span_signal_fraction,half_wave_order,template_mac,sequence_label,half_wave_fingerprint,label
1,0.036772576291419064,L,S,LS,0.9997292016372391,3.6123406141318275e-09,0.9999999679928733,2.8394786030661628e-08,0.011596681123277334,2.4629510774054023e-15,1.884785933218723e-06,3.2445994547731805e-16,1.0,1,0.9998659907206017,LS1,LS1,LS1
2,0.07144558330734109,V,A,VA,-0.9988620735515876,0.12246438262646638,5.815629886644326e-15,0.8775356173735278,4.1536933202163283e-10,0.010758179705148004,5.071129266535808e-09,0.004033217886543127,0.9999999999999989,2,0.9988205672074996,VA1,VA1,VA1
3,0.07149091563064698,T,A,TA,-0.9988619584062615,0.11964933725325444,0.023180533028801742,0.8571701297179438,0.0008688070215254456,5.131000194417269e-09,0.010632602714961475,1.923638876378255e-09,0.999999999999999,2,0.9988302820593175,TA1,TA1,TA1
4,0.07350165370744075,L,A,LA,-0.9988844856421552,7.461466481091083e-06,0.9999370419415035,5.5496592015385525e-05,0.011482943761910775,9.659296514709732e-13,8.560301563239314e-05,3.62221314864299e-13,1.0,2,0.9994851244051867,LA1,LA1,LA1
5,0.10098144674169296,T,S,TS,0.9982405720773416,0.03329115698369235,0.02482427644578591,0.9418845665705217,0.0009768626189516569,9.708343032340743e-10,0.011276310814943298,1.8064273487053578e-10,0.9999999999980613,3,0.6724706388015245,TS1,TS1,TS1
6,0.10117682852522093,V,S,VS,0.9982167909084702,0.034946283529093645,2.6983866553119545e-15,0.9650537164709038,8.30715095256676e-11,0.011412128594886472,9.592811334212536e-10,0.0021238075035827685,0.9999999999982184,3,0.682951821048858,VS1,VS1,VS1
7,0.11011170292657721,L,S,LS,0.9974833810861372,5.9107345936124e-07,0.9999828299607285,1.6578965812128982e-05,0.01146121476751103,9.515827908917866e-14,4.731716939241456e-05,1.7187828272992334e-14,1.0,3,0.998886723963069,LS2,LS2,LS2
8,0.11618155992971149,EDGE,S,EDGES,0.9864256102753776,8.518828265534502e-06,0.999917542033339,7.393913839530413e-05,1.3774239164398596e-15,3.5900090159534605e-16,6.804668112119215e-16,6.349587448985608e-17,9.054644001711707e-14,0,0.0,EDGES1,EDGES1,EDGES1
9,0.12481523724660468,EDGE,S,EDGES,0.870352213378456,3.892577382035125e-06,0.9999751020892808,2.100533333736981e-05,8.209686071801133e-17,7.488346609332169e-17,1.0205943576682402e-16,1.2961912881981428e-17,5.440767482689888e-15,0,0.0,EDGES2,EDGES2,EDGES2
10,0.13520493329964645,EDGE,A,EDGEA,-0.2916339872590931,0.09926088620757262,0.024940041977968088,0.8757990718144593,3.6959445881053545e-16,1.604376275582787e-16,8.287353514775833e-17,4.242840086238173e-17,1.8734740453872817e-07,0,0.0,EDGEA1,EDGEA1,EDGEA1
11,0.13538746575412478,EDGE,A,EDGEA,-0.6468521801021957,0.10144727513656442,1.4442112991183496e-14,0.8985527248634211,1.2515668690669204e-16,1.8563411614211787e-16,1.5122026560555078e-16,4.0776970051542905e-17,1.2840894637282172e-14,0,0.0,EDGEA2,EDGEA2,EDGEA2
12,0.143813612804545,T,S,TS,0.9984529134796076,0.03445617670961793,0.03366795356532287,0.9318758697250591,0.001164142050629548,8.143367950237005e-11,0.011071115208613157,1.5332398718576414e-11,0.9999999999764964,1,0.6540886995628528,TS2,TS0_UNLISTED,TS2
13,0.14533388357383087,V,S,VS,0.9981021181647614,0.034437851843300525,2.1871073548631762e-14,0.9655621481566776,8.507806213367946e-12,0.011274325712009191,8.001253286353717e-11,0.002122398513161423,0.999999999976642,1,0.662244766613789,VS2,VS0_UNLISTED,VS2
14,0.1464250117824366,T,A,TA,-0.9953476167508625,0.056257846758892054,0.11715513550172243,0.8265870177393856,0.002603809709954058,5.927976749907996e-09,0.01048802346611061,1.5206601808377764e-09,0.9999999999999976,4,0.994837243960213,TA2,TA2,TA2
15,0.14644499913492567,V,A,VA,-0.9950167692115669,0.06365723144312327,5.053545324856477e-14,0.9363427685568262,1.6727584185661965e-09,0.01116284137075541,5.481798022687295e-09,0.0028634919953478832,0.9999999999999988,4,0.9946416923621413,VA2,VA2,VA2
16,0.1465787124946757,L,A,LA,-0.9956565950314599,0.005904492712511494,0.9070567171942392,0.0870387900932493,0.01124030284308987,2.8808477260923593e-10,0.0034035515485443505,7.389412940947702e-11,1.0000000000000002,4,0.9980903718908463,LA2,LA2,LA2
17,0.16479928527282317,EDGE,A,EDGEA,-0.28101372423699,0.15951921993966292,0.030781799102505315,0.8096989809578318,4.399788095979053e-16,2.386147624588176e-16,2.656492657264963e-16,7.40670423157118e-17,1.960637667868954e-14,0,0.0,EDGEA3,EDGEA3,EDGEA3
18,0.16572633708871465,EDGE,A,EDGEA,-0.374023915421051,0.16459645508790902,4.390649321287266e-14,0.835403544912047,5.718326730634368e-16,3.201340499747161e-16,4.2422628747363353e-16,1.0395518346760352e-16,3.2642467594199296e-06,0,0.0,EDGEA4,EDGEA4,EDGEA4
19,0.16738536027055245,EDGE,S,EDGES,0.5027395319774824,6.895823134758568e-06,0.9998913239763283,0.00010178020053701388,2.0720046948398336e-16,2.0188044970373304e-16,2.9288465513344434e-16,6.047013057480821e-17,1.3336186754835441e-14,0,0.0,EDGES3,EDGES3,EDGES3
20,0.18313183132500419,L,S,LS,0.992954918283419,1.241307062392904e-05,0.9997949402841558,0.00019264664522012368,0.011378315093815417,3.176158544089411e-13,0.00015852679804226653,7.894521298402462e-14,1.0000000000000002,5,0.9969025849731104,LS3,LS3,LS3
