width,mct_node,global_node_index,global_dof,global_axis,static_wind_reaction_increment_kN,buffeting_reaction_sigma_kN,reaction_sign,direct_support_wind_load
L,1,0,0,X_longitudinal,1.0747577495567445e-11,3.000845274732847e-11,support action on structure,0.0
L,1,0,1,Y_transverse,-6.946031807091795e-15,2.578115564781416e-14,support action on structure,0.0
L,1,0,2,Z_vertical,1.2804409094717616e-11,3.5825985928599595e-11,support action on structure,0.0
L,3,2,7,Y_transverse,4.896737759378872e-13,3.9671769751236183e-13,support action on structure,0.0
L,3,2,8,Z_vertical,-2.5589237435806527e-11,1.4378246555983565e-11,support action on structure,0.0
L,6,5,16,Y_transverse,1.7928932628740923e-12,1.7049495945709066e-12,support action on structure,0.0
L,6,5,17,Z_vertical,-2.4295810178935775e-12,1.7044428903479598e-11,support action on structure,0.0
L,154,153,459,X_longitudinal,-234.13443392743577,206.86829650796798,support action on structure,0.0
L,154,153,460,Y_transverse,1.0500056790884008e-12,1.7661785870873682e-12,support action on structure,0.0
L,154,153,461,Z_vertical,-7.632059532053301e-05,0.00013129532364346578,support action on structure,0.0
L,157,156,469,Y_transverse,-743.9707755875838,236.53405985369736,support action on structure,0.0
L,157,156,470,Z_vertical,132.4254546733377,116.95766101602376,support action on structure,0.0
L,447,446,1339,Y_transverse,-736.7687101362573,235.7753944924401,support action on structure,0.0
L,447,446,1340,Z_vertical,133.91830033518056,117.77864119564346,support action on structure,0.0
L,450,449,1347,X_longitudinal,232.5910896335112,204.68415085624488,support action on structure,0.0
L,450,449,1348,Y_transverse,-3.1511908233937636e-12,9.053699724259775e-12,support action on structure,0.0
L,450,449,1349,Z_vertical,-3.9598010779354835e-05,6.69733163836301e-05,support action on structure,0.0
L,608,607,1822,Y_transverse,-3.0824401984461166e-12,1.0242801740697233e-11,support action on structure,0.0
L,608,607,1823,Z_vertical,1.358739171591417e-11,9.968696517956174e-12,support action on structure,0.0
L,723,722,2167,Y_transverse,3.3938560721759873e-13,1.9116887236751935e-12,support action on structure,0.0
L,723,722,2168,Z_vertical,-3.866260608151241e-12,2.943691207406719e-12,support action on structure,0.0
L,726,725,2176,Y_transverse,3.5395730550271e-13,1.0274583390741671e-12,support action on structure,0.0
L,726,725,2177,Z_vertical,-6.8964596395408384e-12,3.4558256393093398e-12,support action on structure,0.0
L,728,727,2181,X_longitudinal,-2.238227000572028e-12,6.1087237175185944e-12,support action on structure,0.0
L,728,727,2182,Y_transverse,8.624646362452794e-15,2.215186212581533e-14,support action on structure,0.0
L,728,727,2183,Z_vertical,1.629341798135653e-12,4.458763729312626e-12,support action on structure,0.0
L,729,728,2184,X_longitudinal,-27.04962250459596,56.219819253745804,support action on structure,0.0
L,729,728,2185,Y_transverse,-113.32419033767513,36.036176178602,support action on structure,0.0
L,729,728,2186,Z_vertical,-28.034674732071448,59.0471718084348,support action on structure,0.0
L,730,729,2187,X_longitudinal,28.803571365468407,59.73391807387354,support action on structure,0.0
L,730,729,2188,Y_transverse,-120.54653920050688,38.58350228250532,support action on structure,0.0
L,730,729,2189,Z_vertical,-29.460441920210336,61.89023380840249,support action on structure,0.0
L,1001,730,2190,X_longitudinal,3.674158484400872e-12,1.0686671856874236e-11,support action on structure,0.0
L,1001,730,2191,Y_transverse,2.3246778124882908e-14,2.581087047136751e-14,support action on structure,0.0
L,1001,730,2192,Z_vertical,1.754572509976002e-12,5.0534315061023495e-12,support action on structure,0.0
L,1003,732,2197,Y_transverse,7.466892609769339e-13,1.166252914218305e-12,support action on structure,0.0
L,1003,732,2198,Z_vertical,-4.519024783013473e-12,3.4977204960672724e-12,support action on structure,0.0
L,1063,792,2377,Y_transverse,-1.2649011497104616e-13,7.609640272855656e-13,support action on structure,0.0
L,1063,792,2378,Z_vertical,-2.5246795320194715e-12,5.721688625166279e-12,support action on structure,0.0
L,1066,795,2385,X_longitudinal,-99.5540183765179,92.32655678052787,support action on structure,0.0
L,1066,795,2386,Y_transverse,-228.27801734883883,78.98070173088398,support action on structure,0.0
L,1066,795,2387,Z_vertical,39.471794741649994,34.8221725464614,support action on structure,0.0
L,1280,1009,3027,X_longitudinal,99.56613474904876,93.42328107631076,support action on structure,0.0
L,1280,1009,3028,Y_transverse,-228.24383532912765,79.35043123412382,support action on structure,0.0
L,1280,1009,3029,Z_vertical,39.47954019909143,33.9058477783643,support action on structure,0.0
L,1283,1012,3037,Y_transverse,-1.663756437935516e-13,2.8845582670599076e-12,support action on structure,0.0
L,1283,1012,3038,Z_vertical,-9.52893608378389e-13,1.281225902415709e-12,support action on structure,0.0
L,1347,1076,3229,Y_transverse,-8.905281030714589e-13,2.749836925087442e-12,support action on structure,0.0
L,1347,1076,3230,Z_vertical,-3.332538970755471e-12,5.0280179518903555e-12,support action on structure,0.0
L,1393,1122,3367,Y_transverse,6.702333409182418e-13,6.680587464559578e-13,support action on structure,0.0
L,1393,1122,3368,Z_vertical,-9.723431165563948e-13,1.5595328399876697e-12,support action on structure,0.0
L,1395,1124,3372,X_longitudinal,-2.0649026219390078e-12,2.925932622389419e-12,support action on structure,0.0
