section,mode,ccx_hz,scipy_same_model_hz,translation_diff_pct,note
ccx_vs_scipy,1,0.036531,0.036531,-0.0001,
ccx_vs_scipy,2,0.036531,0.036531,-0.0001,
ccx_vs_scipy,3,0.036845,0.036845,0.0000,
ccx_vs_scipy,4,0.071446,0.071446,-0.0000,
ccx_vs_scipy,5,0.071446,0.071446,-0.0000,
ccx_vs_scipy,6,0.073301,0.073301,-0.0000,
ccx_vs_scipy,7,0.073301,0.073301,-0.0000,
ccx_vs_scipy,8,0.073560,0.073560,0.0000,
ccx_vs_scipy,9,0.101202,0.101202,0.0000,
ccx_vs_scipy,10,0.101202,0.101202,0.0000,
ccx_vs_scipy,11,0.109794,0.109794,-0.0000,
ccx_vs_scipy,12,0.109794,0.109794,-0.0000,
ccx_vs_scipy,13,0.110206,0.110206,-0.0000,
ccx_vs_scipy,14,0.115453,0.115453,0.0000,
ccx_vs_scipy,15,0.118662,0.118662,0.0000,
ccx_vs_scipy,16,0.118662,0.118662,0.0000,
ccx_vs_scipy,17,0.123993,0.123993,0.0000,
ccx_vs_scipy,18,0.127596,0.127596,-0.0000,
ccx_vs_scipy,19,0.127596,0.127596,-0.0000,
ccx_vs_scipy,20,0.135419,0.135419,0.0000,
ccx_vs_scipy,21,0.135419,0.135419,0.0000,
ccx_vs_scipy,22,0.145523,0.145523,-0.0000,
ccx_vs_scipy,23,0.145523,0.145523,-0.0000,
ccx_vs_scipy,24,0.146026,0.146026,-0.0000,
ccx_vs_scipy,25,0.146026,0.146026,-0.0000,
ccx_vs_scipy,26,0.146445,0.146445,-0.0000,
ccx_vs_scipy,27,0.146445,0.146445,-0.0000,
ccx_vs_scipy,28,0.146727,0.146727,0.0000,
ccx_vs_scipy,29,0.165865,0.165865,0.0000,
ccx_vs_scipy,30,0.165865,0.165865,0.0000,
ccx_vs_scipy,31,0.166225,0.166225,-0.0000,
ccx_vs_scipy,32,0.171311,0.171311,0.0000,
ccx_vs_scipy,33,0.171311,0.171311,0.0000,
ccx_vs_scipy,34,0.182502,0.182502,0.0000,
ccx_vs_scipy,35,0.182502,0.182502,0.0000,
ccx_vs_scipy,36,0.183325,0.183325,0.0000,
ccx_vs_scipy,37,0.187343,0.187343,-0.0000,
ccx_vs_scipy,38,0.187343,0.187343,-0.0000,
ccx_vs_scipy,39,0.197492,0.197492,-0.0000,
ccx_vs_scipy,40,0.197492,0.197492,0.0000,
ccx_vs_scipy,41,0.219456,0.219456,0.0000,
ccx_vs_scipy,42,0.219456,0.219456,0.0000,
ccx_vs_scipy,43,0.220197,0.220197,-0.0000,
ccx_vs_scipy,44,0.220877,0.220877,-0.0000,
ccx_vs_scipy,45,0.220877,0.220877,-0.0000,
ccx_vs_scipy,46,0.230347,0.230346,0.0000,
ccx_vs_scipy,47,0.231124,0.231124,0.0000,
ccx_vs_scipy,48,0.231124,0.231124,0.0000,
ccx_vs_scipy,49,0.236957,0.236957,0.0000,
ccx_vs_scipy,50,0.236957,0.236957,0.0000,
ccx_vs_scipy,51,0.247053,0.247053,0.0000,
ccx_vs_scipy,52,0.248233,0.248233,-0.0000,
ccx_vs_scipy,53,0.248233,0.248233,-0.0000,
ccx_vs_scipy,54,0.254685,0.254685,0.0000,
ccx_vs_scipy,55,0.254685,0.254685,0.0000,
ccx_vs_scipy,56,0.255286,0.255286,-0.0000,
ccx_vs_scipy,57,0.255286,0.255286,-0.0000,
ccx_vs_scipy,58,0.256293,0.256293,-0.0000,
ccx_vs_scipy,59,0.258291,0.258291,-0.0000,
ccx_vs_scipy,60,0.258291,0.258291,-0.0000,

section,ref_mode,ref_label,ref_hz,nearest_ccx_hz,diff_pct
ref_nearest_match,1,LS1,0.036773,0.036845,0.20
ref_nearest_match,2,VA1,0.071446,0.071446,0.00
ref_nearest_match,3,TA1,0.071491,0.071446,-0.06
ref_nearest_match,4,LA1,0.073502,0.073560,0.08
ref_nearest_match,5,TS1,0.100981,0.101202,0.22
ref_nearest_match,6,VS1,0.101177,0.101202,0.03
ref_nearest_match,7,LS2,0.110112,0.110206,0.09
ref_nearest_match,8,EDGES1,0.116182,0.115453,-0.63
ref_nearest_match,9,EDGES2,0.124815,0.123993,-0.66
ref_nearest_match,10,EDGEA1,0.135205,0.135419,0.16
ref_nearest_match,11,EDGEA2,0.135387,0.135419,0.02
ref_nearest_match,12,TS2,0.143814,0.145523,1.19
ref_nearest_match,13,VS2,0.145334,0.145523,0.13
ref_nearest_match,14,TA2,0.146425,0.146445,0.01
ref_nearest_match,15,VA2,0.146445,0.146445,0.00
ref_nearest_match,16,LA2,0.146579,0.146445,-0.09
ref_nearest_match,17,EDGES3,0.164799,0.165865,0.65
ref_nearest_match,18,EDGES4,0.165726,0.165865,0.08
ref_nearest_match,19,EDGES5,0.167385,0.166225,-0.69
ref_nearest_match,20,LS3,0.183132,0.183325,0.11
