attachment_row,attachment_component,global_axis,deadload_kN,buffeting_RMS_kN,deadload_plus_static_wind_kN,static_wind_increment_kN,source
北锚碇转索鞍1,horizontal,X_longitudinal,-1959.52,54.59,-235.16,1724.36,附件2-3表5-2/5-3
北锚碇转索鞍1,vertical,Z_vertical,2485.89,16.69,2937.49,451.60,附件2-3表5-2/5-3
北锚碇转索鞍1,transverse,Y_transverse,0.04,0.01,40.77,40.73,附件2-3表5-2/5-3
北锚碇转索鞍2,horizontal,X_longitudinal,-608.73,,-608.73,0.00,附件2-3表5-2/5-3
北锚碇转索鞍2,vertical,Z_vertical,908.93,,908.93,0.00,附件2-3表5-2/5-3
北锚碇转索鞍2,transverse,Y_transverse,,,,,附件2-3表5-2/5-3
南锚碇转索鞍3,horizontal,X_longitudinal,394.82,68.42,-953.13,-1347.95,附件2-3表5-2/5-3
南锚碇转索鞍3,vertical,Z_vertical,4261.76,2.69,4273.30,11.54,附件2-3表5-2/5-3
南锚碇转索鞍3,transverse,Y_transverse,0.07,0.01,25.65,25.58,附件2-3表5-2/5-3
南锚碇转索鞍4,horizontal,X_longitudinal,-418.96,,-418.96,0.00,附件2-3表5-2/5-3
南锚碇转索鞍4,vertical,Z_vertical,875.84,,875.84,0.00,附件2-3表5-2/5-3
南锚碇转索鞍4,transverse,Y_transverse,,,,,附件2-3表5-2/5-3
北塔转索鞍边跨侧,horizontal,X_longitudinal,-345.59,20.88,-1072.98,-727.39,附件2-3表5-2/5-3
北塔转索鞍边跨侧,vertical,Z_vertical,6094.64,29.35,5033.28,-1061.36,附件2-3表5-2/5-3
北塔转索鞍边跨侧,transverse,Y_transverse,0.09,0.01,-48.99,-49.08,附件2-3表5-2/5-3
北塔转索鞍中跨侧,horizontal,X_longitudinal,307.03,145.65,1283.77,976.74,附件2-3表5-2/5-3
北塔转索鞍中跨侧,vertical,Z_vertical,4365.30,145.75,3371.24,-994.06,附件2-3表5-2/5-3
北塔转索鞍中跨侧,transverse,Y_transverse,0.13,306.65,-145.29,-145.42,附件2-3表5-2/5-3
南塔转索鞍中跨侧,horizontal,X_longitudinal,-0.80,142.54,-978.26,-977.46,附件2-3表5-2/5-3
南塔转索鞍中跨侧,vertical,Z_vertical,4362.58,149.77,3368.46,-994.12,附件2-3表5-2/5-3
南塔转索鞍中跨侧,transverse,Y_transverse,0.14,312.38,-145.37,-145.51,附件2-3表5-2/5-3
南塔转索鞍边跨侧,horizontal,X_longitudinal,258.81,66.97,977.48,718.67,附件2-3表5-2/5-3
南塔转索鞍边跨侧,vertical,Z_vertical,4436.87,71.83,3598.57,-838.30,附件2-3表5-2/5-3
南塔转索鞍边跨侧,transverse,Y_transverse,0.12,0.01,-51.78,-51.90,附件2-3表5-2/5-3
