dof,B_UX,B_UY,B_UZ,B_RX,B_RY,B_RZ,T_UX,T_UY,T_UZ,T_RX,T_RY,T_RZ
B_UX,2.813874631816e-02,1.133680882504e-08,2.648352675530e+01,-1.080849553013e-03,0.000000000000e+00,-1.401723788819e-06,-2.813874744841e-02,-2.750310201804e-09,-2.648352675198e+01,1.051854473388e-03,0.000000000000e+00,-3.689257586648e-07
B_UY,1.133680882504e-08,8.071558675187e+01,2.129922904714e-10,-1.528319099280e+06,0.000000000000e+00,2.163428796657e+03,9.625228392096e-11,-8.071558674849e+01,-2.064552973025e-09,8.825944052924e+05,0.000000000000e+00,-1.477346347258e+03
B_UZ,2.648352675530e+01,2.129922904714e-10,2.492567267908e+04,-1.341391471215e-04,0.000000000000e+00,6.997104967468e-04,-2.648352722801e+01,-5.072706699139e-10,-2.492567267906e+04,1.591173422639e-04,0.000000000000e+00,1.277951361089e-05
B_RX,-1.080849553013e-03,-1.528319099280e+06,-1.341391471215e-04,2.178239499557e+11,0.000000000000e+00,-2.501530554031e+08,-9.474860831915e-06,1.528319099274e+06,1.282165321754e-04,-2.055973971615e+11,0.000000000000e+00,2.371623456214e+08
B_RY,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
B_RZ,-1.401723788819e-06,2.163428796657e+03,6.997104967468e-04,-2.501530554031e+08,0.000000000000e+00,3.446569263003e+08,-9.766964186864e-07,-2.163428841919e+03,-7.027831193795e-04,2.328456246875e+08,0.000000000000e+00,-3.446385371871e+08
T_UX,-2.813874744841e-02,9.625228392096e-11,-2.648352722801e+01,-9.474860831915e-06,0.000000000000e+00,-9.766964186864e-07,2.813874770197e-02,2.964505863012e-10,2.648352722805e+01,9.546003184369e-06,0.000000000000e+00,2.487350860836e-07
T_UY,-2.750310201804e-09,-8.071558674849e+01,-5.072706699139e-10,1.528319099274e+06,0.000000000000e+00,-2.163428841919e+03,2.964505863012e-10,8.071558674758e+01,6.823910325693e-10,-8.825944052849e+05,0.000000000000e+00,1.477346346397e+03
T_UZ,-2.648352675198e+01,-2.064552973025e-09,-2.492567267906e+04,1.282165321754e-04,0.000000000000e+00,-7.027831193795e-04,2.648352722805e+01,6.823910325693e-10,2.492567267905e+04,-1.552038447699e-04,0.000000000000e+00,-1.287423094709e-05
T_RX,1.051854473388e-03,8.825944052924e+05,1.591173422639e-04,-2.055973971615e+11,0.000000000000e+00,2.328456246875e+08,9.546003184369e-06,-8.825944052849e+05,-1.552038447699e-04,1.985366419191e+11,0.000000000000e+00,-2.253435748463e+08
T_RY,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
T_RZ,-3.689257586648e-07,-1.477346347258e+03,1.277951361089e-05,2.371623456214e+08,0.000000000000e+00,-3.446385371871e+08,2.487350860836e-07,1.477346346397e+03,-1.287423094709e-05,-2.253435748463e+08,0.000000000000e+00,3.446259797468e+08
