parameter,value,unit,interpretation
center_length,8.000004515634e+03,mm,distance B to T
gate_free_rotation_axial_k,2.492570081781e+04,N/mm,objective rank-one spherical-port stiffness
gate_free_rotation_equivalent_EA,1.994057190978e+08,N,EA=kL
gate_free_rotation_equivalent_area_at_E206GPa,9.679889276593e+02,mm2,A=EA/E
MCT_property3_area_B161x161x8,4.896000000000e+03,mm2,decoded from section 3
MCT_property3_axial_k,1.260719288382e+05,N/mm,E*A/L with E=206000
finite_gate_to_MCT_property3_k_ratio,1.977101567931e-01,-,ratio of axial stiffnesses
portal_fixed_rotation_k_Sx,1.517814621779e-11,N/mm,upper-bound longitudinal portal shear
portal_fixed_rotation_k_Sy,8.071558674758e+01,N/mm,upper-bound transverse in-plane portal shear
portal_fixed_rotation_k_N,2.492570081779e+04,N/mm,fixed-rotation axial term
