dof,B_L_UX,B_L_UY,B_L_UZ,T_L_UX,T_L_UY,T_L_UZ,B_R_UX,B_R_UY,B_R_UZ,T_R_UX,T_R_UY,T_R_UZ
B_L_UX,8.311927775766e-01,5.364848020022e-01,2.078918949219e+01,-8.311866824220e-01,1.516939142265e-02,-2.078345287607e+01,-8.028182125148e-01,-5.672474059439e-01,5.916283507249e+00,8.028121173602e-01,1.559321251910e-02,-5.922020123369e+00
B_L_UY,5.364848020022e-01,4.003088407192e+04,-2.034235942129e+01,-5.513058348494e-01,-2.424105742363e+02,6.393152036264e+00,-5.422267806941e-01,-3.995608144732e+04,1.493814418431e+01,5.570478135416e-01,1.676079496342e+02,-9.889367992767e-01
B_L_UZ,2.078918949219e+01,-2.034235942129e+01,2.518348008513e+04,-2.078381804340e+01,1.332628500907e+01,-2.517842460391e+04,5.916627338324e+00,-6.767658577461e+00,-4.859365636931e+01,-5.921998787110e+00,1.378373298968e+01,4.353817515741e+01
T_L_UX,-8.311866824220e-01,-5.513058348494e-01,-2.078381804340e+01,8.311864622290e-01,-3.437596744330e-04,2.078361080290e+01,8.028121173744e-01,5.524171620726e-01,-5.921654942587e+00,-8.028118971814e-01,-7.675675487256e-04,5.921862183095e+00
T_L_UY,1.516939142265e-02,-2.424105742363e+02,1.332628500907e+01,-3.437596744330e-04,7.352461880559e+01,6.272507539697e-01,-1.565490434496e-02,1.675847387071e+02,-1.378323834774e+01,8.292725967442e-04,1.301216723612e+00,-1.702974152949e-01
T_L_UZ,-2.078345287607e+01,6.393152036264e+00,-2.517842460391e+04,2.078361080290e+01,6.272507539697e-01,2.517857324092e+04,-5.922363940994e+00,-7.190218007980e+00,4.353818781524e+01,5.922206014168e+00,1.698152177498e-01,-4.368682482628e+01
B_R_UX,-8.028182125148e-01,-5.422267806941e-01,5.916627338324e+00,8.028121173744e-01,-1.565490434496e-02,-5.922363940994e+00,8.311935024143e-01,5.729893125159e-01,2.078952786130e+01,-8.311874072740e-01,-1.510762747680e-02,-2.078379125863e+01
B_R_UY,-5.672474059439e-01,-3.995608144732e+04,-6.767658577461e+00,5.524171620726e-01,1.675847387071e+02,-7.190218007980e+00,5.729893125159e-01,4.003093056051e+04,1.217180593683e+01,-5.581590686448e-01,-2.424338518965e+02,1.786070648612e+00
B_R_UZ,5.916283507249e+00,1.493814418431e+01,-4.859365636931e+01,-5.921654942587e+00,-1.378323834774e+01,4.353818781524e+01,2.078952786130e+01,1.217180593683e+01,2.518347494445e+04,-2.078415642596e+01,-1.332671177339e+01,-2.517841947590e+04
T_R_UX,8.028121173602e-01,5.570478135416e-01,-5.921998787110e+00,-8.028118971814e-01,8.292725967442e-04,5.922206014168e+00,-8.311874072740e-01,-5.581590686448e-01,-2.078415642596e+01,8.311871870953e-01,2.819825064316e-04,2.078394919891e+01
T_R_UY,1.559321251910e-02,1.676079496342e+02,1.378373298968e+01,-7.675675487256e-04,1.301216723612e+00,1.698152177498e-01,-1.510762747680e-02,-2.424338518965e+02,-1.332671177339e+01,2.819825064316e-04,7.352468553865e+01,-6.268364340406e-01
T_R_UZ,-5.922020123369e+00,-9.889367992767e-01,4.353817515741e+01,5.921862183095e+00,-1.702974152949e-01,-4.368682482628e+01,-2.078379125863e+01,1.786070648612e+00,-2.517841947590e+04,2.078394919891e+01,-6.268364340406e-01,2.517856812556e+04
