dof,B_L_UX,B_L_UY,B_L_UZ,T_L_UX,T_L_UY,T_L_UZ,B_R_UX,B_R_UY,B_R_UZ,T_R_UX,T_R_UY,T_R_UZ
B_L_UX,8.311927775766e+02,5.364848020022e+02,2.078918949219e+04,-8.311866824220e+02,1.516939142265e+01,-2.078345287607e+04,-8.028182125148e+02,-5.672474059439e+02,5.916283507249e+03,8.028121173602e+02,1.559321251910e+01,-5.922020123369e+03
B_L_UY,5.364848020022e+02,4.003088407192e+07,-2.034235942129e+04,-5.513058348494e+02,-2.424105742363e+05,6.393152036264e+03,-5.422267806941e+02,-3.995608144732e+07,1.493814418431e+04,5.570478135416e+02,1.676079496342e+05,-9.889367992767e+02
B_L_UZ,2.078918949219e+04,-2.034235942129e+04,2.518348008513e+07,-2.078381804340e+04,1.332628500907e+04,-2.517842460391e+07,5.916627338324e+03,-6.767658577461e+03,-4.859365636931e+04,-5.921998787110e+03,1.378373298968e+04,4.353817515741e+04
T_L_UX,-8.311866824220e+02,-5.513058348494e+02,-2.078381804340e+04,8.311864622290e+02,-3.437596744330e-01,2.078361080290e+04,8.028121173744e+02,5.524171620726e+02,-5.921654942587e+03,-8.028118971814e+02,-7.675675487256e-01,5.921862183095e+03
T_L_UY,1.516939142265e+01,-2.424105742363e+05,1.332628500907e+04,-3.437596744330e-01,7.352461880559e+04,6.272507539697e+02,-1.565490434496e+01,1.675847387071e+05,-1.378323834774e+04,8.292725967442e-01,1.301216723612e+03,-1.702974152949e+02
T_L_UZ,-2.078345287607e+04,6.393152036264e+03,-2.517842460391e+07,2.078361080290e+04,6.272507539697e+02,2.517857324092e+07,-5.922363940994e+03,-7.190218007980e+03,4.353818781524e+04,5.922206014168e+03,1.698152177498e+02,-4.368682482628e+04
B_R_UX,-8.028182125148e+02,-5.422267806941e+02,5.916627338324e+03,8.028121173744e+02,-1.565490434496e+01,-5.922363940994e+03,8.311935024143e+02,5.729893125159e+02,2.078952786130e+04,-8.311874072740e+02,-1.510762747680e+01,-2.078379125863e+04
B_R_UY,-5.672474059439e+02,-3.995608144732e+07,-6.767658577461e+03,5.524171620726e+02,1.675847387071e+05,-7.190218007980e+03,5.729893125159e+02,4.003093056051e+07,1.217180593683e+04,-5.581590686448e+02,-2.424338518965e+05,1.786070648612e+03
B_R_UZ,5.916283507249e+03,1.493814418431e+04,-4.859365636931e+04,-5.921654942587e+03,-1.378323834774e+04,4.353818781524e+04,2.078952786130e+04,1.217180593683e+04,2.518347494445e+07,-2.078415642596e+04,-1.332671177339e+04,-2.517841947590e+07
T_R_UX,8.028121173602e+02,5.570478135416e+02,-5.921998787110e+03,-8.028118971814e+02,8.292725967442e-01,5.922206014168e+03,-8.311874072740e+02,-5.581590686448e+02,-2.078415642596e+04,8.311871870953e+02,2.819825064316e-01,2.078394919891e+04
T_R_UY,1.559321251910e+01,1.676079496342e+05,1.378373298968e+04,-7.675675487256e-01,1.301216723612e+03,1.698152177498e+02,-1.510762747680e+01,-2.424338518965e+05,-1.332671177339e+04,2.819825064316e-01,7.352468553865e+04,-6.268364340406e+02
T_R_UZ,-5.922020123369e+03,-9.889367992767e+02,4.353817515741e+04,5.921862183095e+03,-1.702974152949e+02,-4.368682482628e+04,-2.078379125863e+04,1.786070648612e+03,-2.517841947590e+07,2.078394919891e+04,-6.268364340406e+02,2.517856812556e+07
