passage_index,passage_id,span,gate_index,gate_name_cw1,gate_name_cw2,mct_property3_element,mct_bottom_node,mct_gate_node,mct_bottom_x_mm,mct_bottom_y_mm,mct_bottom_z_mm,mct_gate_x_mm,mct_gate_y_mm,mct_gate_z_mm,ansys_passage_center_x_mm,ansys_bottom_station_y_mm,ansys_gate_top_station_y_mm,ansys_gate_centerline_y_mm,ansys_passage_top_chord_reference_z_mm,ansys_gate_top_rope_z_mm,bottom_left_segment_slope_degree,bottom_right_segment_slope_degree,bottom_central_chord_slope_degree,gate_top_bottom_station_mismatch_mm,old_proportional_global_y_mm,authority_bottom_minus_old_y_mm,authority_gate_center_minus_old_y_mm,bottom_mct_combined_weight_kn_per_catwalk,gate_mct_combined_weight_kn_per_catwalk,dedicated_total_weight_kn_per_catwalk,dedicated_total_mass_tonne_per_catwalk,dedicated_total_weight_kn_two_catwalks,dedicated_total_mass_tonne_two_catwalks,cross_passage_half_weight_kn_per_catwalk,cross_passage_full_weight_kn_two_catwalks,cross_passage_full_mass_tonne_two_catwalks,cross_passage_tri_gate_weight_kn_per_catwalk,gate_bottom_beam_weight_kn_per_catwalk,guide_roller_weight_kn_per_catwalk,main_cable_restrainer_weight_kn_per_catwalk,pws_roller_weight_kn_per_catwalk,large_crossbeam_weight_kn_per_catwalk,bottom_component_ids,gate_component_ids,bottom_ansys_nodes_cw1,bottom_ansys_nodes_cw2,gate_ansys_nodes_cw1,gate_ansys_nodes_cw2,bottom_mass21_elements_cw1,bottom_mass21_elements_cw2,gate_mass21_elements_cw1,gate_mass21_elements_cw2,recommended_finite_model_station_rule
1,H01,north_side,3,CW1_GATE_03,CW2_GATE_03,1397,42,1018,1035000.0,0.0,112301.044092026,1035009.3,0.0,121414.541763406,0.0,203909.0,203918.30000000005,203913.65000000002,112301.044092026,121414.541763406,20.140057687006248,20.582348488222664,20.36151986850172,9.300000000046566,204933.07272727272,-1024.0727272727236,-1019.4227272727003,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,42;770;1498;2226;2954;3682;4410;5138;5866;6594;7322;8050;8778;9506;10234;10962,14060;14788;15516;16244;16972;17700;18428;19156;19884;20612;21340;22068;22796;23524;24252;24980,11666;12061;12456;12851;13246;13641,25684;26079;26474;26869;27264;27659,500034;500727;501420;502113;502806;503499;504192;504885;505578;506271;506964;507657;508350;509043;509736;510429,511548;512241;512934;513627;514320;515013;515706;516399;517092;517785;518478;519171;519864;520557;521250;521943,511090;511161;511232;511303;511374;511445,522604;522675;522746;522817;522888;522959,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
2,H02,north_side,6,CW1_GATE_06,CW2_GATE_06,1400,81,1033,1206000.0,0.0,181248.47221642,1206009.3,0.0,190318.383196477,0.0,374909.0,374918.30000000005,374913.6499999999,181248.47221642,190318.383196477,23.342551924537922,23.717644497498895,23.53036552574458,9.300000000046566,372853.0,2056.0,2060.649999999907,68.8,21.556,90.356,9.21435855598613,180.712,18.42871711197226,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,0.0,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller,cross_passage_tri_gate;guide_roller,81;809;1537;2265;2993;3721;4449;5177;5905;6633;7361;8089;8817;9545;10273;11001,14099;14827;15555;16283;17011;17739;18467;19195;19923;20651;21379;22107;22835;23563;24291;25019,11681;12076;12471;12866;13261;13656,25699;26094;26489;26884;27279;27674,500073;500766;501459;502152;502845;503538;504231;504924;505617;506310;507003;507696;508389;509082;509775;510468,511587;512280;512973;513666;514359;515052;515745;516438;517131;517824;518517;519210;519903;520596;521289;521982,511093;511164;511235;511306;511377;511448,522607;522678;522749;522820;522891;522962,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
3,H03,north_side,9,CW1_GATE_09,CW2_GATE_09,1403,120,1048,1377000.0,0.0,261294.046462196,1377009.3,0.0,269621.777313957,0.0,545909.0,545918.3,545913.6499999999,261294.046462196,269621.777313957,26.40575637408183,26.811932615760096,26.609205114619282,9.300000000046566,540772.9272727272,5136.072727272753,5140.7227272726595,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,120;848;1576;2304;3032;3760;4488;5216;5944;6672;7400;8128;8856;9584;10312;11040,14138;14866;15594;16322;17050;17778;18506;19234;19962;20690;21418;22146;22874;23602;24330;25058,11696;12091;12486;12881;13276;13671,25714;26109;26504;26899;27294;27689,500112;500805;501498;502191;502884;503577;504270;504963;505656;506349;507042;507735;508428;509121;509814;510507,511626;512319;513012;513705;514398;515091;515784;516477;517170;517863;518556;519249;519942;520635;521328;522021,511096;511167;511238;511309;511380;511451,522610;522681;522752;522823;522894;522965,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
4,H04,main_span,14,CW1_GATE_14,CW2_GATE_14,1408,180,1083,1714000.0,-3.31579519234633e-14,276040.031984883,1714009.3,0.0,285027.591256459,0.0,882909.0,882918.3,882913.6499999999,276040.031984883,285027.591256459,-18.81265319964414,-18.329202876769344,-18.571270671730552,9.300000000046566,875063.7826086957,7845.2173913043225,7849.867391304229,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,180;908;1636;2364;3092;3820;4548;5276;6004;6732;7460;8188;8916;9644;10372;11100,14198;14926;15654;16382;17110;17838;18566;19294;20022;20750;21478;22206;22934;23662;24390;25118,11731;12126;12521;12916;13311;13706,25749;26144;26539;26934;27329;27724,500164;500857;501550;502243;502936;503629;504322;505015;505708;506401;507094;507787;508480;509173;509866;510559,511678;512371;513064;513757;514450;515143;515836;516529;517222;517915;518608;519301;519994;520687;521380;522073,511101;511172;511243;511314;511385;511456,522615;522686;522757;522828;522899;522970,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
5,H05,main_span,17,CW1_GATE_17,CW2_GATE_17,1411,201,1098,1885000.0,-4.44466890400919e-13,223724.186533411,1885009.3,0.0,232666.153448418,0.0,1053909.0,1053918.3,1053913.65,223724.186533411,232666.153448418,-15.679356525602916,-15.181669106364268,-15.430811130940763,9.300000000046566,1046212.4782608696,7696.521739130374,7701.171739130281,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,201;929;1657;2385;3113;3841;4569;5297;6025;6753;7481;8209;8937;9665;10393;11121,14219;14947;15675;16403;17131;17859;18587;19315;20043;20771;21499;22227;22955;23683;24411;25139,11746;12141;12536;12931;13326;13721,25764;26159;26554;26949;27344;27739,500185;500878;501571;502264;502957;503650;504343;505036;505729;506422;507115;507808;508501;509194;509887;510580,511699;512392;513085;513778;514471;515164;515857;516550;517243;517936;518629;519322;520015;520708;521401;522094,511104;511175;511246;511317;511388;511459,522618;522689;522760;522831;522902;522973,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
6,H06,main_span,20,CW1_GATE_20,CW2_GATE_20,1414,222,1113,2056000.0,-8.55760607061329e-13,181596.562478559,2056009.3,0.0,190358.488463189,0.0,1224909.0,1224918.3,1224913.65,181596.562478559,190358.488463189,-12.486742459488283,-11.977040699939018,-12.232137330732876,9.300000000046566,1217361.1739130435,7547.826086956542,7552.476086956449,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,222;950;1678;2406;3134;3862;4590;5318;6046;6774;7502;8230;8958;9686;10414;11142,14240;14968;15696;16424;17152;17880;18608;19336;20064;20792;21520;22248;22976;23704;24432;25160,11761;12156;12551;12946;13341;13736,25779;26174;26569;26964;27359;27754,500206;500899;501592;502285;502978;503671;504364;505057;505750;506443;507136;507829;508522;509215;509908;510601,511720;512413;513106;513799;514492;515185;515878;516571;517264;517957;518650;519343;520036;520729;521422;522115,511107;511178;511249;511320;511391;511462,522621;522692;522763;522834;522905;522976,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
7,H07,main_span,23,CW1_GATE_23,CW2_GATE_23,1417,243,1128,2227000.0,-1.26719722136206e-12,149546.421815958,2227009.3,0.0,158011.763592546,0.0,1395909.0,1395918.2999999998,1395913.65,149546.421815958,158011.763592546,-9.245504402216023,-8.726312005664166,-8.986094198671868,9.299999999813735,1388509.8695652173,7399.13043478271,7403.780434782617,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,243;971;1699;2427;3155;3883;4611;5339;6067;6795;7523;8251;8979;9707;10435;11163,14261;14989;15717;16445;17173;17901;18629;19357;20085;20813;21541;22269;22997;23725;24453;25181,11776;12171;12566;12961;13356;13751,25794;26189;26584;26979;27374;27769,500227;500920;501613;502306;502999;503692;504385;505078;505771;506464;507157;507850;508543;509236;509929;510622,511741;512434;513127;513820;514513;515206;515899;516592;517285;517978;518671;519364;520057;520750;521443;522136,511110;511181;511252;511323;511394;511465,522624;522695;522766;522837;522908;522979,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
8,H08,main_span,26,CW1_GATE_26,CW2_GATE_26,1420,262,1143,2378009.3,-1.63074824629408e-12,129617.42236002,2378009.3,0.0,137824.398326362,0.0,1546918.2999999998,1546918.2999999998,1546918.2999999998,129617.42236002,137824.398326362,-6.286224711300442,-5.843455605561064,-6.188352139479248,0.0,1541642.9130434783,5275.386956521543,5275.386956521543,67.59,21.556,89.146,9.090964715480318,178.292,18.181929430960636,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,0.0,0.0,cross_passage_half;main_cable_restrainer;gate_bottom_beam,cross_passage_tri_gate;guide_roller,262;990;1718;2446;3174;3902;4630;5358;6086;6814;7542;8270;8998;9726;10454;11182,14280;15008;15736;16464;17192;17920;18648;19376;20104;20832;21560;22288;23016;23744;24472;25200,11791;12186;12581;12976;13371;13766,25809;26204;26599;26994;27389;27784,500246;500939;501632;502325;503018;503711;504404;505097;505790;506483;507176;507869;508562;509255;509948;510641,511760;512453;513146;513839;514532;515225;515918;516611;517304;517997;518690;519383;520076;520769;521462;522155,511113;511184;511255;511326;511397;511468,522627;522698;522769;522840;522911;522982,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
9,H09,main_span,29,CW1_GATE_29,CW2_GATE_29,1423,283,1158,2535008.5,-2.00894787248261e-12,117230.263832353,2535008.5,0.0,125298.265166754,0.0,1703917.5,1703917.5,1703917.5,117230.263832353,125298.265166754,-3.1762510013169307,-2.7304945623192447,-2.830003130701277,0.0,1694775.9565217393,9141.543478260748,9141.543478260748,67.59,21.556,89.146,9.090964715480318,178.292,18.181929430960636,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,0.0,0.0,cross_passage_half;main_cable_restrainer;gate_bottom_beam,cross_passage_tri_gate;guide_roller,283;1011;1739;2467;3195;3923;4651;5379;6107;6835;7563;8291;9019;9747;10475;11203,14301;15029;15757;16485;17213;17941;18669;19397;20125;20853;21581;22309;23037;23765;24493;25221,11806;12201;12596;12991;13386;13781,25824;26219;26614;27009;27404;27799,500267;500960;501653;502346;503039;503732;504425;505118;505811;506504;507197;507890;508583;509276;509969;510662,511781;512474;513167;513860;514553;515246;515939;516632;517325;518018;518711;519404;520097;520790;521483;522176,511116;511187;511258;511329;511400;511471,522630;522701;522772;522843;522914;522985,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
10,H10,main_span,32,CW1_GATE_32,CW2_GATE_32,1426,302,1173,2686000.0,-2.37289764547357e-12,113300.0,2686008.5,0.0,121300.00000001,0.0,1854909.0,1854917.5,1854913.25,113300.0,121300.00000001,-0.27404125548535774,0.2686982348870916,-0.0026715702286720737,8.5,1847909.0,7000.0,7004.25,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,302;1030;1758;2486;3214;3942;4670;5398;6126;6854;7582;8310;9038;9766;10494;11222,14320;15048;15776;16504;17232;17960;18688;19416;20144;20872;21600;22328;23056;23784;24512;25240,11821;12216;12611;13006;13401;13796,25839;26234;26629;27024;27419;27814,500286;500979;501672;502365;503058;503751;504444;505137;505830;506523;507216;507909;508602;509295;509988;510681,511800;512493;513186;513879;514572;515265;515958;516651;517344;518037;518730;519423;520116;520809;521502;522195,511119;511190;511261;511332;511403;511474,522633;522704;522775;522846;522917;522988,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
