dof,Bp_UX,Bp_UY,Bp_UZ,Bm_UX,Bm_UY,Bm_UZ,Tp_UX,Tp_UY,Tp_UZ,Tm_UX,Tm_UY,Tm_UZ
Bp_UX,2.389905918306e+01,1.342778622812e+01,8.519233938851e+00,-2.389552470808e+01,-1.392441837442e+01,-5.192669253955e+00,-2.263787806801e+01,-8.307168338434e+00,-7.144970552077e+00,2.263434359303e+01,8.803800484727e+00,3.818405867181e+00
Bp_UY,1.342778622812e+01,2.112080205075e+05,1.273262949512e+04,1.392441854992e+01,-2.111711804954e+05,1.301062206073e+04,-1.352070066393e+01,-5.860819843445e+04,-1.281508415356e+04,-1.383150411410e+01,5.857135842238e+04,-1.292816740229e+04
Bp_UZ,8.519233938851e+00,1.273262949512e+04,6.589561302807e+03,-5.192669227757e+00,-1.301062206067e+04,-3.458676868833e+03,-7.555396935586e+00,-7.913224435954e+03,-5.757747624516e+03,4.228832224493e+00,8.191217001507e+03,2.626863190541e+03
Bm_UX,-2.389552470808e+01,1.392441854992e+01,-5.192669227757e+00,2.389905918312e+01,-1.342778640363e+01,8.519233965062e+00,2.263434359303e+01,-8.803800688918e+00,3.818405840983e+00,-2.263787806806e+01,8.307168542623e+00,-7.144970578288e+00
Bm_UY,-1.392441837442e+01,-2.111711804954e+05,-1.301062206067e+04,-1.342778640363e+01,2.112080205075e+05,-1.273262949518e+04,1.383150394789e+01,5.857135842238e+04,1.292816740222e+04,1.352070083013e+01,-5.860819843446e+04,1.281508415363e+04
Bm_UZ,-5.192669253955e+00,1.301062206073e+04,-3.458676868833e+03,8.519233965062e+00,-1.273262949518e+04,6.589561302819e+03,4.228832249307e+00,-8.191217001564e+03,2.626863190541e+03,-7.555396960411e+00,7.913224436011e+03,-5.757747624528e+03
Tp_UX,-2.263787806801e+01,-1.352070066393e+01,-7.555396935586e+00,2.263434359303e+01,1.383150394789e+01,4.228832249307e+00,2.144360171149e+01,8.400082774985e+00,6.610905113199e+00,-2.144006723651e+01,-8.710886058952e+00,-3.284340426920e+00
Tp_UY,-8.307168338434e+00,-5.860819843445e+04,-7.913224435954e+03,-8.803800688918e+00,5.857135842238e+04,-8.191217001564e+03,8.400082774985e+00,9.674289716068e+04,7.995679094399e+03,8.710886252356e+00,-9.670605714860e+04,8.108762343119e+03
Tp_UZ,-7.144970552077e+00,-1.281508415356e+04,-5.757747624516e+03,3.818405840983e+00,1.292816740222e+04,2.626863190541e+03,6.610905113199e+00,7.995679094399e+03,5.306084082184e+03,-3.284340402107e+00,-8.108762343062e+03,-2.175199648209e+03
Tm_UX,2.263434359303e+01,-1.383150411410e+01,4.228832224493e+00,-2.263787806806e+01,1.352070083013e+01,-7.555396960411e+00,-2.144006723651e+01,8.710886252356e+00,-3.284340402107e+00,2.144360171154e+01,-8.400082968387e+00,6.610905138025e+00
Tm_UY,8.803800484727e+00,5.857135842238e+04,8.191217001507e+03,8.307168542623e+00,-5.860819843446e+04,7.913224436011e+03,-8.710886058952e+00,-9.670605714860e+04,-8.108762343062e+03,-8.400082968387e+00,9.674289716068e+04,-7.995679094456e+03
Tm_UZ,3.818405867181e+00,-1.292816740229e+04,2.626863190541e+03,-7.144970578288e+00,1.281508415363e+04,-5.757747624528e+03,-3.284340426920e+00,8.108762343119e+03,-2.175199648209e+03,6.610905138025e+00,-7.995679094456e+03,5.306084082196e+03
