dof,B_Lp_UX,B_Lp_UY,B_Lp_UZ,B_Lm_UX,B_Lm_UY,B_Lm_UZ,T_Lp_UX,T_Lp_UY,T_Lp_UZ,T_Lm_UX,T_Lm_UY,T_Lm_UZ,B_Rp_UX,B_Rp_UY,B_Rp_UZ,B_Rm_UX,B_Rm_UY,B_Rm_UZ,T_Rp_UX,T_Rp_UY,T_Rp_UZ,T_Rm_UX,T_Rm_UY,T_Rm_UZ
B_Lp_UX,3.635279248540e+03,1.894655133713e+03,-5.909952348045e+00,-4.109075080596e+03,-1.872372569326e+03,1.445733758230e+01,-2.210034730424e+01,-1.792917975776e+01,-4.447308263230e+00,2.353790634662e+01,1.806256864732e+01,-3.178616129142e+00,1.840785808179e+03,7.716723624613e+02,-2.123976560952e+00,-1.366985721436e+03,-7.940638948470e+02,-2.418997042045e+00,2.097850757653e-01,8.739139197891e+00,2.097710235909e+00,-1.651598805509e+00,-8.763560087893e+00,1.523802525208e+00
B_Lp_UY,1.894655133713e+03,1.221163757633e+06,5.622167482479e+03,-2.142250000164e+03,-1.216350431526e+06,-4.611682369693e+03,-8.811269999294e+00,-4.178757407119e+03,-4.644118948390e+02,9.213524215307e+00,4.112744914995e+03,-1.151701507748e+03,9.686288582429e+02,-5.027770810235e+03,1.600906669273e+03,-7.193707087999e+02,2.845182329006e+02,-1.045948966788e+03,-5.400655888843e-01,1.121974302059e+02,6.082218222616e+01,-1.525471618679e+00,-1.162584676672e+02,-1.015159491080e+01
B_Lp_UZ,-5.909952348045e+00,5.622167482479e+03,1.419656866003e+04,1.016191095532e+01,-8.813912804729e+02,-1.047641727404e+04,-2.474854423372e+00,-1.084680747939e+04,-7.029226877623e+03,-1.127224765932e+00,1.118634861713e+04,2.581812330845e+03,2.207202208954e+00,-6.113131605343e+03,2.133324039181e+03,-1.799612532765e+00,1.038294108366e+03,-1.468018217201e+03,-5.233688990074e-01,1.361482286575e+02,7.892152939429e+01,-5.341001951518e-01,-1.416280714217e+02,-1.696419058754e+01
B_Lm_UX,-4.109075080596e+03,-2.142250000164e+03,1.016191095532e+01,4.674096595773e+03,2.106826883068e+03,-1.272329818162e+01,2.119015574372e+01,2.618579733414e+00,1.273657124980e+00,-2.379787705252e+01,-2.745520337609e+00,1.812536294507e-01,-2.405909776520e+03,-1.035282657381e+03,4.715748912108e+00,1.840893636923e+03,1.070804682539e+03,2.905008098472e+00,4.558223969187e-02,-1.596378846728e+01,-3.602154270168e+00,2.556763488712e+00,1.599182100939e+01,-2.912126268542e+00
B_Lm_UY,-1.872372569326e+03,-1.216350431526e+06,-8.813912804729e+02,2.106826883068e+03,1.261787807290e+06,-3.075854392772e+01,8.517289223067e+00,3.905431312499e+03,7.171144220766e+02,-9.529265366507e+00,-3.933985386661e+03,7.985091356426e+02,-8.323416710360e+02,-4.034539470142e+04,-6.572966047266e+03,5.964412695836e+02,-5.081731722975e+03,6.124092144313e+03,8.105189369370e-01,-3.397358778694e+02,-2.400627739610e+02,1.647544917180e+00,3.580406124394e+02,8.546294359456e+01
B_Lm_UZ,1.445733758230e+01,-4.611682369693e+03,-1.047641727404e+04,-1.272329818162e+01,-3.075854392772e+01,1.539061040356e+04,-1.018867108887e+00,-1.033101776243e+04,2.738836894308e+03,-2.362636981880e+00,9.994900603517e+03,-6.806042951284e+03,5.306453303899e+00,6.572750368539e+03,-2.904453193746e+03,-2.638463875867e+00,-1.601811727066e+03,2.133346020663e+03,-5.149226138146e-01,-1.645746931767e+02,-1.047890088082e+02,-5.056021241290e-01,1.721941242412e+02,2.890910934553e+01
T_Lp_UX,-2.210034730424e+01,-8.811269999294e+00,-2.474854423372e+00,2.119015574372e+01,8.517289223067e+00,-1.018867108887e+00,2.417752100694e+01,8.634796219321e+00,2.440004204345e+00,-2.376691212054e+01,-8.617674470103e+00,1.055287296276e+00,2.557512551515e+00,1.519491418460e+00,-5.038971461856e-01,-1.652137068183e+00,-1.242651539591e+00,-5.351598443706e-01,-2.018858567186e-01,2.646151947706e+00,5.189705496210e-01,-2.039069525000e-01,-2.646132799522e+00,5.185164725741e-01
T_Lp_UY,-1.792917975776e+01,-4.178757407119e+03,-1.084680747939e+04,2.618579733414e+00,3.905431312499e+03,-1.033101776243e+04,8.634796219321e+00,1.082934808197e+05,1.055400555752e+04,8.614870971530e+00,-1.082558007647e+05,1.067266938845e+04,-1.564095397767e+01,3.293855777027e+02,-1.721632748814e+02,8.417643356090e+00,-9.421164691038e+01,1.416020263983e+02,2.637500908427e+00,-4.488803409576e+01,-1.329537004857e+01,2.646742546644e+00,4.536014289703e+01,-4.993085623028e+00
T_Lp_UZ,-4.447308263230e+00,-4.644118948390e+02,-7.029226877623e+03,1.273657124980e+00,7.171144220766e+02,2.738836894308e+03,2.440004204345e+00,1.055400555752e+04,6.495335018749e+03,1.070267964451e+00,-1.073004521325e+04,-2.215018020088e+03,-2.836729154660e+00,-9.076742235639e+01,2.891154875820e+01,1.464531312051e+00,1.417481667399e+01,-1.696766508017e+01,5.171404833824e-01,-5.059747907790e+00,-3.224770584005e-01,5.184363286796e-01,4.989482078585e+00,-1.548421965927e+00
T_Lm_UX,2.353790634662e+01,9.213524215307e+00,-1.127224765932e+00,-2.379787705252e+01,-9.529265366507e+00,-2.362636981880e+00,-2.376691212054e+01,8.614870971530e+00,1.070267964451e+00,2.417600851453e+01,-8.633306936952e+00,2.424374730450e+00,4.423320165817e-02,5.025840563096e-01,-5.161740670675e-01,2.109265415798e-01,-1.684975494534e-01,-5.219290437873e-01,-2.024006088131e-01,2.636355995970e+00,5.161622896936e-01,-2.018848225121e-01,-2.636265386209e+00,5.171598740714e-01
