passage_index,passage_id,span,gate_index,catwalk,gate_name,subsystem,mct_node,family,rope_index,ansys_rope_node,rope_x_mm,rope_y_mm,rope_z_mm,beam_axis_x_mm,beam_axis_y_mm,beam_axis_z_mm,rigid_offset_z_mm,surface_gap_mm,original_mass21_element_id,original_mass21_real_id,original_combined_mass_tonne
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,1,42,-24120.0,203909.0,112301.044092026,-24120.0,203913.65000000002,112413.544092026,112.5,0.0,500034,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,2,770,-23860.0,203909.0,112301.044092026,-23860.0,203913.65000000002,112413.544092026,112.5,0.0,500727,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,3,1498,-23600.0,203909.0,112301.044092026,-23600.0,203913.65000000002,112413.544092026,112.5,0.0,501420,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,4,2226,-23340.0,203909.0,112301.044092026,-23340.0,203913.65000000002,112413.544092026,112.5,0.0,502113,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,5,2954,-23080.0,203909.0,112301.044092026,-23080.0,203913.65000000002,112413.544092026,112.5,0.0,502806,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,6,3682,-22820.0,203909.0,112301.044092026,-22820.0,203913.65000000002,112413.544092026,112.5,0.0,503499,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,7,4410,-22560.0,203909.0,112301.044092026,-22560.0,203913.65000000002,112413.544092026,112.5,0.0,504192,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,8,5138,-22300.0,203909.0,112301.044092026,-22300.0,203913.65000000002,112413.544092026,112.5,0.0,504885,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,9,5866,-20600.0,203909.0,112301.044092026,-20600.0,203913.65000000002,112413.544092026,112.5,0.0,505578,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,10,6594,-20340.0,203909.0,112301.044092026,-20340.0,203913.65000000002,112413.544092026,112.5,0.0,506271,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,11,7322,-20080.0,203909.0,112301.044092026,-20080.0,203913.65000000002,112413.544092026,112.5,0.0,506964,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,12,8050,-19820.0,203909.0,112301.044092026,-19820.0,203913.65000000002,112413.544092026,112.5,0.0,507657,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,13,8778,-19560.0,203909.0,112301.044092026,-19560.0,203913.65000000002,112413.544092026,112.5,0.0,508350,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,14,9506,-19300.0,203909.0,112301.044092026,-19300.0,203913.65000000002,112413.544092026,112.5,0.0,509043,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,15,10234,-19040.0,203909.0,112301.044092026,-19040.0,203913.65000000002,112413.544092026,112.5,0.0,509736,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,bottom,42,BOTTOM_PHI50,16,10962,-18780.0,203909.0,112301.044092026,-18780.0,203913.65000000002,112413.544092026,112.5,0.0,510429,200013,0.4469202529063838
1,H01,north_side,3,1,CW1_GATE_03,gate,1018,GANTRY_PHI54,1,11666,-23660.0,203918.30000000005,121414.541763406,-23660.0,203913.65000000002,121521.541763406,107.0,0.0,511090,200006,0.3663743286423279
