order,source_label,internal_id,derived_display_label,description,frequency_hz,frequency_display_hz,source_location
1,LS1,LS1,LS1,一阶正对称横弯,0.0365,0.0365,附件2-3表4-1，PDF第16页/印刷第14页
2,VA1,VA1,VA1,一阶反对称竖弯,0.07,0.0700,附件2-3表4-1，PDF第16页/印刷第14页
3,LA1,LA1,LA1,一阶反对称横弯,0.0726,0.0726,附件2-3表4-1，PDF第16页/印刷第14页
4,TA1,TA1,TA1,一阶反对称扭转,0.0996,0.0996,附件2-3表4-1，PDF第16页/印刷第14页
5,VS1,VS1,VS1,一阶正对称竖弯,0.1028,0.1028,附件2-3表4-1，PDF第16页/印刷第14页
6,LS2,LS2,LS2,二阶正对称横弯,0.1087,0.1087,附件2-3表4-1，PDF第16页/印刷第14页
7,TS1,TS1,TS1,一阶正对称扭转,0.1147,0.1147,附件2-3表4-1，PDF第16页/印刷第14页
8,边跨模态,SIDE1,边跨1,边跨模态（附件未细分）,0.1149,0.1149,附件2-3表4-1，PDF第16页/印刷第14页
9,边跨模态,SIDE2,边跨2,边跨模态（附件未细分）,0.1239,0.1239,附件2-3表4-1，PDF第16页/印刷第14页
10,VA2,VA2,VA2,二阶反对称竖弯,0.1438,0.1438,附件2-3表4-1，PDF第16页/印刷第14页
11,LA2,LA2,LA2,二阶反对称横弯,0.1449,0.1449,附件2-3表4-1，PDF第16页/印刷第14页
12,边跨模态,SIDE3,边跨3,边跨模态（附件未细分）,0.1557,0.1557,附件2-3表4-1，PDF第16页/印刷第14页
13,TS2,TS2,TS2,二阶正对称扭转,0.1571,0.1571,附件2-3表4-1，PDF第16页/印刷第14页
14,VS2,VS2,VS2,二阶正对称竖弯,0.1744,0.1744,附件2-3表4-1，PDF第16页/印刷第14页
