alpha_deg,CD,CL,CM,source
-12,0.817683,-0.03739,-0.01421,西南交大XNJD-1风洞实测_风轴系
-11,0.801429,-0.03650,-0.01385,西南交大XNJD-1风洞实测_风轴系
-10,0.769483,-0.03517,-0.01259,西南交大XNJD-1风洞实测_风轴系
-9,0.718510,-0.03234,-0.01236,西南交大XNJD-1风洞实测_风轴系
-8,0.692602,-0.03190,-0.01128,西南交大XNJD-1风洞实测_风轴系
-7,0.658322,-0.02867,-0.01072,西南交大XNJD-1风洞实测_风轴系
-6,0.631903,-0.02724,-0.00999,西南交大XNJD-1风洞实测_风轴系
-5,0.606115,-0.02490,-0.00909,西南交大XNJD-1风洞实测_风轴系
-4,0.595801,-0.02185,-0.00874,西南交大XNJD-1风洞实测_风轴系
-3,0.559340,-0.01894,-0.00782,西南交大XNJD-1风洞实测_风轴系
-2,0.538474,-0.01531,-0.00745,西南交大XNJD-1风洞实测_风轴系
-1,0.524418,-0.01276,-0.00691,西南交大XNJD-1风洞实测_风轴系
0,0.526049,-0.01023,-0.00693,西南交大XNJD-1风洞实测_风轴系
1,0.547387,-0.00626,-0.00697,西南交大XNJD-1风洞实测_风轴系
2,0.541047,-0.00257,-0.00697,西南交大XNJD-1风洞实测_风轴系
3,0.564214,0.002736,-0.00755,西南交大XNJD-1风洞实测_风轴系
4,0.564117,0.008448,-0.00826,西南交大XNJD-1风洞实测_风轴系
5,0.588942,0.015712,-0.00920,西南交大XNJD-1风洞实测_风轴系
6,0.615090,0.020277,-0.01030,西南交大XNJD-1风洞实测_风轴系
7,0.625596,0.023790,-0.01139,西南交大XNJD-1风洞实测_风轴系
8,0.648170,0.026470,-0.01248,西南交大XNJD-1风洞实测_风轴系
9,0.688249,0.027638,-0.01360,西南交大XNJD-1风洞实测_风轴系
10,0.714610,0.029608,-0.01470,西南交大XNJD-1风洞实测_风轴系
11,0.739414,0.030318,-0.01562,西南交大XNJD-1风洞实测_风轴系
12,0.766251,0.032234,-0.01637,西南交大XNJD-1风洞实测_风轴系
