mode,frequency_hz,eigenpair_relative_residual,mode_class,dominant_span,dominant_span_fraction,main_energy_fraction,family,family_fraction_within_main,span_parity,half_wave_order,template_mac,roll_common_dominant,main_L_energy,main_V_energy,main_T_energy,main_sys_z_energy,main_intra_roll_energy,modal_mass_norm,formal_label
1,0.0368254014134239,4.897948851872729e-10,MAIN,MAIN,0.9999999999999978,0.9999999999999978,L,0.9999493494090633,S,1,0.9998635697207333,True,0.9999493494090591,1.4212095427727917e-16,4.705831759432249e-05,4.5283466340431704e-05,1.774851253890793e-06,1.0000000000000004,LS1
2,0.07109342845263997,1.3210476418360388e-10,MAIN,MAIN,0.9999999999999725,0.9999999999999725,T,0.8311555243611721,A,2,0.998832031654494,True,0.053498708468708064,1.9949725497853808e-05,0.8311555243611504,0.8244665393572005,0.00668898500394989,0.9999999999999999,TA1
3,0.07114189671874772,9.837683143836095e-11,MAIN,MAIN,0.9999999999999726,0.9999999999999726,V,0.8779077406234376,A,2,0.9989359622346947,True,1.2512227590087766e-06,0.8779077406234137,1.88959195901442e-05,1.8742623120625205e-05,1.5329646951899488e-07,0.9999999999999982,VA1
4,0.07314651749416475,1.6516560742997232e-10,MAIN,MAIN,0.9999999999999728,0.9999999999999728,L,0.970597829988947,A,2,0.9996146099427684,True,0.9705978299889205,4.0265382707323637e-10,0.025707616309928072,0.025507054370232974,0.00020056193969509675,0.9999999999999967,LA1
5,0.10113532460650478,4.532137382141831e-11,MAIN,MAIN,0.9999999999587297,0.9999999999587297,T,0.9263475495780163,S,3,0.6734375755871764,True,0.039737484086443724,4.4092613708332267e-07,0.926347549539786,0.9188861291664292,0.007461420373356841,1.0,TS1
6,0.10162598308211776,5.005378028900192e-11,MAIN,MAIN,0.9999999999617792,0.9999999999617792,V,0.9635128606906261,S,3,0.6881170341464651,False,1.9164235589204917e-08,0.9635128606537994,4.356655570642302e-07,4.278060476217842e-07,7.859509442446004e-09,0.9999999999999994,VS1
7,0.10979859174352588,4.867765840430901e-11,MAIN,MAIN,0.9999999999999607,0.9999999999999607,L,0.9886079435583192,S,3,0.9989822918714859,True,0.9886079435582796,2.3773827805332738e-11,0.010775602792681199,0.010690484103929634,8.511868875156539e-05,1.0000000000000018,LS2
8,0.1209517974076499,9.96165578073108e-11,SIDE,SOUTH,0.9997844907245462,2.799554861789452e-13,SIDE,0.9990332358231586,,0,0.0,True,3.0151769164231677e-27,2.091568009071938e-26,2.7065092311650397e-16,2.3576965073391975e-16,3.488127238258428e-17,0.999999999999999,SIDE_SOUTH
9,0.12559468387197584,6.562740172914491e-11,SIDE,NORTH,0.9999999999999996,2.420255689264704e-16,SIDE,0.9983258127263654,,0,0.0,True,4.0030409544453777e-28,7.3255208063399805e-28,4.051961235417794e-19,3.9459036028348597e-19,1.060576325829338e-20,1.0000000000000013,SIDE_NORTH
10,0.14291348747210253,3.195587351253015e-11,MAIN,MAIN,0.999999999544135,0.999999999544135,T,0.909474442555093,S,1,0.6579286921367938,True,0.05630784992015808,9.002330629506461e-08,0.9094744421404958,0.90117936545189,0.00829507668860578,1.0000000000000009,TS2
11,0.14311746273998455,5.065431935001632e-11,SIDE,SOUTH,0.8840665178155077,7.067049818227105e-11,SIDE,0.9990317745791157,,0,0.0,False,4.9607645724061036e-26,6.832280365806491e-14,9.877531742527518e-20,9.680329569323992e-20,1.9720217320352712e-21,1.0000000000000004,SIDE_SOUTH
12,0.14327149748713597,7.100774805646624e-11,SIDE,SOUTH,0.88716621370335,7.049944792188712e-11,SIDE,0.999031785407046,,0,0.0,True,2.275765036109287e-26,9.778881672396861e-20,6.815744550274909e-14,6.760953056370748e-14,5.479149390416087e-16,1.0000000000000004,SIDE_SOUTH
13,0.14442351076238347,3.7534474172188136e-11,MAIN,MAIN,0.9999999995291284,0.9999999995291284,V,0.9644085896081939,S,1,0.6523081554425327,False,3.177029266063962e-08,0.9644085891540826,1.0916189593639815e-07,8.288612315455278e-08,2.627577278184536e-08,0.999999999999999,VS2
14,0.14486431628386676,3.927827035509398e-11,MAIN,MAIN,0.9999999999752828,0.9999999999752828,L,0.5824399429657584,A,4,0.9948981343816624,True,0.5824399429513621,8.037799345309217e-08,0.3909394265203568,0.3874380637737004,0.0035013627466564125,1.0,LA2
15,0.14605977031226233,3.3882984429582965e-11,MAIN,MAIN,0.9999999999721828,0.9999999999721828,V,0.9376696511160924,A,4,0.9450960774599221,False,3.672050471142901e-07,0.93766965109001,1.3704278341242016e-07,1.169276931073902e-07,2.0115090305029942e-08,1.0000000000000004,VA2
16,0.146576212135106,4.4267839145079226e-11,MAIN,MAIN,0.9999999999997256,0.9999999999997256,T,0.5440207432780504,A,4,0.9925879412497127,True,0.4198216735244822,4.0614496261442654e-07,0.5440207432779005,0.5398635404500352,0.004157202827865334,1.0000000000000002,TA2
