reference_order,reference_id,reference_description,reference_frequency_hz,matched_mode,matched_frequency_hz,relative_error_percent,absolute_error_percent,match_basis,matched_formal_label,mode_class,dominant_span,half_wave_order_fingerprint,half_wave_template_mac,eigenpair_relative_residual
1,LS1,一阶正对称横弯,0.0365,1,0.0368254014134239,0.891510721709321,0.891510721709321,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,LS1,MAIN,MAIN,1,0.9998635697207333,4.897948851872729e-10
2,VA1,一阶反对称竖弯,0.07,3,0.07114189671874772,1.6312810267824496,1.6312810267824496,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,VA1,MAIN,MAIN,2,0.9989359622346947,9.837683143836095e-11
3,LA1,一阶反对称横弯,0.0726,4,0.07314651749416475,0.7527789175822974,0.7527789175822974,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,LA1,MAIN,MAIN,2,0.9996146099427684,1.6516560742997232e-10
4,TA1,一阶反对称扭转,0.0996,2,0.07109342845263997,-28.621055770441796,28.621055770441796,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,TA1,MAIN,MAIN,2,0.998832031654494,1.3210476418360388e-10
5,VS1,一阶正对称竖弯,0.1028,6,0.10162598308211776,-1.1420398033873957,1.1420398033873957,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,VS1,MAIN,MAIN,3,0.6881170341464651,5.005378028900192e-11
6,LS2,二阶正对称横弯,0.1087,7,0.10979859174352588,1.0106639774847048,1.0106639774847048,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,LS2,MAIN,MAIN,3,0.9989822918714859,4.867765840430901e-11
7,TS1,一阶正对称扭转,0.1147,5,0.10113532460650478,-11.826220918478835,11.826220918478835,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,TS1,MAIN,MAIN,3,0.6734375755871764,4.532137382141831e-11
8,SIDE1,边跨模态（附件未细分）,0.1149,8,0.1209517974076499,5.267012539294957,5.267012539294957,dominant non-main span energy >=0.65 + global one-to-one relative-frequency assignment,SIDE_SOUTH,SIDE,SOUTH,0,0.0,9.96165578073108e-11
9,SIDE2,边跨模态（附件未细分）,0.1239,9,0.12559468387197584,1.3677835932008442,1.3677835932008442,dominant non-main span energy >=0.65 + global one-to-one relative-frequency assignment,SIDE_NORTH,SIDE,NORTH,0,0.0,6.562740172914491e-11
10,VA2,二阶反对称竖弯,0.1438,15,0.14605977031226233,1.5714675328666994,1.5714675328666994,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,VA2,MAIN,MAIN,4,0.9450960774599221,3.3882984429582965e-11
11,LA2,二阶反对称横弯,0.1449,14,0.14486431628386676,-0.024626443156139377,0.024626443156139377,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,LA2,MAIN,MAIN,4,0.9948981343816624,3.927827035509398e-11
12,SIDE3,边跨模态（附件未细分）,0.1557,17,0.16590792974776788,6.556152696061579,6.556152696061579,dominant non-main span energy >=0.65 + global one-to-one relative-frequency assignment,SIDE_NORTH,SIDE,NORTH,0,0.0,5.434789632493347e-11
13,TS2,二阶正对称扭转,0.1571,10,0.14291348747210253,-9.030243493251088,9.030243493251088,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,TS2,MAIN,MAIN,1,0.6579286921367938,3.195587351253015e-11
14,VS2,二阶正对称竖弯,0.1744,13,0.14442351076238347,-17.18835392065168,17.18835392065168,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,VS2,MAIN,MAIN,1,0.6523081554425327,3.7534474172188136e-11
