previous_mode,previous_label,previous_frequency_hz,upgraded_mode,upgraded_label,upgraded_frequency_hz,frequency_shift_percent,mass_weighted_mac_center_projected
1,LS1,0.036772576291419,1,LS1,0.0368254014134239,0.14365357919516875,0.9999377939212155
2,VA1,0.0714455833073396,3,VA1,0.07114189671874772,-0.4250599890625928,0.9999563097260222
3,TA1,0.0714909156306459,2,TA1,0.07109342845263997,-0.5559967647631336,0.9749135067305784
4,LA1,0.0735016537074409,4,LA1,0.07314651749416475,-0.4831676504717941,0.9727543468647359
5,TS1,0.1009814467416945,5,TS1,0.10113532460650478,0.15238231355894083,0.9914689692466675
6,VS1,0.1011768285252215,6,VS1,0.10162598308211776,0.4439302589765326,0.9998770722698173
7,LS2,0.1101117029265786,7,LS2,0.10979859174352588,-0.2843577700923361,0.9886412879028071
8,EDGES1,0.1161815599297128,8,SIDE_SOUTH,0.1209517974076499,4.105847331386303,0.9965236617574054
9,EDGES2,0.1248152372466049,9,SIDE_NORTH,0.12559468387197584,0.6244803459620307,0.9996302821668785
10,EDGEA1,0.1352049332996467,12,SIDE_SOUTH,0.14327149748713597,5.966175930586659,0.9902310828388103
11,EDGEA2,0.1353874657541246,11,SIDE_SOUTH,0.14311746273998455,5.7095366567377015,0.9939493075885458
12,TS2,0.1438136128045441,10,TS2,0.14291348747210253,-0.6258971698770432,0.948902194103856
13,VS2,0.1453338835738304,13,VS2,0.14442351076238347,-0.626400939038041,0.9430951221026936
14,TA2,0.146425011782437,14,LA2,0.14486431628386676,-1.065866739276189,0.6755848676090263
15,VA2,0.1464449991349267,15,VA2,0.14605977031226233,-0.26305358662978007,0.9413778939646966
16,LA2,0.1465787124946757,16,TA2,0.146576212135106,-0.00170581357084032,0.7151857181155684
17,EDGES3,0.1647992852728242,17,SIDE_NORTH,0.16590792974776788,0.6727240795421752,0.999147393813627
18,EDGES4,0.1657263370887151,18,SIDE_NORTH,0.1668560158849614,0.6816531494578282,0.9999727240915977
19,EDGES5,0.1673853602705529,22,SIDE_AUX,0.1923682089251443,14.92534867697537,0.9992225234283572
20,LS3,0.1831318313250056,19,LS3,0.18145294052751113,-0.9167662362939755,0.9852527709744808
21,TS3,0.1870471324636372,20,TS3,0.1865491740502595,-0.266220821896046,0.9885745904695686
22,VS3,0.1873136351418497,21,VS3,0.18677370918342245,-0.288247013100984,0.9994019134995412
23,EDGES6,0.1964456105799679,26,SIDE_AUX,0.2223466154907681,13.184822422009045,0.9601395794569046
24,EDGES7,0.1973690722007832,27,SIDE_AUX,0.2227828979631311,12.876295905416457,0.9587041283919824
