mode,frequency_hz,eigenpair_relative_residual,mode_class,dominant_span,dominant_span_fraction,main_energy_fraction,family,family_fraction_within_main,span_parity,half_wave_order,template_mac,roll_common_dominant,main_L_energy,main_V_energy,main_T_energy,main_sys_z_energy,main_intra_roll_energy,modal_mass_norm,formal_label
1,0.03682129739261918,1.2271077969882134e-10,MAIN,MAIN,0.9999999999999951,0.9999999999999951,L,0.9999460312613124,S,1,0.9998672545858098,True,0.9999460312613091,1.357224805832226e-16,5.0223885932423346e-05,4.435303653642058e-05,5.870849396002774e-06,1.0000000000000007,LS1
2,0.07105069820724505,7.898153598713197e-11,MAIN,MAIN,0.9999999999999787,0.9999999999999787,T,0.8292933972078437,A,2,0.9988351960417374,True,0.055613796575855294,5.591552458063045e-06,0.8292933972078257,0.8219036950772038,0.007389702130621831,1.0000000000000016,TA1
3,0.07114203381841394,9.017969277105556e-11,MAIN,MAIN,0.9999999999999717,0.9999999999999717,V,0.8779215684729161,A,2,0.9989357729347785,True,3.741751044251695e-07,0.8779215684728926,5.29884388484912e-06,5.241617153704743e-06,5.722673114437758e-08,1.0000000000000009,VA1
4,0.07312695530918052,5.349389069800939e-11,MAIN,MAIN,0.9999999999999651,0.9999999999999651,L,0.9695840976473269,A,2,0.9995980713556535,True,0.9695840976472939,4.240299949615244e-10,0.026600570690517,0.026374266590101187,0.00022630410041581377,0.9999999999999994,LA1
5,0.10109474295301957,2.973517122787771e-11,MAIN,MAIN,0.9999999999586076,0.9999999999586076,T,0.9240974191283001,S,3,0.6730474181632101,True,0.04211229250318447,3.737718894687946e-07,0.9240974190900497,0.9158174551960443,0.008279963894005414,0.9999999999999984,TS1
6,0.10162643677941213,3.27477282423141e-11,MAIN,MAIN,0.9999999999617764,0.9999999999617764,V,0.9635121712616206,S,3,0.688111629586815,False,1.733190481823286e-08,0.963512171224791,4.056262687632306e-07,3.618898772266256e-07,4.3736391536605005e-08,0.9999999999999999,VS1
7,0.10973063830849028,2.059433356009914e-11,MAIN,MAIN,0.9999999999998964,0.9999999999998964,L,0.987388230443662,S,3,0.9990022547963209,True,0.9873882304435599,2.6599731240522522e-11,0.011933070768160295,0.011761514009966964,0.00017155675819333104,0.9999999999999993,LS2
8,0.12089318232846519,2.310501573538111e-11,SIDE,SOUTH,0.9997781152257014,2.9495042141823814e-13,SIDE,0.9990332358715422,,0,0.0,True,5.676124536547883e-29,1.0217025602492702e-26,2.851474765684551e-16,2.3019959259037457e-16,5.494788397808054e-17,1.0000000000000009,SIDE_SOUTH
9,0.12557340916294213,2.3903536819155205e-11,SIDE,NORTH,0.9999999999999986,1.0890589781313666e-15,SIDE,0.9983258127655059,,0,0.0,True,3.262027318258832e-28,8.710940159330942e-28,1.8232886340113766e-18,3.894293102978507e-19,1.4338593237135259e-18,1.0000000000000004,SIDE_NORTH
10,0.14272718584094687,2.466726907678511e-11,MAIN,MAIN,0.9999999995514313,0.9999999995514313,T,0.8954469899157971,S,1,0.6555447258342314,True,0.0706541163101268,6.983140035950227e-08,0.8954469895141273,0.8841796531003115,0.011267336413815691,1.0000000000000009,TS2
