reference_order,reference_id,reference_description,reference_frequency_hz,matched_mode,matched_frequency_hz,relative_error_percent,absolute_error_percent,match_basis,matched_formal_label,mode_class,dominant_span,half_wave_order_fingerprint,half_wave_template_mac,eigenpair_relative_residual
1,LS1,一阶正对称横弯,0.0365,1,0.03682129739261918,0.8802668290936566,0.8802668290936566,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,LS1,MAIN,MAIN,1,0.9998672545858098,1.2271077969882134e-10
2,VA1,一阶反对称竖弯,0.07,3,0.07114203381841394,1.6314768834484683,1.6314768834484683,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,VA1,MAIN,MAIN,2,0.9989357729347785,9.017969277105556e-11
3,LA1,一阶反对称横弯,0.0726,4,0.07312695530918052,0.7258337592018327,0.7258337592018327,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,LA1,MAIN,MAIN,2,0.9995980713556535,5.349389069800939e-11
4,TA1,一阶反对称扭转,0.0996,2,0.07105069820724505,-28.66395762324794,28.66395762324794,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,TA1,MAIN,MAIN,2,0.9988351960417374,7.898153598713197e-11
5,VS1,一阶正对称竖弯,0.1028,6,0.10162643677941213,-1.1415984636068743,1.1415984636068743,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,VS1,MAIN,MAIN,3,0.688111629586815,3.27477282423141e-11
6,LS2,二阶正对称横弯,0.1087,7,0.10973063830849028,0.9481493178383316,0.9481493178383316,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,LS2,MAIN,MAIN,3,0.9990022547963209,2.059433356009914e-11
7,TS1,一阶正对称扭转,0.1147,5,0.10109474295301957,-11.861601610270645,11.861601610270645,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,TS1,MAIN,MAIN,3,0.6730474181632101,2.973517122787771e-11
8,SIDE1,边跨模态（附件未细分）,0.1149,8,0.12089318232846519,5.215998545226452,5.215998545226452,dominant non-main span energy >=0.65 + global one-to-one relative-frequency assignment,SIDE_SOUTH,SIDE,SOUTH,0,0.0,2.310501573538111e-11
9,SIDE2,边跨模态（附件未细分）,0.1239,9,0.12557340916294213,1.3506127223100295,1.3506127223100295,dominant non-main span energy >=0.65 + global one-to-one relative-frequency assignment,SIDE_NORTH,SIDE,NORTH,0,0.0,2.3903536819155205e-11
10,VA2,二阶反对称竖弯,0.1438,15,0.14606106051410575,1.5723647525074602,1.5723647525074602,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,VA2,MAIN,MAIN,4,0.9453116203232286,3.339903276365626e-11
11,LA2,二阶反对称横弯,0.1449,14,0.14465534213314282,-0.16884600887313583,0.16884600887313583,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,LA2,MAIN,MAIN,4,0.9942399224569625,3.830600316513563e-11
12,SIDE3,边跨模态（附件未细分）,0.1557,17,0.16574461763090428,6.451263732115775,6.451263732115775,dominant non-main span energy >=0.65 + global one-to-one relative-frequency assignment,SIDE_NORTH,SIDE,NORTH,0,0.0,4.8053449078684966e-11
13,TS2,二阶正对称扭转,0.1571,10,0.14272718584094687,-9.148831418875314,9.148831418875314,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,TS2,MAIN,MAIN,1,0.6555447258342314,2.466726907678511e-11
14,VS2,二阶正对称竖弯,0.1744,13,0.14442495607802147,-17.18752518462071,17.18752518462071,main-span energy + four-line family (T = intra-width roll) + parity + within-family ascending-frequency ordinal; half-wave is fingerprint only,VS2,MAIN,MAIN,1,0.6524752804094529,2.467846948004085e-11
