previous_mode,previous_label,previous_frequency_hz,upgraded_mode,upgraded_label,upgraded_frequency_hz,frequency_shift_percent,mass_weighted_mac_center_projected
1,LS1,0.036772576291419,1,LS1,0.03682129739261918,0.13249303180193905,0.9999326857698235
2,VA1,0.0714455833073396,3,VA1,0.07114203381841394,-0.42486809523253344,0.9999725003044452
3,TA1,0.0714909156306459,2,TA1,0.07105069820724505,-0.6157669397818477,0.9741075857155311
4,LA1,0.0735016537074409,4,LA1,0.07312695530918052,-0.5097822693238885,0.9717303159708182
5,TS1,0.1009814467416945,5,TS1,0.10109474295301957,0.11219507640336523,0.9908156908619666
6,VS1,0.1011768285252215,6,VS1,0.10162643677941213,0.44437867913458273,0.9998772784786106
7,LS2,0.1101117029265786,7,LS2,0.10973063830849028,-0.3460709515521798,0.9873623395387235
8,EDGES1,0.1161815599297128,8,SIDE_SOUTH,0.12089318232846519,4.055396055624327,0.9962338389200445
9,EDGES2,0.1248152372466049,9,SIDE_NORTH,0.12557340916294213,0.6074353845430425,0.9995514298692916
10,EDGEA1,0.1352049332996467,12,SIDE_SOUTH,0.1432438064933447,5.945695173623533,0.9900517444195127
11,EDGEA2,0.1353874657541246,11,SIDE_SOUTH,0.1431180750451398,5.709988918069153,0.9939491949421372
12,TS2,0.1438136128045441,10,TS2,0.14272718584094687,-0.7554409783681493,0.9404027172798363
13,VS2,0.1453338835738304,13,VS2,0.14442495607802147,-0.6254064595660469,0.9433140609152959
14,TA2,0.146425011782437,14,LA2,0.14465534213314282,-1.2085842628605015,0.6093441552502116
15,VA2,0.1464449991349267,15,VA2,0.14606106051410575,-0.2621725720160728,0.9416089161252967
16,LA2,0.1465787124946757,16,TA2,0.14648266360937698,-0.06552717216846693,0.6509302522967021
17,EDGES3,0.1647992852728242,17,SIDE_NORTH,0.16574461763090428,0.5736264914711908,0.9991533051557896
18,EDGES4,0.1657263370887151,18,SIDE_NORTH,0.16685702102311342,0.6822596542353176,0.9999725571821104
19,EDGES5,0.1673853602705529,22,SIDE_AUX,0.19231704370873384,14.894781358347409,0.9990205863577142
20,LS3,0.1831318313250056,19,LS3,0.18083684897594685,-1.2531859330264794,0.9792069012977851
21,TS3,0.1870471324636372,20,TS3,0.18650648727829408,-0.28904222065431195,0.9896488364123438
22,VS3,0.1873136351418497,21,VS3,0.18677581047540726,-0.28712520902984817,0.9994041281582247
23,EDGES6,0.1964456105799679,27,SIDE_AUX,0.22229247791195578,13.157263863356361,0.9600823089437812
24,EDGES7,0.1973690722007832,28,SIDE_AUX,0.22278345961901674,12.87658047679301,0.9587093604129728
