passage_id,bottom_node,gate_node,replaced_gate_element,cw1_bottom_global,cw1_gantry_global,cw2_bottom_global,cw2_gantry_global,x_bottom_m,x_gate_m,x_centerline_m,slope_degree,matrix_sha256,added_mass_kg
H01,42,1018,1397,1166,1872,41,747,203.909,203.91829999999993,203.91364999999985,20.36151986850172,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H02,81,1033,1400,1205,1887,80,762,374.909,374.91829999999993,374.91364999999985,23.53036552574458,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H03,120,1048,1403,1244,1902,119,777,545.909,545.9182999999999,545.9136499999998,26.60920511461928,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H04,180,1083,1408,1304,1937,179,812,882.909,882.9182999999999,882.9136499999998,-18.571270671730552,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H05,201,1098,1411,1325,1952,200,827,1053.909,1053.9182999999998,1053.91365,-15.430811130940764,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H06,222,1113,1414,1346,1967,221,842,1224.909,1224.9183000000003,1224.91365,-12.232137330732876,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H07,243,1128,1417,1367,1982,242,857,1395.909,1395.9182999999998,1395.91365,-8.986094198671868,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H08,262,1143,1420,1386,1997,261,872,1546.9182999999998,1546.9182999999998,1546.9182999999998,-6.188352139479248,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H09,283,1158,1423,1407,2012,282,887,1703.9175,1703.9175,1703.9175,-2.830003130701277,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H10,302,1173,1426,1426,2027,301,902,1854.909,1854.9175,1854.91325,-0.002671570228672,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H11,321,1188,1429,1445,2042,320,917,2005.9175,2005.9175,2005.9175,2.823955351101044,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H12,342,1203,1432,1466,2057,341,932,2162.9183,2162.9183,2162.9183,6.182278325594333,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H13,361,1218,1435,1485,2072,360,947,2313.909,2313.9183,2313.91365,8.980830716211893,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H14,382,1233,1438,1506,2087,381,962,2484.909,2484.9183,2484.91365,12.22694083707994,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H15,403,1248,1441,1527,2102,402,977,2655.909,2655.9183,2655.91365,15.425699965862602,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H16,424,1263,1444,1548,2117,423,992,2826.909,2826.9183,2826.91365,18.56626139616939,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H17,488,1300,1449,1612,2154,487,1029,3183.409,3183.4183,3183.41365,-20.247296239846616,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H18,528,1315,1452,1652,2169,527,1044,3363.409,3363.4183,3363.41365,-16.852215960394865,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H19,568,1330,1455,1692,2184,567,1059,3543.409,3543.4183,3543.41365,-13.380993844692943,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H20,646,1363,1460,1770,2217,645,1092,3887.909,3887.9183,3887.91365,-10.870144525260978,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
H21,685,1378,1463,1809,2232,684,1107,4058.909,4058.9183,4058.91365,-7.461325948438306,28ed7b14afd260595e62bbf2e606daf4f3a325ec8f04134f8e102653cf618341,0.0
