global_index,width,mct_node,x_m,y_m,z_m
0,L,1,21.01400000000001,-21.45,28.152
1,L,2,42.90899999999999,-21.45,54.6538346254469
2,L,3,43.87099999999998,-21.45,55.823
3,L,4,44.90899999999999,-21.45,56.5514072179863
4,L,5,47.90899999999999,-21.45,58.6586687670951
5,L,6,48.797000000000025,-21.45,59.283
6,L,7,49.90899999999999,-21.45,59.628330613014604
7,L,8,54.90899999999999,-21.45,61.1855424683696
8,L,9,59.90899999999999,-21.45,62.781367350293
9,L,10,65.90899999999999,-21.45,64.70742068582899
10,L,11,68.90899999999999,-21.45,65.6747280986877
11,L,12,71.90899999999999,-21.45,66.6450067464816
12,L,13,77.90899999999999,-21.45,68.5942345945447
13,L,14,83.90899999999999,-21.45,70.5554219552633
14,L,15,86.90899999999999,-21.45,71.54030373980261
15,L,16,89.90899999999999,-21.45,72.5281612471869
16,L,17,95.90899999999999,-21.45,74.51446916857729
17,L,18,101.90899999999999,-21.45,76.5127556923962
18,L,19,104.90899999999999,-21.45,77.5161949621883
19,L,20,107.90899999999999,-21.45,78.5226147718403
20,L,21,113.90899999999999,-21.45,80.5441502074693
21,L,22,119.90899999999999,-21.45,82.5776826833425
22,L,23,122.90899999999999,-21.45,83.59875256091831
23,L,24,125.90899999999999,-21.45,84.62280762927129
24,L,25,131.909,-21.45,86.67962621351741
25,L,26,137.909,-21.45,88.7484605958126
26,L,27,140.909,-21.45,89.78718918633379
27,L,28,143.909,-21.45,90.8289076995905
28,L,29,146.909,-21.45,91.87364997752239
29,L,30,149.909,-21.45,92.9219754268523
30,L,31,155.909,-21.45,95.02807932660751
31,L,32,158.909,-21.45,96.08545099239561
32,L,33,161.909,-21.45,97.1458176540873
33,L,34,167.909,-21.45,99.2752860792374
34,L,35,173.909,-21.45,101.416809840941
35,L,36,176.909,-21.45,102.49189945722101
36,L,37,179.909,-21.45,103.569988964228
37,L,38,185.909,-21.45,105.734916410466
38,L,39,191.909,-21.45,107.911918933382
39,L,40,194.909,-21.45,109.004756073862
40,L,41,197.909,-21.45,110.100598080083
41,L,42,203.909,-21.45,112.301044092026
42,L,43,209.909,-21.45,114.55418645267301
43,L,44,212.909,-21.45,115.68511134719499
44,L,45,215.909,-21.45,116.819052028317
45,L,46,221.909,-21.45,119.095725239478
46,L,47,227.909,-21.45,121.38453761539999
47,L,48,230.909,-21.45,122.533306037651
48,L,49,233.909,-21.45,123.685095474592
49,L,50,239.909,-21.45,125.997480532709
50,L,51,245.909,-21.45,128.322025832051
51,L,52,248.909,-21.45,129.488669352393
52,L,53,251.909,-21.45,130.658339196738
53,L,54,257.909,-21.45,133.006499654316
54,L,55,260.909,-21.45,134.18535382721402
55,L,56,263.909,-21.45,135.367829344034
56,L,57,266.909,-21.45,136.553368746901
57,L,58,269.909,-21.45,137.741939930858
58,L,59,275.909,-21.45,140.127852356282
59,L,60,281.909,-21.45,142.525969314731
60,L,61,284.909,-21.45,143.729448816625
61,L,62,287.909,-21.45,144.93596557648098
62,L,63,293.909,-21.45,147.357786975034
63,L,64,299.909,-21.45,149.79183497079597
64,L,65,302.909,-21.45,151.013287635636
65,L,66,305.909,-21.45,152.237783116622
66,L,67,311.909,-21.45,154.695580004817
67,L,68,317.909,-21.45,157.16562588163
68,L,69,320.909,-21.45,158.406040218208
69,L,70,323.909,-21.45,159.649503311797
70,L,71,329.909,-21.45,162.145254669171
71,L,72,335.909,-21.45,164.65327894086602
72,L,73,338.909,-21.45,165.911735852573
73,L,74,341.909,-21.45,167.173247246657
74,L,75,347.909,-21.45,169.70511370951797
75,L,76,353.909,-21.45,172.249276144226
76,L,77,356.909,-21.45,173.525810187795
77,L,78,359.909,-21.45,174.805404519233
78,L,79,365.909,-21.45,177.37345558094802
79,L,80,371.909,-21.45,179.953825997682
80,L,81,374.909,-21.45,181.24847221642
81,L,82,377.909,-21.45,182.566482181765
82,L,83,383.909,-21.45,185.211404887003
83,L,84,389.909,-21.45,187.868697543614
84,L,85,392.909,-21.45,189.201822669163
85,L,86,395.909,-21.45,190.538026713431
86,L,87,401.909,-21.45,193.219356975323
87,L,88,407.909,-21.45,195.913081589424
88,L,89,410.909,-21.45,197.264431305839
89,L,90,413.909,-21.45,198.618866084454
90,L,91,419.909,-21.45,201.336677427616
91,L,92,425.909,-21.45,204.066907851035
92,L,93,428.909,-21.45,205.436519223223
93,L,94,431.909,-21.45,206.809221881486
94,L,95,437.909,-21.45,209.565499159252
95,L,96,443.909,-21.45,212.334221887669
96,L,97,446.909,-21.45,213.72308877101798
97,L,98,449.909,-21.45,215.115053579623
98,L,99,455.909,-21.45,217.907965902005
99,L,100,461.909,-21.45,220.713349072587
100,L,101,464.909,-21.45,222.12055521547703
101,L,102,467.909,-21.45,223.530865676661
102,L,103,473.909,-21.45,226.36048956577
103,L,104,479.909,-21.45,229.202610028938
104,L,105,482.909,-21.45,230.628193995812
105,L,106,485.909,-21.45,232.056888757832
106,L,107,488.91829999999993,-21.45,233.493171379095
107,L,108,491.909,-21.45,234.92426981301998
108,L,109,497.909,-21.45,237.805116471598
109,L,110,500.909,-21.45,239.25007334383
110,L,111,503.909,-21.45,240.69814791043999
111,L,112,509.909,-21.45,243.60334224445
112,L,113,515.909,-21.45,246.52108697239302
113,L,114,518.909,-21.45,247.984502345618
114,L,115,521.909,-21.45,249.451042058223
115,L,116,527.909,-21.45,252.39318759104
