width,source_element,kind,n1_global,n2_global,length_m,initial_force_kn,equivalent_ea_n
L,1,TENSTR,0,1,34.37642016723869,15686.3,2675842997.94008
L,2,TENSTR,1,2,1.5140646198408694,15724.3,2675842997.94008
L,3,TENSTR,2,3,1.2680777086655874,12205.4,2675842997.94008
L,4,TENSTR,3,4,3.666135736214961,12209.3,2675842997.94008
L,5,TENSTR,4,5,1.0855107039456648,12213.0,2675842997.94008
L,6,TENSTR,5,6,1.1643870629154924,10461.5,2675842997.94008
L,7,TENSTR,6,7,5.236879678058122,10464.1,2675842997.94008
L,8,TENSTR,7,8,5.248490931093037,10487.3,2675842997.94008
L,9,TENSTR,8,9,6.301561826351409,10493.0,2675842997.94008
L,10,TENSTR,9,10,3.1520919451963003,10497.4,2675842997.94008
L,11,TENSTR,10,11,3.1530050197176607,10500.4,2675842997.94008
L,12,TENSTR,11,12,6.3086836347739546,10504.8,2675842997.94008
L,13,TENSTR,12,13,6.312389077349588,10511.0,2675842997.94008
L,14,TENSTR,13,14,3.1575294344657086,10515.5,2675842997.94008
L,15,TENSTR,14,15,3.158458873389917,10518.6,2675842997.94008
L,16,TENSTR,15,16,6.320238852968946,10524.1,2675842997.94008
L,17,TENSTR,16,17,6.32401368050989,10530.4,2675842997.94008
L,18,TENSTR,17,18,3.1633669354282783,10534.9,2675842997.94008
L,19,TENSTR,18,19,3.1643136433135024,10538.1,2675842997.94008
L,20,TENSTR,19,20,6.331398385625702,10542.6,2675842997.94008
L,21,TENSTR,20,21,6.335239090234163,10549.0,2675842997.94008
L,22,TENSTR,21,22,3.1690035807636256,10553.7,2675842997.94008
L,23,TENSTR,22,23,3.1699666848437733,10556.9,2675842997.94008
L,24,TENSTR,23,24,6.342751980686317,10561.6,2675842997.94008
L,25,TENSTR,24,25,6.3466586249275085,10568.1,2675842997.94008
L,26,TENSTR,25,26,3.1747373253178184,10572.8,2675842997.94008
L,27,TENSTR,26,27,3.1757168420471262,10576.0,2675842997.94008
L,28,TENSTR,27,28,3.1767100005034,10579.3,2675842997.94008
L,29,TENSTR,28,29,3.1778902195816574,10583.3,2675842997.94008
L,30,TENSTR,29,30,6.358905065855608,10588.5,2675842997.94008
L,31,TENSTR,30,31,3.1808858576835943,10593.2,2675842997.94008
L,32,TENSTR,31,32,3.181882690676571,10596.6,2675842997.94008
L,33,TENSTR,32,33,6.366681692507588,10601.4,2675842997.94008
L,34,TENSTR,33,34,6.370723979418753,10608.1,2675842997.94008
L,35,TENSTR,34,35,3.1868193678075167,10613.0,2675842997.94008
L,36,TENSTR,35,36,3.187832646974835,10616.4,2675842997.94008
L,37,TENSTR,36,37,6.378629229503356,10621.3,2675842997.94008
L,38,TENSTR,37,38,6.382737655957874,10628.1,2675842997.94008
L,39,TENSTR,38,39,3.1928502964612204,10633.1,2675842997.94008
L,40,TENSTR,39,40,3.1938800388553226,10636.5,2675842997.94008
L,41,TENSTR,40,41,6.390771678872267,10641.5,2675842997.94008
L,42,TENSTR,41,42,6.40910684084311,10672.0,2675842997.94008
L,43,TENSTR,42,43,3.206086573542511,10677.2,2675842997.94008
L,44,TENSTR,43,44,3.2071516129274986,10680.7,2675842997.94008
L,45,TENSTR,44,45,6.417416996768881,10685.9,2675842997.94008
L,46,TENSTR,45,46,6.421733573745774,10693.1,2675842997.94008
L,47,TENSTR,46,47,3.2124241450906004,10698.3,2675842997.94008
L,48,TENSTR,47,48,3.2135057035967542,10701.9,2675842997.94008
L,49,TENSTR,48,49,6.4301729881087,10707.1,2675842997.94008
L,50,TENSTR,49,50,6.434555994681603,10714.4,2675842997.94008
L,51,TENSTR,50,51,3.2188595967447835,10719.7,2675842997.94008
L,52,TENSTR,51,52,3.219957693009347,10723.4,2675842997.94008
L,53,TENSTR,52,53,6.443124826862574,10728.7,2675842997.94008
L,54,TENSTR,53,54,3.2233053161249026,10734.5,2675842997.94008
L,55,TENSTR,54,55,3.22463150575049,10738.9,2675842997.94008
L,56,TENSTR,55,56,3.225756295157808,10742.6,2675842997.94008
L,57,TENSTR,56,57,3.2268717760910435,10746.4,2675842997.94008
L,58,TENSTR,57,58,6.456979022870732,10751.8,2675842997.94008
L,59,TENSTR,58,59,6.461498661022889,10759.3,2675842997.94008
L,60,TENSTR,59,60,3.232392753283402,10764.7,2675842997.94008
L,61,TENSTR,60,61,3.2335248092156936,10768.5,2675842997.94008
L,62,TENSTR,61,62,6.470333753871535,10774.0,2675842997.94008
L,63,TENSTR,62,63,6.47492004936531,10781.6,2675842997.94008
L,64,TENSTR,63,64,3.239127446156574,10787.2,2675842997.94008
L,65,TENSTR,64,65,3.2402760967169377,10791.0,2675842997.94008
L,66,TENSTR,65,66,6.483885065577658,10796.6,2675842997.94008
L,67,TENSTR,66,67,6.4885380967950645,10804.3,2675842997.94008
L,68,TENSTR,67,68,3.2463252650324854,10811.1,2675842997.94008
L,69,TENSTR,68,69,3.2474914110922435,10815.0,2675842997.94008
L,70,TENSTR,69,70,6.498367090110735,10820.7,2675842997.94008
L,71,TENSTR,70,71,6.503090476643491,10828.5,2675842997.94008
L,72,TENSTR,71,72,3.253262024280105,10834.2,2675842997.94008
L,73,TENSTR,72,73,3.254444806323159,10838.2,2675842997.94008
L,74,TENSTR,73,74,6.512322764249333,10843.9,2675842997.94008
L,75,TENSTR,74,75,6.517113049056268,10851.9,2675842997.94008
L,76,TENSTR,75,76,3.2602974042854775,10857.7,2675842997.94008
L,77,TENSTR,76,77,3.261496842409674,10861.7,2675842997.94008
L,78,TENSTR,77,78,6.526475791388151,10867.5,2675842997.94008
L,79,TENSTR,78,79,6.531333055935512,10875.6,2675842997.94008
L,80,TENSTR,79,80,3.267431534354253,10881.4,2675842997.94008
L,81,TENSTR,80,81,3.276759110576901,10912.5,2675842997.94008
L,82,TENSTR,81,82,6.557104247812712,10918.5,2675842997.94008
L,83,TENSTR,82,83,6.562103646154844,10926.8,2675842997.94008
L,84,TENSTR,83,84,3.2828680449220076,10932.8,2675842997.94008
L,85,TENSTR,84,85,3.2841195544495942,10937.0,2675842997.94008
L,86,TENSTR,85,86,6.5718743120465835,10943.1,2675842997.94008
L,87,TENSTR,86,87,6.576940952799681,10951.5,2675842997.94008
L,88,TENSTR,87,88,3.2903109360750245,10957.6,2675842997.94008
L,89,TENSTR,88,89,3.2915791908325507,10961.9,2675842997.94008
L,90,TENSTR,89,90,6.586842832269495,10968.0,2675842997.94008
L,91,TENSTR,90,91,6.591976802520074,10976.6,2675842997.94008
L,92,TENSTR,91,92,3.2978531366370256,10982.8,2675842997.94008
L,93,TENSTR,92,93,3.2991381583683776,10987.0,2675842997.94008
L,94,TENSTR,93,94,6.602807314463233,10994.6,2675842997.94008
L,95,TENSTR,94,95,6.608012223570179,11003.3,2675842997.94008
L,96,TENSTR,95,96,3.305896432083666,11009.5,2675842997.94008
L,97,TENSTR,96,97,3.3071991213706537,11013.9,2675842997.94008
L,98,TENSTR,97,98,6.618183983579875,11020.2,2675842997.94008
L,99,TENSTR,98,99,6.623456403856272,11029.0,2675842997.94008
L,100,TENSTR,99,100,3.3136428788551493,11035.3,2675842997.94008
L,101,TENSTR,100,101,3.3149623824298424,11039.7,2675842997.94008
L,102,TENSTR,101,102,6.633759971073444,11046.1,2675842997.94008
L,103,TENSTR,102,103,6.63909999376108,11055.0,2675842997.94008
L,104,TENSTR,103,104,3.321489070674208,11061.5,2675842997.94008
L,105,TENSTR,104,105,3.322825412660645,11065.9,2675842997.94008
L,106,TENSTR,105,106,3.334485606228001,11070.4,2675842997.94008
