mode,frequency_hz,family,span_parity,provisional_label,symmetry_correlation,mass_energy_x_fraction,mass_energy_y_fraction,mass_energy_z_fraction,signal_L,signal_V,signal_T,signal_X,main_span_signal_fraction,half_wave_order,template_mac,sequence_label,half_wave_fingerprint,label
1,0.036772576291419085,L,S,LS,0.9997292016372389,3.6123406141275063e-09,0.9999999679928733,2.8394786030628048e-08,0.011596681123277323,2.4640488842831645e-15,1.8847859332175795e-06,3.244454770726334e-16,1.0,1,0.9998659907206011,LS1,LS1,LS1
2,0.07144558330733963,V,A,VA,-0.9988620735515915,0.12246438262646588,5.815820460993857e-15,0.8775356173735284,4.153792047142458e-10,0.010758179705147997,5.07122157688087e-09,0.004033217886543113,0.9999999999999989,2,0.9988205672075002,VA1,VA1,VA1
3,0.0714909156306459,T,A,TA,-0.9988619584062609,0.11964933725325416,0.02318053302880228,0.8571701297179436,0.0008688070215249412,5.131093558542395e-09,0.010632602714961454,1.9236738867283646e-09,0.9999999999999989,2,0.9988302820593167,TA1,TA1,TA1
4,0.07350165370744095,L,A,LA,-0.9988844856421545,7.4614664811700845e-06,0.9999370419415028,5.549659201598115e-05,0.011482943761910808,9.6810491057507e-13,8.560301563285273e-05,3.630396730533696e-13,1.0,2,0.9994851244051864,LA1,LA1,LA1
5,0.10098144674169451,T,S,TS,0.9982405720773414,0.03329115698369237,0.02482427644578633,0.9418845665705212,0.0009768626189511507,9.708604240449739e-10,0.011276310814943282,1.8064760905232184e-10,0.9999999999980612,3,0.6724706388015251,TS1,TS1,TS1
6,0.10117682852522157,V,S,VS,0.9982167909084754,0.03494628352909358,2.698396272926078e-15,0.9650537164709037,8.307367408437188e-11,0.011412128594886464,9.59306944664158e-10,0.0021238075035827646,0.9999999999982184,3,0.68295182104885,VS1,VS1,VS1
7,0.11011170292657861,L,S,LS,0.9974833810861371,5.910734593768061e-07,0.9999828299607281,1.6578965812568314e-05,0.01146121476751106,9.524548882135822e-14,4.731716939304168e-05,1.7205904999728287e-14,0.9999999999999999,3,0.9988867239630693,LS2,LS2,LS2
8,0.11618155992971288,EDGE,S,EDGES,0.974918226966172,8.518828265566444e-06,0.9999175420333389,7.393913839557656e-05,4.202571754262466e-16,1.7035304243419918e-16,2.1824330278517883e-16,3.156656939812923e-17,2.7626056635380858e-14,0,0.0,EDGES1,EDGES1,EDGES1
9,0.12481523724660495,EDGE,S,EDGES,0.9639080586916585,3.892577382030108e-06,0.9999751020892806,2.100533333734556e-05,1.6070904460463376e-16,1.0729428522454598e-16,1.1860968683834003e-16,3.3181577217976566e-17,1.0650596580816877e-14,0,0.0,EDGES2,EDGES2,EDGES2
10,0.1352049332996467,EDGE,A,EDGEA,-0.09766069621721118,0.0992608862075732,0.024940041977968754,0.875799071814458,1.5639199249596007e-16,2.4743155492680685e-16,3.0787103988438264e-16,4.9067537980597774e-17,2.157389005447674e-14,0,0.0,EDGEA1,EDGEA1,EDGEA1
11,0.13538746575412464,EDGE,A,EDGEA,-0.015197940288347648,0.10144727513656504,1.444210773408355e-14,0.8985527248634204,1.4669459587141856e-16,2.777905964810822e-16,1.0007455670451683e-16,4.967628504185834e-17,1.9215647720220032e-14,0,0.0,EDGEA2,EDGEA2,EDGEA2
12,0.14381361280454416,T,S,TS,0.9984529134796211,0.034456176709617536,0.03366795356532257,0.93187586972506,0.0011641420506295131,8.14345595404049e-11,0.011071115208613161,1.5332566780930642e-11,0.9999999999764964,1,0.6540886995628511,TS2,TS0_UNLISTED,TS2
13,0.14533388357383048,V,S,VS,0.9981021181648404,0.034437851843301164,2.1871073235835832e-14,0.965562148156677,8.50795605686612e-12,0.011274325712009186,8.001335189017726e-11,0.002122398513161443,0.9999999999766419,1,0.6622447666137837,VS2,VS0_UNLISTED,VS2
14,0.14642501178243708,T,A,TA,-0.9953476167508818,0.05625784675894777,0.11715513550085528,0.8265870177401969,0.0026038097099370344,5.9274100193099084e-09,0.010488023466115758,1.5205148373375333e-09,0.9999999999999976,4,0.9948372439602218,TA2,TA2,TA2
15,0.14644499913492678,V,A,VA,-0.9950167692116465,0.06365723144312481,5.052953649182335e-14,0.9363427685568247,1.672663085259458e-09,0.0111628413707554,5.481254413540511e-09,0.0028634919953479223,0.9999999999999986,4,0.9946416923621767,VA2,VA2,VA2
16,0.14657871249467574,L,A,LA,-0.9956565950314592,0.005904492712456232,0.907056717195107,0.08703879009243674,0.01124030284309381,2.88121372825206e-10,0.003403551548528469,7.390352142417626e-11,1.0,4,0.9980903718908463,LA2,LA2,LA2
17,0.16479928527282425,EDGE,S,EDGES,0.5114354244214772,0.1595192199396639,0.030781799102504788,0.8096989809578312,1.9405068312776717e-16,3.634186825027609e-16,8.09798589702958e-17,7.987534461855042e-17,2.7526939852611255e-06,0,0.0,EDGES3,EDGES3,EDGES3
18,0.16572633708871512,EDGE,S,EDGES,0.9426418138975979,0.1645964550879082,4.3906491843934535e-14,0.8354035449120478,1.2818370379319168e-16,2.3722307597721493e-16,6.29306566445876e-17,4.1401653482528775e-17,1.7235118371552956e-14,0,0.0,EDGES4,EDGES4,EDGES4
19,0.16738536027055298,EDGE,S,EDGES,0.8120017029621737,6.895823134751824e-06,0.9998913239763282,0.00010178020053699775,2.0217950330522975e-16,1.362908806961127e-16,4.6343890859607073e-17,3.533196236606917e-17,1.3013018844954086e-14,0,0.0,EDGES5,EDGES5,EDGES5
20,0.18313183132500566,L,S,LS,0.9929549182834186,1.241307062375953e-05,0.9997949402841589,0.0001926466452173879,0.011378315093815511,3.150054874745189e-13,0.0001585267980411378,7.827987653452842e-14,1.0000000000000002,5,0.9969025849731105,LS3,LS3,LS3
21,0.18704713246363722,T,S,TS,0.9930223902610673,0.05772538330916047,0.02691688300704189,0.9153577336837976,0.0011956527228169384,3.6631442198458676e-10,0.01093648179058498,9.130508991560691e-11,0.9999999999947107,5,0.945564617792569,TS3,TS2,TS3
22,0.18731363514184973,V,S,VS,0.9930679729857559,0.05953248160778424,3.280645457765146e-14,0.9404675183921829,3.9291774603457716e-11,0.011085552117534397,3.6140444534083353e-10,0.0027629629354572406,0.9999999999943068,5,0.937702952689455,VS3,VS2,VS3
23,0.19644561057996796,EDGE,S,EDGES,0.9495023224788333,0.026318088670672278,0.03251044017857311,0.9411714711507546,1.0215683068141739e-16,3.617713982307354e-16,5.451867776758619e-17,8.461424792393017e-17,2.7963534223870253e-06,0,0.0,EDGES6,EDGES6,EDGES6
24,0.1973690722007832,EDGE,S,EDGES,0.9696912218557676,0.027819250434874744,6.274569816286638e-14,0.9721807495650625,1.6421791715365754e-16,8.073858051079537e-16,8.668490338853898e-17,2.0082818666177763e-16,5.304098880093397e-14,0,0.0,EDGES7,EDGES7,EDGES7
25,0.220017730212622,L,A,LA,-0.9900408949792434,0.0001791198548995283,0.9966817644994217,0.003139115645678907,0.011362092621439024,5.541806027214025e-12,0.0006444772253471872,1.3108163631574183e-12,1.0,6,0.9956838057870883,LA3,LA3,LA3
26,0.22084934716164534,T,A,TA,-0.9898664559928539,0.053070357672031755,0.02816827011314962,0.9187613722148186,0.0016737431157206547,3.056189165886597e-09,0.011028364392946403,7.235624212786052e-10,0.9999999999999944,6,0.9916897934864325,TA3,TA3,TA3
27,0.22087646033677208,V,A,VA,-0.9898668504982779,0.05461251023709967,5.134911218337248e-14,0.945387489762849,4.5173044820070106e-10,0.011187040116704535,3.0131556874418013e-09,0.0026485620768297055,0.9999999999999944,6,0.9916611379639134,VA3,VA3,VA3
28,0.23100946292905875,EDGE,A,EDGEA,-0.3127273000540808,0.07169385043750752,0.22628686843748488,0.7020192811250077,1.6120124844697652e-16,4.785833405700775e-16,1.6073902593168393e-16,9.490348041502675e-17,6.604690655286816e-07,0,0.0,EDGEA3,EDGEA3,EDGEA3
