x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,1.963e-11,8.257e-13
43.9,0.0000,0.0000,1.054e-22,5.653e-24
46.4,0.6227,0.4376,1.408e-04,8.813e-06
48.8,0.0000,0.0000,7.195e-23,1.202e-23
49.9,3.3775,1.9739,2.392e-04,4.316e-05
50.8,6.9420,4.8354,8.748e-04,1.028e-04
57.5,43.1732,28.6787,5.713e-03,6.033e-04
65.9,106.0439,57.0880,9.139e-03,1.227e-03
71.9,160.2502,77.0223,1.041e-02,1.672e-03
77.9,220.1518,96.6738,1.128e-02,2.111e-03
86.4,312.4415,125.0217,1.173e-02,2.743e-03
89.9,352.1584,134.0898,1.248e-02,2.940e-03
92.2,378.3709,139.8509,1.282e-02,3.065e-03
100.8,481.0951,167.7829,1.185e-02,3.682e-03
106.6,551.3453,185.7872,1.124e-02,4.076e-03
113.9,641.7870,208.4569,1.037e-02,4.566e-03
121.0,729.3615,229.7335,9.578e-03,5.021e-03
126.7,800.5918,246.7416,8.995e-03,5.381e-03
135.3,906.4821,271.2254,8.379e-03,5.892e-03
141.1,976.0323,287.7791,7.981e-03,6.234e-03
146.9,1045.7365,300.7861,8.274e-03,6.495e-03
155.4,1144.4242,318.8431,8.216e-03,6.848e-03
161.1,1209.2594,333.6759,7.687e-03,7.139e-03
167.9,1283.6846,349.5125,7.576e-03,7.443e-03
175.4,1362.3106,366.4659,7.685e-03,7.762e-03
181.1,1419.1390,378.8169,7.897e-03,7.991e-03
189.7,1498.5203,396.2448,8.279e-03,8.306e-03
195.4,1546.7710,407.8981,8.551e-03,8.514e-03
203.9,1610.3901,420.8423,8.743e-03,8.729e-03
204.1,1611.3923,421.0574,8.744e-03,8.732e-03
209.9,1650.3857,429.1013,8.764e-03,8.840e-03
215.9,1693.1587,437.7498,8.851e-03,8.975e-03
223.8,1748.5888,448.3129,9.011e-03,9.131e-03
230.9,1798.8410,457.2649,9.169e-03,9.262e-03
238.0,1847.6157,465.7370,9.316e-03,9.384e-03
245.9,1901.3781,474.6898,9.460e-03,9.513e-03
251.9,1940.4226,481.1353,9.555e-03,9.606e-03
257.9,1978.9188,487.5310,9.657e-03,9.700e-03
260.9,1997.1996,489.9578,9.675e-03,9.733e-03
263.9,2015.6281,492.2320,9.701e-03,9.764e-03
269.9,2050.7354,497.9127,9.851e-03,9.849e-03
277.6,2093.7702,504.6183,1.007e-02,9.951e-03
284.9,2132.4120,510.7949,1.029e-02,1.005e-02
291.6,2165.8504,516.1846,1.048e-02,1.014e-02
299.9,2203.6812,522.4618,1.068e-02,1.024e-02
