x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,1.873e-11,7.909e-13
43.9,0.0000,0.0000,1.002e-22,5.838e-24
46.4,0.5797,0.4472,1.312e-04,1.028e-05
48.8,0.0000,0.0000,7.544e-23,1.227e-23
49.9,3.1418,2.0554,2.250e-04,5.014e-05
50.8,6.4579,5.0074,8.176e-04,1.195e-04
57.5,40.1618,29.6450,5.335e-03,7.016e-04
65.9,98.6424,59.2660,8.551e-03,1.426e-03
71.9,149.0586,80.1337,9.766e-03,1.943e-03
77.9,204.7666,100.7106,1.061e-02,2.453e-03
86.4,290.5827,130.4055,1.110e-02,3.187e-03
89.9,327.5084,139.8629,1.180e-02,3.415e-03
92.2,351.8769,145.8762,1.213e-02,3.560e-03
100.8,447.3614,175.1380,1.133e-02,4.277e-03
106.6,512.6463,193.9679,1.084e-02,4.733e-03
113.9,596.6763,217.6488,1.016e-02,5.302e-03
121.0,678.0195,239.8436,9.576e-03,5.829e-03
126.7,744.1634,257.5629,9.174e-03,6.246e-03
135.3,842.4580,283.0338,8.819e-03,6.837e-03
141.1,906.9948,300.2305,8.620e-03,7.232e-03
146.9,971.6527,313.7136,8.948e-03,7.534e-03
155.4,1063.1563,332.4081,9.002e-03,7.944e-03
161.1,1123.2444,347.7606,8.682e-03,8.279e-03
167.9,1192.1899,364.1148,8.704e-03,8.629e-03
175.4,1264.9875,381.5903,8.906e-03,8.996e-03
181.1,1317.5748,394.2957,9.156e-03,9.258e-03
189.7,1390.9830,412.1868,9.571e-03,9.619e-03
195.4,1435.5682,424.1177,9.867e-03,9.856e-03
203.9,1494.2964,437.3133,1.012e-02,1.010e-02
204.1,1495.2207,437.5298,1.012e-02,1.010e-02
209.9,1531.1682,445.6322,1.016e-02,1.022e-02
215.9,1570.5650,454.3688,1.027e-02,1.037e-02
223.8,1621.5699,465.0069,1.044e-02,1.054e-02
230.9,1667.7761,474.0077,1.060e-02,1.069e-02
238.0,1712.5916,482.5111,1.076e-02,1.082e-02
245.9,1761.9656,491.4845,1.092e-02,1.096e-02
251.9,1797.8041,497.9390,1.103e-02,1.106e-02
257.9,1833.1319,504.3406,1.114e-02,1.116e-02
260.9,1849.9014,506.7636,1.117e-02,1.119e-02
263.9,1866.8083,509.0392,1.120e-02,1.122e-02
269.9,1899.0062,514.7467,1.132e-02,1.131e-02
277.6,1938.4700,521.4809,1.150e-02,1.142e-02
284.9,1973.8989,527.6875,1.169e-02,1.152e-02
291.6,2004.5568,533.1053,1.186e-02,1.161e-02
299.9,2039.2416,539.4199,1.204e-02,1.172e-02
305.7,2061.8715,543.5882,1.215e-02,1.179e-02
311.9,2084.1424,548.0911,1.227e-02,1.188e-02
317.9,2104.0705,551.1978,1.227e-02,1.193e-02
319.8,2109.7326,551.9983,1.227e-02,1.195e-02
325.4,2126.2911,555.3011,1.239e-02,1.201e-02
333.8,2147.9467,559.7141,1.253e-02,1.210e-02
339.4,2160.3689,562.3817,1.260e-02,1.215e-02
347.8,2175.7593,565.9168,1.264e-02,1.222e-02
353.9,2184.5894,568.1361,1.262e-02,1.227e-02
359.9,2191.0730,569.9823,1.257e-02,1.231e-02
367.3,2196.0639,572.0138,1.247e-02,1.235e-02
374.9,2197.5327,572.6355,1.240e-02,1.236e-02
375.1,2197.5280,572.6056,1.240e-02,1.236e-02
381.2,2195.7173,571.3715,1.247e-02,1.233e-02
389.6,2189.2050,568.8561,1.266e-02,1.227e-02
395.1,2182.4000,566.8886,1.274e-02,1.222e-02
401.9,2171.5535,564.1530,1.280e-02,1.216e-02
409.0,2157.5257,560.9146,1.279e-02,1.208e-02
414.5,2144.5973,558.1267,1.274e-02,1.202e-02
422.8,2122.1378,553.5793,1.261e-02,1.192e-02
428.9,2103.2458,549.8295,1.245e-02,1.185e-02
431.9,2093.2691,548.0897,1.246e-02,1.181e-02
436.6,2076.9039,545.1359,1.249e-02,1.175e-02
443.9,2049.0285,539.7097,1.229e-02,1.165e-02
449.9,2024.2647,535.0826,1.214e-02,1.156e-02
455.9,1997.7927,530.2724,1.195e-02,1.147e-02
464.1,1958.9905,523.3492,1.168e-02,1.134e-02
469.6,1931.3331,518.5018,1.148e-02,1.126e-02
477.8,1887.5571,510.9879,1.120e-02,1.113e-02
483.3,1856.8227,505.5504,1.100e-02,1.104e-02
488.9,1824.3714,500.5031,1.093e-02,1.096e-02
497.0,1775.2856,492.4358,1.087e-02,1.083e-02
502.5,1740.8801,486.0581,1.071e-02,1.073e-02
509.9,1692.7215,477.3011,1.054e-02,1.058e-02
516.1,1651.2555,469.5084,1.039e-02,1.046e-02
521.9,1612.2388,462.0174,1.024e-02,1.034e-02
529.8,1558.5477,451.2439,1.005e-02,1.016e-02
536.9,1509.8692,440.9352,9.901e-03,9.984e-03
543.4,1466.5735,430.8430,9.784e-03,9.809e-03
545.9,1449.6857,427.2994,9.776e-03,9.751e-03
546.2,1448.4139,426.9504,9.776e-03,9.746e-03
551.5,1411.9801,417.1881,9.640e-03,9.580e-03
556.9,1369.1195,406.0880,9.420e-03,9.357e-03
563.9,1309.9404,391.3987,9.180e-03,9.066e-03
570.5,1248.6635,376.8704,9.049e-03,8.770e-03
575.9,1195.5266,364.3157,9.082e-03,8.510e-03
583.9,1112.1985,344.9482,9.475e-03,8.102e-03
590.9,1037.3168,327.5894,1.012e-02,7.729e-03
597.4,964.5821,309.9851,1.134e-02,7.342e-03
602.9,902.1939,297.2859,1.139e-02,7.064e-03
608.9,832.8040,282.9547,1.120e-02,6.745e-03
616.2,746.8343,261.2846,1.255e-02,6.246e-03
623.9,655.2987,238.6605,1.382e-02,5.718e-03
629.6,587.1057,221.2582,1.496e-02,5.306e-03
635.9,512.3237,201.9062,1.625e-02,4.842e-03
643.0,428.9929,179.6237,1.780e-02,4.299e-03
648.4,367.3751,162.8503,1.887e-02,3.885e-03
656.4,278.6757,137.0915,2.088e-02,3.230e-03
659.9,241.1141,127.3737,2.043e-02,2.994e-03
662.9,210.4854,118.4634,1.898e-02,2.789e-03
669.7,144.9156,93.6521,1.621e-02,2.194e-03
677.7,78.3935,64.8990,1.260e-02,1.506e-03
683.9,37.2206,42.0622,9.065e-03,9.641e-04
690.9,7.3244,14.9484,3.419e-03,3.397e-04
695.3,0.0000,0.0000,2.564e-22,2.485e-23
696.4,0.1290,1.6367,4.707e-04,3.517e-05
700.3,0.1145,1.3686,3.950e-04,2.959e-05
704.9,0.1669,0.7948,2.885e-04,1.781e-05
705.5,0.1553,0.7588,3.025e-04,1.730e-05
711.6,0.0000,0.0000,1.469e-22,1.829e-23
716.9,0.7762,4.4960,3.615e-04,1.346e-04
722.2,0.0000,0.0000,7.214e-16,6.011e-18
725.0,9.0823,17.3228,3.620e-03,5.953e-04
733.5,99.1515,97.1591,2.541e-02,3.348e-03
742.0,260.6080,174.8518,4.108e-02,5.999e-03
750.5,472.5763,252.6741,5.562e-02,8.631e-03
759.0,720.4115,329.7998,6.860e-02,1.121e-02
767.5,994.2845,406.7505,8.097e-02,1.377e-02
768.9,1040.7270,416.4745,8.277e-02,1.409e-02
774.9,1245.2330,458.0067,8.233e-02,1.542e-02
783.9,1563.4328,537.2519,7.365e-02,1.787e-02
792.9,1892.2667,613.1117,6.686e-02,2.016e-02
801.7,2216.5294,687.3415,6.014e-02,2.236e-02
810.2,2537.6097,757.7341,5.454e-02,2.442e-02
818.8,2857.9175,830.3449,4.857e-02,2.650e-02
825.9,3124.1283,876.8869,4.783e-02,2.787e-02
833.1,3388.4724,923.2406,4.677e-02,2.922e-02
841.7,3703.0253,993.0662,4.174e-02,3.116e-02
850.3,4007.7670,1057.2458,3.904e-02,3.294e-02
858.9,4304.8007,1120.4070,3.742e-02,3.470e-02
867.5,4583.5907,1180.7363,3.711e-02,3.636e-02
876.1,4845.5372,1239.9813,3.808e-02,3.802e-02
882.7,5023.4359,1279.1833,3.912e-02,3.901e-02
882.9,5026.7397,1279.9627,3.914e-02,3.903e-02
884.7,5074.9306,1288.7312,3.937e-02,3.925e-02
893.4,5317.1301,1340.1703,4.057e-02,4.057e-02
902.0,5579.4784,1390.0223,4.164e-02,4.183e-02
910.7,5855.2104,1438.7525,4.263e-02,4.304e-02
919.3,6140.6703,1486.1609,4.364e-02,4.421e-02
928.0,6432.1972,1531.9084,4.478e-02,4.531e-02
936.9,6735.8732,1578.2974,4.610e-02,4.642e-02
939.9,6838.4866,1590.6072,4.663e-02,4.671e-02
945.4,7025.9706,1613.3283,4.669e-02,4.722e-02
954.1,7324.6286,1657.3521,4.589e-02,4.816e-02
962.8,7624.1322,1697.9938,4.580e-02,4.902e-02
971.5,7921.9457,1737.6136,4.614e-02,4.984e-02
980.2,8218.9910,1775.1011,4.691e-02,5.059e-02
988.9,8512.2049,1812.5857,4.822e-02,5.133e-02
996.9,8778.8637,1839.5283,4.925e-02,5.184e-02
1003.5,8993.0545,1860.6816,4.951e-02,5.220e-02
1012.2,9275.9074,1894.5739,4.992e-02,5.277e-02
1020.9,9549.2089,1925.4251,5.058e-02,5.326e-02
1029.7,9815.0139,1955.1769,5.145e-02,5.372e-02
1038.5,10065.1142,1983.2462,5.248e-02,5.413e-02
