x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,2.444e-10,1.018e-11
43.9,0.0000,0.0000,8.625e-23,4.222e-24
46.4,0.5305,0.3699,1.164e-04,8.092e-06
48.8,0.0000,0.0000,1.374e-22,1.179e-23
49.9,2.8743,1.7285,1.891e-04,3.922e-05
50.8,5.9645,4.2165,7.099e-04,9.335e-05
57.5,37.0026,24.9518,4.664e-03,5.477e-04
65.9,90.8807,49.8268,7.371e-03,1.114e-03
71.9,137.2938,67.3532,8.308e-03,1.519e-03
77.9,188.6154,84.6507,8.911e-03,1.917e-03
86.4,267.5868,109.6482,9.103e-03,2.493e-03
89.9,301.6080,117.5971,9.692e-03,2.671e-03
92.2,323.9769,122.6514,9.962e-03,2.784e-03
100.8,411.8901,147.3316,9.009e-03,3.347e-03
106.6,471.8583,163.2355,8.435e-03,3.705e-03
113.9,549.1397,183.2669,7.684e-03,4.152e-03
121.0,623.7138,202.0689,7.085e-03,4.567e-03
126.7,684.4523,217.1022,6.727e-03,4.895e-03
135.3,774.2640,238.7413,6.523e-03,5.362e-03
141.1,833.3045,253.3879,6.562e-03,5.675e-03
146.9,891.9878,264.8454,6.821e-03,5.913e-03
155.4,974.9439,280.8599,6.871e-03,6.236e-03
161.1,1028.7645,294.1100,6.828e-03,6.506e-03
167.9,1090.5327,308.2401,6.979e-03,6.787e-03
175.4,1154.3076,323.3949,7.245e-03,7.084e-03
181.1,1200.1431,334.4215,7.456e-03,7.297e-03
189.7,1261.4462,350.1538,7.737e-03,7.593e-03
195.4,1297.7692,360.2229,7.856e-03,7.785e-03
203.2,1337.6133,372.7995,7.992e-03,7.989e-03
203.9,1340.7209,373.5982,7.999e-03,7.998e-03
204.5,1343.4258,374.1980,8.005e-03,8.003e-03
204.6,1343.6683,374.3336,8.005e-03,8.004e-03
209.9,1367.5824,381.1591,7.973e-03,8.093e-03
215.9,1397.8288,388.8917,8.012e-03,8.222e-03
223.8,1439.0152,398.4167,8.146e-03,8.370e-03
230.9,1477.5612,406.4475,8.290e-03,8.494e-03
238.0,1516.0247,414.0308,8.433e-03,8.609e-03
245.9,1559.1085,422.0194,8.589e-03,8.730e-03
251.9,1590.9533,427.7520,8.712e-03,8.817e-03
257.9,1622.5101,433.4381,8.851e-03,8.905e-03
260.9,1637.6885,435.5486,8.920e-03,8.933e-03
263.9,1652.9166,437.5115,8.934e-03,8.960e-03
269.9,1682.2619,442.5063,8.913e-03,9.038e-03
277.6,1718.3884,448.3675,8.980e-03,9.131e-03
284.9,1751.1070,453.7507,9.110e-03,9.218e-03
291.6,1779.5448,458.4317,9.261e-03,9.296e-03
299.9,1811.9524,463.8676,9.469e-03,9.389e-03
305.7,1833.1778,467.4381,9.609e-03,9.451e-03
311.9,1854.2033,471.3059,9.801e-03,9.521e-03
317.9,1873.0713,473.8913,9.804e-03,9.564e-03
319.8,1878.4802,474.5446,9.784e-03,9.574e-03
325.4,1894.2446,477.3415,9.873e-03,9.627e-03
333.8,1915.0573,481.0624,1.000e-02,9.700e-03
339.4,1927.0781,483.3112,1.007e-02,9.744e-03
347.8,1942.1415,486.2899,1.013e-02,9.804e-03
353.9,1950.9018,488.1563,1.012e-02,9.843e-03
359.9,1957.4618,489.7315,1.009e-02,9.875e-03
367.3,1962.7247,491.3620,9.980e-03,9.909e-03
374.2,1964.6514,492.3305,9.939e-03,9.928e-03
374.9,1964.6829,492.3244,9.938e-03,9.928e-03
375.6,1964.6800,492.2551,9.936e-03,9.927e-03
381.2,1963.4805,491.2811,1.003e-02,9.905e-03
389.6,1957.9168,489.1324,1.025e-02,9.855e-03
395.1,1951.8967,487.4569,1.035e-02,9.817e-03
401.9,1942.0988,485.1223,1.042e-02,9.766e-03
409.0,1929.3776,482.3544,1.042e-02,9.705e-03
414.5,1917.5545,479.9689,1.037e-02,9.655e-03
422.8,1897.0507,476.0642,1.024e-02,9.574e-03
428.9,1879.7134,472.8519,1.008e-02,9.508e-03
431.9,1870.6302,471.3073,1.011e-02,9.479e-03
436.6,1855.6161,468.6898,1.013e-02,9.431e-03
443.9,1830.1690,464.0103,9.895e-03,9.342e-03
449.9,1807.4780,459.9922,9.715e-03,9.268e-03
455.9,1783.3749,455.8119,9.506e-03,9.192e-03
464.1,1747.9400,449.7777,9.216e-03,9.086e-03
469.6,1722.8658,445.5439,9.023e-03,9.014e-03
477.8,1683.0481,438.9581,8.780e-03,8.904e-03
483.3,1655.3741,434.2060,8.629e-03,8.826e-03
488.9,1626.0139,429.6967,8.585e-03,8.756e-03
497.0,1582.0419,422.4407,8.502e-03,8.644e-03
502.5,1551.1241,416.7759,8.366e-03,8.554e-03
509.9,1508.6025,408.9735,8.234e-03,8.431e-03
516.1,1471.9062,402.0389,8.119e-03,8.322e-03
521.9,1438.2458,395.3723,8.020e-03,8.216e-03
529.8,1392.0038,385.8023,7.896e-03,8.063e-03
536.9,1351.6520,376.6204,7.806e-03,7.914e-03
543.4,1315.8369,367.7752,7.762e-03,7.767e-03
545.2,1306.9211,365.2865,7.746e-03,7.734e-03
