x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,1.642e-10,6.844e-12
43.9,0.0000,0.0000,5.914e-23,2.863e-24
46.4,0.3578,0.2644,7.862e-05,6.195e-06
48.8,0.0000,0.0000,9.876e-23,8.107e-24
49.9,1.9377,1.2474,1.285e-04,3.005e-05
50.8,4.0207,3.0333,4.802e-04,7.154e-05
57.5,24.9444,17.9329,3.153e-03,4.199e-04
65.9,61.2633,35.8983,4.990e-03,8.538e-04
71.9,92.5486,48.5844,5.635e-03,1.164e-03
77.9,127.1404,61.1068,6.056e-03,1.469e-03
86.4,180.3649,79.2080,6.215e-03,1.910e-03
89.9,203.2922,84.9516,6.619e-03,2.047e-03
92.2,218.3666,88.6057,6.804e-03,2.133e-03
100.8,277.6056,106.4816,6.206e-03,2.564e-03
106.6,318.0097,117.9919,5.855e-03,2.838e-03
113.9,370.0719,132.4821,5.406e-03,3.180e-03
121.0,420.3030,146.0752,5.067e-03,3.498e-03
126.7,461.2083,156.9384,4.881e-03,3.749e-03
135.3,521.6827,172.5668,4.820e-03,4.106e-03
141.1,561.4287,183.1396,4.893e-03,4.345e-03
146.9,600.9278,191.4045,5.088e-03,4.527e-03
155.4,656.7510,202.9490,5.160e-03,4.775e-03
161.1,692.9600,212.4992,5.170e-03,4.980e-03
167.9,734.5050,222.6758,5.301e-03,5.194e-03
175.4,777.3883,233.5833,5.507e-03,5.420e-03
181.1,808.1989,241.5138,5.668e-03,5.582e-03
189.7,849.3926,252.8182,5.886e-03,5.807e-03
195.4,873.7885,260.0484,5.993e-03,5.952e-03
203.2,900.5336,269.0507,6.108e-03,6.106e-03
203.9,902.6185,269.6207,6.114e-03,6.113e-03
204.5,904.4330,270.0473,6.118e-03,6.117e-03
204.6,904.5956,270.1435,6.119e-03,6.117e-03
209.9,920.6306,275.0052,6.109e-03,6.184e-03
215.9,940.8991,280.5296,6.150e-03,6.279e-03
223.8,968.4816,287.3277,6.251e-03,6.388e-03
