x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,1.650e-10,6.875e-12
43.9,0.0000,0.0000,5.940e-23,2.876e-24
46.4,0.3594,0.2654,7.898e-05,6.214e-06
48.8,0.0000,0.0000,9.914e-23,8.143e-24
49.9,1.9466,1.2521,1.291e-04,3.014e-05
50.8,4.0393,3.0450,4.824e-04,7.177e-05
57.5,25.0593,18.0019,3.167e-03,4.212e-04
65.9,61.5457,36.0355,5.013e-03,8.565e-04
71.9,92.9752,48.7696,5.660e-03,1.167e-03
77.9,127.7266,61.3392,6.084e-03,1.474e-03
86.4,181.1965,79.5085,6.243e-03,1.916e-03
89.9,204.2297,85.2740,6.648e-03,2.053e-03
92.2,219.3736,88.9419,6.835e-03,2.140e-03
100.8,278.8859,106.8851,6.233e-03,2.572e-03
106.6,319.4766,118.4388,5.880e-03,2.847e-03
113.9,371.7791,132.9837,5.428e-03,3.190e-03
121.0,422.2423,146.6283,5.086e-03,3.508e-03
126.7,463.3365,157.5326,4.900e-03,3.760e-03
135.3,524.0905,173.2202,4.837e-03,4.118e-03
141.1,564.0203,183.8332,4.909e-03,4.358e-03
146.9,603.7021,192.1295,5.105e-03,4.541e-03
155.4,659.7837,203.7180,5.177e-03,4.789e-03
161.1,696.1604,213.3046,5.187e-03,4.995e-03
167.9,737.8980,223.5201,5.318e-03,5.210e-03
175.4,780.9802,234.4694,5.524e-03,5.437e-03
181.1,811.9338,242.4302,5.686e-03,5.599e-03
189.7,853.3188,253.7780,5.904e-03,5.824e-03
195.4,877.8282,261.0360,6.011e-03,5.970e-03
203.2,904.6979,270.0732,6.127e-03,6.125e-03
203.9,906.7924,270.6455,6.133e-03,6.132e-03
204.5,908.6154,271.0738,6.137e-03,6.135e-03
204.6,908.7787,271.1704,6.137e-03,6.136e-03
209.9,924.8886,276.0512,6.128e-03,6.203e-03
215.9,945.2519,281.5971,6.169e-03,6.299e-03
223.8,972.9635,288.4217,6.270e-03,6.408e-03
230.9,998.8870,294.1748,6.376e-03,6.500e-03
238.0,1024.7452,299.6057,6.481e-03,6.585e-03
245.9,1053.7021,305.3255,6.595e-03,6.673e-03
251.9,1075.1000,309.4291,6.685e-03,6.737e-03
257.9,1096.3022,313.4990,6.786e-03,6.800e-03
260.9,1106.4986,315.0078,6.834e-03,6.822e-03
263.9,1116.7287,316.4150,6.844e-03,6.841e-03
269.9,1136.4406,320.0053,6.835e-03,6.897e-03
277.6,1160.7068,324.2169,6.882e-03,6.964e-03
284.9,1182.6836,328.0855,6.968e-03,7.027e-03
291.6,1201.7859,331.4491,7.067e-03,7.083e-03
299.9,1223.5569,335.3550,7.204e-03,7.149e-03
305.7,1237.8178,337.9201,7.298e-03,7.194e-03
311.9,1251.9466,340.6982,7.428e-03,7.245e-03
317.9,1264.6279,342.5516,7.438e-03,7.276e-03
319.8,1268.2640,343.0212,7.426e-03,7.283e-03
325.4,1278.8623,345.0390,7.478e-03,7.321e-03
333.8,1292.8594,347.7219,7.554e-03,7.373e-03
339.4,1300.9465,349.3423,7.598e-03,7.405e-03
347.8,1311.0855,351.4861,7.635e-03,7.449e-03
353.9,1316.9850,352.8270,7.636e-03,7.476e-03
359.9,1321.4053,353.9567,7.619e-03,7.500e-03
367.3,1324.9537,355.1194,7.564e-03,7.524e-03
374.2,1326.2544,355.8094,7.545e-03,7.538e-03
374.9,1326.2757,355.8050,7.545e-03,7.538e-03
375.6,1326.2739,355.7552,7.543e-03,7.537e-03
381.2,1325.4656,355.0592,7.594e-03,7.521e-03
389.6,1321.7166,353.5206,7.722e-03,7.484e-03
395.1,1317.6615,352.3163,7.776e-03,7.456e-03
401.9,1311.0647,350.6359,7.812e-03,7.418e-03
409.0,1302.5031,348.6412,7.808e-03,7.374e-03
414.5,1294.5491,346.9208,7.773e-03,7.337e-03
422.8,1280.7592,344.1039,7.691e-03,7.278e-03
428.9,1269.1028,341.7846,7.592e-03,7.230e-03
431.9,1262.9966,340.6730,7.607e-03,7.209e-03
436.6,1252.9047,338.7938,7.616e-03,7.173e-03
443.9,1235.8029,335.4299,7.449e-03,7.109e-03
449.9,1220.5556,332.5409,7.325e-03,7.054e-03
455.9,1204.3607,329.5347,7.186e-03,7.000e-03
464.1,1180.5539,325.1949,6.994e-03,6.923e-03
469.6,1163.7084,322.1495,6.868e-03,6.870e-03
477.8,1136.9574,317.4130,6.710e-03,6.790e-03
483.3,1118.3640,313.9928,6.612e-03,6.733e-03
488.9,1098.6357,310.7552,6.579e-03,6.682e-03
497.0,1069.0859,305.5574,6.507e-03,6.599e-03
502.5,1048.3049,301.4961,6.407e-03,6.533e-03
509.9,1019.7194,295.9003,6.306e-03,6.442e-03
516.1,995.0432,290.9246,6.220e-03,6.362e-03
521.9,972.4030,286.1393,6.146e-03,6.283e-03
529.8,941.2881,279.2666,6.053e-03,6.169e-03
536.9,914.1229,272.6698,5.983e-03,6.058e-03
543.4,889.9963,266.3099,5.943e-03,5.948e-03
545.2,883.9874,264.5264,5.931e-03,5.923e-03
545.9,881.7007,263.9811,5.925e-03,5.917e-03
546.6,879.4042,263.3902,5.919e-03,5.911e-03
551.5,861.1473,257.6315,5.870e-03,5.821e-03
556.9,837.0525,250.6849,5.759e-03,5.682e-03
563.9,802.7678,241.4807,5.599e-03,5.501e-03
570.5,766.6163,232.4061,5.466e-03,5.319e-03
575.9,734.8246,224.5757,5.410e-03,5.159e-03
583.9,684.5801,212.5165,5.507e-03,4.908e-03
590.9,639.0487,201.7214,5.781e-03,4.679e-03
597.4,594.6630,190.7941,6.405e-03,4.443e-03
602.9,556.4481,182.8980,6.431e-03,4.273e-03
608.9,513.8855,174.0158,6.319e-03,4.079e-03
616.2,461.0202,160.6389,7.066e-03,3.776e-03
623.9,404.6690,146.6791,7.835e-03,3.455e-03
629.6,362.6235,135.9508,8.546e-03,3.205e-03
635.9,316.5061,124.0288,9.369e-03,2.924e-03
643.0,265.0660,110.3113,1.037e-02,2.595e-03
648.4,227.0262,99.9912,1.107e-02,2.344e-03
656.4,172.2323,84.1583,1.240e-02,1.948e-03
659.9,149.0302,78.1755,1.215e-02,1.806e-03
662.9,130.1014,72.6910,1.128e-02,1.682e-03
669.7,89.5846,57.4528,9.662e-03,1.323e-03
677.7,48.4662,39.8005,7.536e-03,9.073e-04
683.9,23.0169,25.7896,5.440e-03,5.806e-04
690.9,4.5299,9.1636,2.055e-03,2.045e-04
695.3,0.0000,0.0000,2.085e-22,1.291e-23
696.4,0.0800,1.0036,2.848e-04,2.116e-05
700.3,0.0708,0.8386,2.392e-04,1.786e-05
704.9,0.1022,0.4804,1.760e-04,1.127e-05
705.5,0.0966,0.4550,1.849e-04,1.118e-05
711.6,0.0000,0.0000,1.924e-22,1.844e-23
716.9,0.4813,2.9479,2.372e-04,9.021e-05
722.2,0.0000,0.0000,2.205e-15,9.200e-17
725.0,5.6452,10.9708,2.178e-03,4.111e-04
733.5,61.2914,60.7450,1.538e-02,2.320e-03
742.0,161.0532,109.8700,2.481e-02,4.137e-03
750.5,291.9636,159.0975,3.355e-02,5.931e-03
759.0,445.0262,207.9105,4.134e-02,7.678e-03
767.5,613.9876,256.5337,4.876e-02,9.397e-03
768.9,642.7222,262.6299,4.985e-02,9.614e-03
774.9,768.8555,289.7959,4.952e-02,1.051e-02
783.9,965.0908,342.4485,4.401e-02,1.214e-02
792.9,1167.5678,392.2469,3.971e-02,1.365e-02
801.7,1367.0838,440.6738,3.550e-02,1.508e-02
810.2,1564.0989,486.2637,3.203e-02,1.642e-02
818.8,1760.3222,533.0040,2.839e-02,1.776e-02
825.9,1922.6290,562.6810,2.798e-02,1.865e-02
833.1,2083.4074,592.0238,2.754e-02,1.953e-02
841.7,2273.2519,636.1098,2.488e-02,2.076e-02
850.3,2455.7097,676.2167,2.365e-02,2.188e-02
858.9,2630.6040,715.2714,2.311e-02,2.297e-02
867.5,2791.5135,752.1738,2.335e-02,2.399e-02
876.1,2936.8497,787.5848,2.459e-02,2.501e-02
882.2,3023.6940,809.5404,2.555e-02,2.554e-02
882.4,3025.1313,810.0465,2.556e-02,2.555e-02
882.9,3032.5893,811.4123,2.558e-02,2.557e-02
883.6,3042.2224,813.1987,2.561e-02,2.560e-02
884.7,3055.5660,816.6216,2.568e-02,2.567e-02
893.4,3188.9009,846.7906,2.687e-02,2.644e-02
902.0,3338.0370,876.4429,2.784e-02,2.718e-02
910.7,3500.0765,905.3848,2.859e-02,2.788e-02
919.3,3670.2448,933.5534,2.926e-02,2.854e-02
928.0,3846.7488,960.6841,2.993e-02,2.917e-02
936.9,4031.4626,988.0763,3.068e-02,2.979e-02
939.9,4094.5769,995.4571,3.103e-02,2.996e-02
945.4,4209.2885,1009.1865,3.089e-02,3.027e-02
954.1,4393.1696,1035.4200,2.975e-02,3.077e-02
962.8,4577.5163,1059.5316,2.921e-02,3.123e-02
971.5,4761.3701,1082.8691,2.901e-02,3.166e-02
980.2,4944.2711,1104.8175,2.918e-02,3.205e-02
988.9,5124.9228,1126.4913,2.975e-02,3.241e-02
996.9,5288.3211,1142.2214,3.031e-02,3.269e-02
1003.5,5419.4011,1154.3927,3.043e-02,3.288e-02
1012.2,5590.9608,1173.3467,3.058e-02,3.313e-02
1020.9,5755.5159,1190.4369,3.092e-02,3.334e-02
1029.7,5912.5193,1206.6440,3.142e-02,3.352e-02
1038.5,6057.2882,1221.7457,3.208e-02,3.367e-02
1047.2,6187.8762,1235.7216,3.322e-02,3.380e-02
1053.2,6263.8214,1244.7636,3.387e-02,3.385e-02
1053.5,6266.3548,1245.1492,3.388e-02,3.386e-02
1053.9,6271.9676,1245.6751,3.387e-02,3.386e-02
1054.6,6280.7897,1246.4876,3.387e-02,3.386e-02
1056.0,6296.5063,1248.2950,3.385e-02,3.386e-02
1064.8,6417.6696,1260.1145,3.361e-02,3.387e-02
1073.6,6552.2783,1271.3493,3.340e-02,3.386e-02
1082.4,6697.5569,1281.9490,3.321e-02,3.383e-02
1091.2,6849.3780,1291.9030,3.309e-02,3.379e-02
1100.0,7006.1878,1301.1773,3.307e-02,3.373e-02
1108.8,7165.4573,1309.9448,3.319e-02,3.366e-02
1110.9,7203.6895,1311.4735,3.321e-02,3.365e-02
1116.9,7312.8459,1315.8263,3.277e-02,3.358e-02
1125.9,7477.5014,1323.7923,3.194e-02,3.346e-02
1134.9,7641.8145,1330.6922,3.156e-02,3.334e-02
1143.9,7805.0500,1337.1262,3.153e-02,3.322e-02
1152.9,7966.5956,1342.8989,3.182e-02,3.310e-02
1161.9,8124.6991,1348.4093,3.246e-02,3.299e-02
1167.9,8229.7589,1350.8282,3.270e-02,3.289e-02
1176.6,8377.7991,1353.9150,3.252e-02,3.274e-02
1185.5,8523.9840,1358.2117,3.249e-02,3.262e-02
1194.4,8663.4473,1361.7222,3.249e-02,3.250e-02
1203.3,8795.1155,1365.0774,3.248e-02,3.240e-02
1212.1,8915.3750,1368.2182,3.240e-02,3.232e-02
1221.0,9021.7692,1371.2989,3.230e-02,3.226e-02
1224.2,9054.2713,1372.3716,3.228e-02,3.225e-02
1224.6,9057.5209,1372.4703,3.228e-02,3.225e-02
1224.9,9061.2592,1372.4962,3.228e-02,3.225e-02
1225.6,9068.6352,1372.5213,3.227e-02,3.224e-02
1229.9,9112.9813,1373.1786,3.198e-02,3.220e-02
1238.8,9217.5915,1374.5965,3.111e-02,3.214e-02
1247.8,9331.4156,1375.6790,3.059e-02,3.210e-02
1256.7,9452.7905,1376.5895,3.027e-02,3.210e-02
1265.6,9578.0054,1377.2558,3.015e-02,3.212e-02
1274.5,9706.5829,1378.1299,3.025e-02,3.221e-02
1281.9,9813.3396,1377.5823,3.036e-02,3.220e-02
1289.4,9922.7692,1376.5848,3.029e-02,3.221e-02
1298.4,10052.5281,1376.7302,3.038e-02,3.236e-02
1307.3,10182.0042,1376.5141,3.078e-02,3.253e-02
1316.3,10309.8125,1376.4521,3.145e-02,3.274e-02
1325.2,10436.1509,1376.3743,3.232e-02,3.299e-02
1334.2,10559.6019,1376.6395,3.345e-02,3.330e-02
1338.9,10623.7712,1375.9609,3.382e-02,3.339e-02
1341.9,10663.4886,1375.4950,3.389e-02,3.345e-02
1350.9,10781.7008,1375.9612,3.436e-02,3.382e-02
1359.9,10894.6214,1376.4377,3.484e-02,3.421e-02
1368.9,11002.0053,1377.2618,3.530e-02,3.465e-02
1377.9,11101.2587,1378.3317,3.569e-02,3.512e-02
1386.9,11191.0627,1380.0696,3.595e-02,3.566e-02
1395.2,11261.1475,1380.9807,3.611e-02,3.607e-02
1395.6,11264.5281,1380.8838,3.611e-02,3.609e-02
1395.9,11266.6632,1380.7746,3.612e-02,3.609e-02
1396.7,11272.3626,1380.5092,3.614e-02,3.610e-02
1404.9,11339.7610,1380.2157,3.591e-02,3.650e-02
1413.9,11421.8856,1381.2859,3.566e-02,3.707e-02
1422.9,11509.0205,1382.0118,3.583e-02,3.763e-02
1431.9,11599.7832,1382.8501,3.620e-02,3.821e-02
1440.9,11692.1399,1384.1775,3.682e-02,3.886e-02
1446.9,11754.4055,1383.6554,3.724e-02,3.915e-02
1448.1,11766.3529,1383.4598,3.730e-02,3.920e-02
1457.1,11859.8299,1384.3155,3.778e-02,3.983e-02
1466.1,11952.4997,1385.3662,3.846e-02,4.048e-02
1475.2,12044.0424,1386.6285,3.936e-02,4.114e-02
1484.2,12133.8250,1388.0078,4.042e-02,4.181e-02
1493.2,12221.3028,1389.9192,4.172e-02,4.252e-02
1497.9,12265.5365,1389.7949,4.222e-02,4.278e-02
1499.3,12278.0348,1389.7202,4.230e-02,4.284e-02
1508.3,12360.5708,1391.9320,4.300e-02,4.354e-02
1517.3,12438.9807,1394.3604,4.378e-02,4.424e-02
1526.4,12512.4508,1397.0249,4.462e-02,4.494e-02
1535.4,12579.4022,1399.8734,4.548e-02,4.565e-02
1544.5,12638.3736,1403.0557,4.638e-02,4.636e-02
1546.2,12647.9936,1403.1623,4.649e-02,4.645e-02
1546.7,12650.9956,1402.9688,4.649e-02,4.646e-02
1546.9,12652.0745,1402.8835,4.649e-02,4.646e-02
1547.7,12656.1882,1402.5774,4.651e-02,4.648e-02
1550.5,12672.0250,1402.6333,4.649e-02,4.663e-02
1559.6,12726.1961,1405.5211,4.639e-02,4.729e-02
1568.7,12783.2411,1408.1179,4.656e-02,4.794e-02
1577.7,12842.2602,1410.7886,4.696e-02,4.858e-02
1586.8,12901.8899,1413.4012,4.756e-02,4.921e-02
1595.9,12961.7084,1416.1316,4.836e-02,4.985e-02
1597.9,12975.0356,1416.2094,4.849e-02,4.995e-02
1602.9,13007.5328,1416.5750,4.860e-02,5.019e-02
1611.9,13065.3089,1419.6454,4.889e-02,5.080e-02
1620.9,13121.9433,1422.2454,4.939e-02,5.137e-02
1629.9,13176.9682,1424.9403,5.009e-02,5.193e-02
1638.9,13230.2048,1427.5709,5.100e-02,5.249e-02
1647.9,13281.2275,1430.0762,5.206e-02,5.302e-02
1648.9,13286.9010,1430.1279,5.213e-02,5.306e-02
1656.4,13327.1398,1431.2099,5.226e-02,5.338e-02
1665.5,13373.6758,1434.7112,5.262e-02,5.391e-02
1674.6,13416.8689,1437.5455,5.316e-02,5.439e-02
1683.7,13456.2518,1440.4239,5.386e-02,5.486e-02
1692.7,13490.8945,1443.1352,5.473e-02,5.532e-02
1701.8,13519.8168,1445.7109,5.576e-02,5.576e-02
1703.2,13523.3673,1445.8243,5.585e-02,5.580e-02
1703.8,13525.0748,1445.6902,5.585e-02,5.581e-02
1704.7,13527.0018,1445.5032,5.586e-02,5.582e-02
1707.9,13534.7446,1445.8504,5.576e-02,5.592e-02
1717.0,13557.8441,1448.6638,5.534e-02,5.629e-02
1726.1,13581.6670,1450.9432,5.522e-02,5.663e-02
1735.2,13605.6200,1453.0222,5.533e-02,5.695e-02
1744.3,13629.1001,1454.7995,5.569e-02,5.726e-02
1753.4,13651.7901,1456.3486,5.627e-02,5.755e-02
1754.9,13655.4906,1456.3482,5.633e-02,5.758e-02
1759.5,13666.2069,1456.5871,5.623e-02,5.766e-02
1768.6,13686.8781,1458.6164,5.599e-02,5.791e-02
1777.7,13706.1139,1460.0831,5.603e-02,5.812e-02
1786.8,13723.7731,1461.3411,5.630e-02,5.831e-02
1795.9,13739.7489,1462.2873,5.682e-02,5.849e-02
1805.0,13753.9145,1462.8931,5.754e-02,5.864e-02
1805.9,13755.2870,1462.8436,5.757e-02,5.865e-02
1811.1,13762.2333,1462.8975,5.748e-02,5.869e-02
1820.2,13773.1247,1464.0491,5.739e-02,5.880e-02
1829.3,13781.9060,1464.5944,5.756e-02,5.887e-02
1838.4,13788.4536,1464.9243,5.794e-02,5.893e-02
1847.5,13792.5516,1464.7510,5.865e-02,5.897e-02
1854.2,13793.8806,1464.7441,5.903e-02,5.899e-02
1854.9,13793.9662,1464.7269,5.903e-02,5.899e-02
1855.7,13793.7952,1464.6601,5.903e-02,5.899e-02
1856.6,13793.5359,1464.6295,5.898e-02,5.898e-02
1865.7,13790.0593,1464.5365,5.813e-02,5.893e-02
1874.8,13784.1898,1464.1214,5.750e-02,5.885e-02
1883.9,13776.1140,1463.3430,5.712e-02,5.875e-02
1893.0,13765.9839,1462.2353,5.699e-02,5.864e-02
1902.1,13753.8724,1460.7793,5.711e-02,5.850e-02
1905.9,13748.3178,1460.0582,5.716e-02,5.844e-02
1908.9,13743.6403,1459.6074,5.701e-02,5.839e-02
1917.9,13728.4196,1458.5759,5.628e-02,5.820e-02
1926.9,13711.4915,1457.1730,5.581e-02,5.799e-02
1935.9,13692.9646,1455.5056,5.558e-02,5.776e-02
1944.9,13672.9842,1453.5805,5.559e-02,5.752e-02
1953.9,13651.5864,1451.3222,5.586e-02,5.725e-02
1956.9,13644.2222,1450.6586,5.590e-02,5.717e-02
1962.8,13629.2496,1449.4964,5.561e-02,5.699e-02
1971.9,13605.4756,1447.4465,5.511e-02,5.666e-02
1980.9,13581.2262,1445.1061,5.491e-02,5.632e-02
1989.9,13556.8526,1442.6438,5.491e-02,5.597e-02
1998.9,13532.8088,1439.5304,5.523e-02,5.558e-02
2005.2,13516.8574,1438.4072,5.540e-02,5.536e-02
2005.9,13515.0580,1438.4740,5.539e-02,5.534e-02
2006.7,13513.0473,1438.4796,5.538e-02,5.533e-02
2014.4,13489.2618,1436.7174,5.471e-02,5.500e-02
2023.5,13455.4658,1433.7360,5.364e-02,5.451e-02
2032.6,13416.6943,1430.7659,5.285e-02,5.403e-02
2041.6,13373.9004,1427.7514,5.221e-02,5.353e-02
2050.7,13327.6787,1424.3730,5.176e-02,5.300e-02
2056.9,13294.6825,1422.8977,5.155e-02,5.271e-02
2065.9,13244.6590,1420.9775,5.074e-02,5.225e-02
2075.0,13191.7580,1418.1422,4.968e-02,5.168e-02
2084.0,13136.7702,1415.3998,4.894e-02,5.111e-02
2093.1,13080.2143,1412.6842,4.839e-02,5.054e-02
2102.2,13022.1136,1409.6290,4.808e-02,4.994e-02
2107.9,12985.0881,1408.6804,4.793e-02,4.963e-02
2117.3,12923.3427,1407.0456,4.726e-02,4.910e-02
2126.4,12863.5418,1404.1513,4.652e-02,4.844e-02
2135.4,12803.8913,1401.5147,4.609e-02,4.781e-02
2144.5,12745.7007,1398.9596,4.584e-02,4.717e-02
2153.6,12689.6184,1395.8626,4.593e-02,4.651e-02
2162.2,12640.6986,1394.7361,4.602e-02,4.598e-02
2162.9,12636.6226,1394.9445,4.600e-02,4.596e-02
2163.1,12635.5541,1395.0160,4.600e-02,4.596e-02
2163.7,12632.5610,1395.1490,4.599e-02,4.594e-02
2169.9,12594.9238,1394.1425,4.552e-02,4.555e-02
2178.9,12532.3133,1391.2016,4.457e-02,4.484e-02
2187.9,12462.5063,1388.7984,4.372e-02,4.416e-02
2196.9,12386.8170,1386.7137,4.291e-02,4.348e-02
2205.9,12306.6329,1384.3476,4.215e-02,4.277e-02
2213.9,12232.1704,1384.2844,4.170e-02,4.232e-02
2222.9,12145.4868,1384.4020,4.080e-02,4.180e-02
2232.0,12056.0833,1382.8869,3.955e-02,4.111e-02
2241.0,11964.6614,1381.9580,3.860e-02,4.048e-02
2250.0,11871.8824,1381.2452,3.782e-02,3.985e-02
2259.0,11778.1522,1380.2869,3.724e-02,3.921e-02
2264.9,11717.1731,1381.1465,3.700e-02,3.893e-02
2274.1,11621.9763,1382.0632,3.649e-02,3.848e-02
2283.1,11529.5628,1380.9062,3.597e-02,3.786e-02
2292.1,11439.3877,1380.3512,3.572e-02,3.731e-02
2301.1,11353.6760,1379.7947,3.572e-02,3.678e-02
2310.1,11274.0690,1379.0920,3.608e-02,3.625e-02
2313.2,11249.6188,1379.4739,3.617e-02,3.613e-02
2313.9,11243.7643,1379.8216,3.615e-02,3.612e-02
2314.2,11241.5659,1379.9537,3.615e-02,3.612e-02
2314.7,11238.1009,1380.0915,3.615e-02,3.611e-02
2319.1,11201.0031,1379.8831,3.608e-02,3.591e-02
2328.1,11114.7162,1378.2427,3.584e-02,3.539e-02
2337.1,11018.2524,1377.2494,3.548e-02,3.493e-02
2346.1,10913.1184,1376.5068,3.501e-02,3.449e-02
2355.0,10802.0819,1376.2035,3.450e-02,3.411e-02
2364.0,10685.5721,1375.6163,3.397e-02,3.372e-02
2370.9,10593.4765,1377.0485,3.376e-02,3.359e-02
2378.9,10483.7714,1378.6409,3.314e-02,3.345e-02
2387.9,10358.9528,1378.3840,3.206e-02,3.315e-02
2396.9,10231.5940,1378.6744,3.131e-02,3.293e-02
2405.8,10102.9892,1378.8644,3.077e-02,3.274e-02
2414.8,9972.9734,1379.1836,3.051e-02,3.259e-02
2423.7,9843.0046,1379.1282,3.057e-02,3.246e-02
2427.9,9781.3164,1380.0737,3.064e-02,3.248e-02
2430.9,9738.2291,1380.6338,3.061e-02,3.249e-02
2439.9,9607.6570,1379.9148,3.049e-02,3.240e-02
2448.9,9479.8393,1379.3506,3.056e-02,3.237e-02
2457.9,9355.1416,1378.5819,3.080e-02,3.236e-02
2466.9,9236.9184,1377.7001,3.121e-02,3.239e-02
2475.9,9126.7201,1376.4541,3.199e-02,3.245e-02
2484.2,9038.1515,1375.3940,3.256e-02,3.252e-02
2484.9,9030.8718,1375.4365,3.256e-02,3.253e-02
2485.3,9027.1097,1375.4466,3.257e-02,3.254e-02
2485.6,9023.8464,1375.3566,3.257e-02,3.254e-02
2493.9,8933.5900,1372.5147,3.267e-02,3.257e-02
2502.9,8817.4234,1369.3580,3.285e-02,3.265e-02
2511.9,8688.8506,1366.0564,3.291e-02,3.274e-02
2520.9,8550.0445,1362.5312,3.293e-02,3.285e-02
2529.9,8404.2683,1358.7744,3.295e-02,3.298e-02
2538.9,8252.3577,1354.4050,3.305e-02,3.311e-02
2541.9,8200.8848,1353.5971,3.312e-02,3.317e-02
2545.3,8141.6054,1352.5478,3.302e-02,3.324e-02
2554.2,7985.9888,1347.2906,3.244e-02,3.335e-02
2563.0,7827.5441,1341.8209,3.214e-02,3.347e-02
2571.9,7667.4222,1335.7683,3.212e-02,3.360e-02
2580.7,7506.2190,1329.2049,3.241e-02,3.372e-02
2589.6,7344.7079,1321.9773,3.307e-02,3.384e-02
2598.4,7184.1477,1314.4376,3.398e-02,3.396e-02
