x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,1.656e-11,6.988e-13
43.9,0.0000,0.0000,8.860e-23,5.102e-24
46.4,0.5138,0.3920,1.163e-04,8.882e-06
48.8,0.0000,0.0000,6.587e-23,1.076e-23
49.9,2.7853,1.7969,1.992e-04,4.330e-05
50.8,5.7250,4.3804,7.244e-04,1.032e-04
57.5,35.6042,25.9387,4.727e-03,6.058e-04
65.9,87.4487,51.8303,7.575e-03,1.231e-03
71.9,132.1444,70.0620,8.648e-03,1.678e-03
77.9,181.5320,88.0388,9.393e-03,2.118e-03
86.4,257.6130,113.9794,9.818e-03,2.752e-03
89.9,290.3503,122.2449,1.044e-02,2.949e-03
92.2,311.9549,127.4997,1.073e-02,3.074e-03
100.8,396.6107,153.0594,1.001e-02,3.693e-03
106.6,454.4933,169.5094,9.563e-03,4.086e-03
113.9,528.9973,190.1992,8.943e-03,4.577e-03
121.0,601.1214,209.5926,8.407e-03,5.032e-03
126.7,659.7705,225.0770,8.034e-03,5.392e-03
135.3,746.9306,247.3373,7.693e-03,5.902e-03
141.1,804.1592,262.3677,7.498e-03,6.243e-03
146.9,861.4974,274.1543,7.782e-03,6.504e-03
155.4,942.6459,290.4971,7.817e-03,6.857e-03
161.1,995.9368,303.9177,7.514e-03,7.146e-03
167.9,1057.0860,318.2162,7.519e-03,7.448e-03
175.4,1121.6555,333.4966,7.686e-03,7.764e-03
181.1,1168.3018,344.6075,7.901e-03,7.990e-03
189.7,1233.4215,360.2550,8.261e-03,8.301e-03
195.4,1272.9759,370.6913,8.518e-03,8.505e-03
203.9,1325.0831,382.2375,8.730e-03,8.717e-03
204.1,1325.9033,382.4271,8.732e-03,8.719e-03
209.9,1357.8028,389.5231,8.765e-03,8.823e-03
215.9,1392.7666,397.1691,8.855e-03,8.951e-03
223.8,1438.0371,406.4813,9.004e-03,9.098e-03
230.9,1479.0517,414.3599,9.146e-03,9.221e-03
238.0,1518.8350,421.8034,9.281e-03,9.335e-03
245.9,1562.6672,429.6581,9.417e-03,9.454e-03
251.9,1594.4850,435.3079,9.511e-03,9.539e-03
257.9,1625.8501,440.9112,9.611e-03,9.625e-03
260.9,1640.7392,443.0324,9.635e-03,9.655e-03
263.9,1655.7501,445.0236,9.656e-03,9.683e-03
269.9,1684.3383,450.0154,9.766e-03,9.760e-03
277.6,1719.3781,455.9053,9.925e-03,9.852e-03
284.9,1750.8360,461.3332,1.010e-02,9.939e-03
291.6,1778.0576,466.0712,1.024e-02,1.002e-02
299.9,1808.8547,471.5933,1.041e-02,1.011e-02
305.7,1828.9478,475.2384,1.050e-02,1.018e-02
311.9,1848.7219,479.1763,1.061e-02,1.025e-02
317.9,1866.4154,481.8939,1.060e-02,1.030e-02
319.8,1871.4426,482.5936,1.060e-02,1.031e-02
325.4,1886.1437,485.4791,1.071e-02,1.036e-02
333.8,1905.3694,489.3350,1.084e-02,1.044e-02
339.4,1916.3972,491.6662,1.090e-02,1.049e-02
347.8,1930.0591,494.7563,1.093e-02,1.055e-02
353.9,1937.8968,496.6970,1.091e-02,1.059e-02
359.9,1943.6513,498.3122,1.087e-02,1.062e-02
367.3,1948.0804,500.0916,1.077e-02,1.066e-02
374.9,1949.3835,500.6385,1.070e-02,1.067e-02
375.1,1949.3794,500.6124,1.070e-02,1.067e-02
381.2,1947.7726,499.5310,1.077e-02,1.064e-02
389.6,1941.9931,497.3282,1.094e-02,1.059e-02
395.1,1935.9535,495.6068,1.102e-02,1.055e-02
