x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,1.502e-09,6.249e-11
43.9,0.0000,0.0000,5.216e-22,2.581e-23
46.4,3.2440,1.9828,7.105e-04,3.543e-05
48.8,0.0000,0.0000,7.555e-22,7.078e-23
49.9,17.5847,9.3514,1.141e-03,1.766e-04
50.8,36.4924,22.9091,4.317e-03,4.187e-04
57.5,226.3891,135.6465,2.840e-02,2.450e-03
65.9,556.0548,269.9257,4.476e-02,4.996e-03
71.9,840.0701,364.4220,5.031e-02,6.825e-03
77.9,1154.1562,457.8681,5.376e-02,8.632e-03
86.4,1637.5266,593.2664,5.449e-02,1.126e-02
89.9,1845.7969,636.5400,5.800e-02,1.206e-02
92.2,1982.7407,664.1104,5.960e-02,1.258e-02
100.8,2521.0432,798.8239,5.313e-02,1.516e-02
106.6,2888.3094,886.0890,4.908e-02,1.682e-02
113.9,3361.7232,996.5580,4.361e-02,1.890e-02
121.0,3818.6692,1100.8294,3.891e-02,2.084e-02
126.7,4190.9461,1184.6701,3.577e-02,2.239e-02
135.3,4741.5856,1306.0908,3.319e-02,2.462e-02
141.1,5103.7037,1388.9033,3.262e-02,2.612e-02
146.9,5463.7301,1454.0063,3.392e-02,2.727e-02
155.4,5972.8808,1545.9720,3.366e-02,2.884e-02
161.1,6303.3338,1622.6140,3.277e-02,3.019e-02
167.9,6682.7443,1705.0525,3.327e-02,3.161e-02
175.4,7074.6475,1794.2401,3.460e-02,3.313e-02
181.1,7356.4536,1859.7145,3.569e-02,3.424e-02
189.7,7733.5560,1954.0499,3.709e-02,3.582e-02
195.4,7957.1602,2015.0204,3.746e-02,3.686e-02
203.2,8202.6566,2092.3644,3.799e-02,3.799e-02
203.9,8221.8193,2097.3618,3.804e-02,3.804e-02
204.5,8238.5013,2101.2024,3.806e-02,3.807e-02
204.6,8239.9973,2102.0815,3.807e-02,3.807e-02
209.9,8387.5784,2146.1741,3.773e-02,3.863e-02
215.9,8574.3971,2196.2713,3.789e-02,3.944e-02
223.8,8828.9928,2258.7064,3.874e-02,4.039e-02
230.9,9067.3813,2311.8546,3.969e-02,4.122e-02
238.0,9305.3445,2362.4957,4.063e-02,4.200e-02
245.9,9571.9251,2416.2399,4.166e-02,4.283e-02
251.9,9768.9806,2454.9784,4.248e-02,4.344e-02
257.9,9964.2356,2493.5123,4.340e-02,4.405e-02
260.9,10058.1514,2507.8901,4.387e-02,4.425e-02
263.9,10152.3596,2521.3589,4.397e-02,4.443e-02
269.9,10333.8913,2555.4611,4.386e-02,4.499e-02
277.6,10557.3106,2595.5003,4.440e-02,4.564e-02
284.9,10759.5836,2632.1856,4.538e-02,4.625e-02
