x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,2.845e-11,1.185e-12
43.9,0.0000,0.0000,1.072e-23,5.147e-25
46.4,0.0619,0.0580,1.365e-05,1.700e-06
48.8,0.0000,0.0000,2.176e-23,1.490e-24
49.9,0.3350,0.2782,2.309e-05,8.385e-06
50.8,0.6952,0.6717,8.416e-05,1.996e-05
57.5,4.3129,3.9634,5.505e-04,1.171e-04
65.9,10.5927,7.9804,8.783e-04,2.384e-04
71.9,16.0023,10.8288,1.001e-03,3.251e-04
77.9,21.9840,13.6387,1.088e-03,4.106e-04
86.4,31.1882,17.6967,1.145e-03,5.342e-04
89.9,35.1534,18.9776,1.220e-03,5.726e-04
92.2,37.7605,19.7928,1.256e-03,5.971e-04
100.8,48.0065,23.7894,1.200e-03,7.183e-04
106.6,54.9955,26.3535,1.177e-03,7.957e-04
113.9,64.0020,29.5712,1.156e-03,8.925e-04
121.0,72.6927,32.5792,1.156e-03,9.826e-04
126.7,79.7709,34.9749,1.173e-03,1.054e-03
135.3,90.2366,38.4093,1.227e-03,1.156e-03
141.1,97.1162,40.7221,1.279e-03,1.224e-03
146.9,103.9539,42.5260,1.333e-03,1.277e-03
155.4,113.6192,45.0319,1.382e-03,1.349e-03
161.1,119.8894,47.0953,1.421e-03,1.409e-03
167.9,127.0851,49.2831,1.475e-03,1.472e-03
175.4,134.5139,51.6157,1.540e-03,1.538e-03
181.1,139.8525,53.3029,1.589e-03,1.586e-03
189.7,146.9918,55.6912,1.657e-03,1.652e-03
195.4,151.2213,57.2159,1.700e-03,1.696e-03
203.2,155.8596,59.0607,1.743e-03,1.742e-03
203.9,156.2214,59.1732,1.745e-03,1.744e-03
204.5,156.5361,59.2539,1.746e-03,1.745e-03
204.6,156.5642,59.2717,1.746e-03,1.745e-03
209.9,159.3465,60.2241,1.756e-03,1.766e-03
215.9,162.8652,61.3447,1.780e-03,1.795e-03
223.8,167.6559,62.7050,1.813e-03,1.829e-03
230.9,172.1390,63.8492,1.845e-03,1.858e-03
238.0,176.6117,64.9251,1.876e-03,1.884e-03
245.9,181.6211,66.0558,1.910e-03,1.912e-03
251.9,185.3230,66.8665,1.935e-03,1.932e-03
257.9,188.9912,67.6705,1.963e-03,1.951e-03
260.9,190.7552,67.9678,1.974e-03,1.958e-03
263.9,192.5250,68.2471,1.978e-03,1.964e-03
269.9,195.9352,68.9668,1.984e-03,1.981e-03
277.6,200.1327,69.8123,1.998e-03,2.001e-03
284.9,203.9338,70.5921,2.017e-03,2.019e-03
291.6,207.2371,71.2725,2.036e-03,2.035e-03
299.9,211.0012,72.0662,2.062e-03,2.054e-03
305.7,213.4662,72.5896,2.081e-03,2.067e-03
311.9,215.9078,73.1581,2.105e-03,2.081e-03
317.9,218.0988,73.5355,2.115e-03,2.089e-03
319.8,218.7269,73.6322,2.114e-03,2.091e-03
325.4,220.5574,74.0549,2.121e-03,2.102e-03
333.8,222.9741,74.6182,2.131e-03,2.115e-03
339.4,224.3699,74.9589,2.138e-03,2.124e-03
347.8,226.1192,75.4095,2.146e-03,2.135e-03
353.9,227.1366,75.6905,2.150e-03,2.142e-03
359.9,227.8987,75.9263,2.153e-03,2.148e-03
367.3,228.5104,76.1647,2.156e-03,2.154e-03
374.2,228.7347,76.3049,2.159e-03,2.157e-03
374.9,228.7384,76.3037,2.159e-03,2.157e-03
375.6,228.7381,76.2932,2.158e-03,2.157e-03
381.2,228.5986,76.1446,2.160e-03,2.153e-03
389.6,227.9521,75.8159,2.165e-03,2.143e-03
395.1,227.2527,75.5572,2.166e-03,2.136e-03
401.9,226.1146,75.1965,2.164e-03,2.126e-03
409.0,224.6371,74.7689,2.158e-03,2.115e-03
414.5,223.2639,74.4007,2.151e-03,2.105e-03
422.8,220.8826,73.8003,2.137e-03,2.090e-03
428.9,218.8691,73.3071,2.123e-03,2.077e-03
431.9,217.8141,73.0736,2.123e-03,2.071e-03
436.6,216.0702,72.6836,2.116e-03,2.062e-03
443.9,213.1145,71.9874,2.081e-03,2.044e-03
449.9,210.4787,71.3912,2.055e-03,2.029e-03
455.9,207.6786,70.7730,2.028e-03,2.013e-03
464.1,203.5617,69.8840,1.992e-03,1.991e-03
469.6,200.6482,69.2623,1.970e-03,1.976e-03
477.8,196.0209,68.2994,1.940e-03,1.953e-03
483.3,192.8045,67.6051,1.921e-03,1.936e-03
488.9,189.3916,66.9506,1.910e-03,1.920e-03
497.0,184.2795,65.9072,1.881e-03,1.895e-03
502.5,180.6846,65.0956,1.853e-03,1.874e-03
509.9,175.7398,63.9741,1.820e-03,1.847e-03
516.1,171.4718,62.9752,1.793e-03,1.822e-03
521.9,167.5565,62.0122,1.770e-03,1.797e-03
529.8,162.1770,60.6240,1.739e-03,1.762e-03
536.9,157.4823,59.2865,1.714e-03,1.728e-03
543.4,153.3149,57.9867,1.693e-03,1.694e-03
545.2,152.2775,57.6355,1.688e-03,1.687e-03
545.9,151.8828,57.5304,1.686e-03,1.685e-03
546.6,151.4862,57.4162,1.684e-03,1.683e-03
551.5,148.3347,56.2549,1.663e-03,1.656e-03
556.9,144.1766,54.7902,1.625e-03,1.614e-03
