x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,1.036e-11,4.374e-13
43.9,0.0000,0.0000,5.543e-23,3.222e-24
46.4,0.3208,0.2470,7.262e-05,5.664e-06
48.8,0.0000,0.0000,4.163e-23,6.778e-24
49.9,1.7385,1.1345,1.245e-04,2.761e-05
50.8,3.5735,2.7643,4.524e-04,6.580e-05
57.5,22.2235,16.3656,2.952e-03,3.864e-04
65.9,54.5838,32.7151,4.731e-03,7.854e-04
71.9,82.4818,44.2321,5.403e-03,1.070e-03
77.9,113.3079,55.5887,5.870e-03,1.351e-03
86.4,160.7947,71.9772,6.140e-03,1.755e-03
89.9,181.2277,77.1971,6.529e-03,1.881e-03
92.2,194.7122,80.5160,6.710e-03,1.961e-03
100.8,247.5494,96.6653,6.266e-03,2.356e-03
106.6,283.6755,107.0576,5.994e-03,2.607e-03
113.9,330.1746,120.1273,5.615e-03,2.920e-03
121.0,375.1872,132.3771,5.289e-03,3.210e-03
126.7,411.7892,142.1570,5.065e-03,3.440e-03
135.3,466.1828,156.2154,4.866e-03,3.766e-03
141.1,501.8959,165.7072,4.753e-03,3.983e-03
146.9,537.6764,173.1494,4.934e-03,4.149e-03
155.4,588.3131,183.4682,4.963e-03,4.375e-03
161.1,621.5653,191.9423,4.784e-03,4.560e-03
167.9,659.7194,200.9695,4.794e-03,4.752e-03
175.4,700.0057,210.6159,4.905e-03,4.954e-03
181.1,729.1078,217.6294,5.042e-03,5.098e-03
189.7,769.7329,227.5056,5.271e-03,5.297e-03
195.4,794.4073,234.0918,5.434e-03,5.427e-03
203.9,826.9094,241.3767,5.571e-03,5.563e-03
204.1,827.4210,241.4962,5.572e-03,5.564e-03
209.9,847.3160,245.9700,5.595e-03,5.631e-03
215.9,869.1204,250.7933,5.653e-03,5.713e-03
223.8,897.3500,256.6667,5.748e-03,5.806e-03
230.9,922.9239,261.6361,5.839e-03,5.885e-03
238.0,947.7285,266.3309,5.925e-03,5.958e-03
245.9,975.0564,271.2851,6.012e-03,6.034e-03
251.9,994.8928,274.8487,6.072e-03,6.088e-03
257.9,1014.4466,278.3830,6.137e-03,6.143e-03
260.9,1023.7285,279.7208,6.152e-03,6.163e-03
263.9,1033.0865,280.9771,6.166e-03,6.181e-03
269.9,1050.9081,284.1278,6.234e-03,6.229e-03
277.6,1072.7515,287.8452,6.333e-03,6.288e-03
284.9,1092.3615,291.2713,6.439e-03,6.344e-03
291.6,1109.3308,294.2620,6.531e-03,6.394e-03
299.9,1128.5290,297.7477,6.633e-03,6.454e-03
305.7,1141.0548,300.0487,6.692e-03,6.495e-03
311.9,1153.3817,302.5343,6.761e-03,6.541e-03
317.9,1164.4120,304.2493,6.758e-03,6.571e-03
319.8,1167.5459,304.6911,6.756e-03,6.579e-03
325.4,1176.7110,306.5140,6.822e-03,6.614e-03
333.8,1188.6971,308.9496,6.902e-03,6.662e-03
339.4,1195.5727,310.4220,6.940e-03,6.691e-03
347.8,1204.0909,312.3732,6.962e-03,6.731e-03
353.9,1208.9781,313.5982,6.953e-03,6.756e-03
359.9,1212.5666,314.6174,6.925e-03,6.778e-03
367.3,1215.3288,315.7391,6.869e-03,6.801e-03
374.9,1216.1417,316.0827,6.829e-03,6.809e-03
375.1,1216.1391,316.0662,6.829e-03,6.809e-03
381.2,1215.1370,315.3847,6.870e-03,6.792e-03
389.6,1211.5327,313.9959,6.973e-03,6.757e-03
395.1,1207.7664,312.9097,7.018e-03,6.731e-03
401.9,1201.7632,311.3997,7.050e-03,6.696e-03
409.0,1193.9991,309.6122,7.049e-03,6.655e-03
414.5,1186.8435,308.0734,7.020e-03,6.621e-03
422.8,1174.4124,305.5634,6.947e-03,6.567e-03
428.9,1163.9558,303.4938,6.857e-03,6.523e-03
431.9,1158.4338,302.5335,6.863e-03,6.504e-03
436.6,1149.3757,300.9029,6.879e-03,6.472e-03
443.9,1133.9467,297.9076,6.773e-03,6.413e-03
449.9,1120.2400,295.3533,6.688e-03,6.364e-03
455.9,1105.5877,292.6981,6.585e-03,6.315e-03
464.1,1084.1107,288.8764,6.432e-03,6.246e-03
469.6,1068.8023,286.2006,6.322e-03,6.199e-03
477.8,1044.5723,282.0527,6.170e-03,6.129e-03
483.3,1027.5608,279.0511,6.056e-03,6.079e-03
488.9,1009.5991,276.2647,6.021e-03,6.035e-03
497.0,982.4305,271.8108,5.986e-03,5.963e-03
502.5,963.3874,268.2898,5.899e-03,5.906e-03
509.9,936.7323,263.4552,5.806e-03,5.828e-03
516.1,913.7816,259.1530,5.720e-03,5.758e-03
521.9,892.1869,255.0173,5.641e-03,5.691e-03
529.8,862.4705,249.0696,5.536e-03,5.593e-03
536.9,835.5290,243.3785,5.452e-03,5.498e-03
543.4,811.5670,237.8070,5.388e-03,5.402e-03
545.9,802.2206,235.8506,5.384e-03,5.370e-03
546.2,801.5167,235.6579,5.383e-03,5.367e-03
551.5,781.3532,230.2681,5.308e-03,5.275e-03
556.9,757.6331,224.1408,5.188e-03,5.153e-03
563.9,724.8826,216.0321,5.056e-03,4.992e-03
570.5,690.9716,208.0125,4.984e-03,4.829e-03
575.9,661.5656,201.0825,5.003e-03,4.687e-03
583.9,615.4522,190.3921,5.224e-03,4.462e-03
590.9,574.0135,180.8107,5.583e-03,4.256e-03
597.4,533.7632,171.0941,6.263e-03,4.043e-03
602.9,499.2389,164.0847,6.288e-03,3.890e-03
608.9,460.8401,156.1744,6.187e-03,3.715e-03
616.2,413.2668,144.2142,6.933e-03,3.440e-03
623.9,362.6139,131.7277,7.641e-03,3.149e-03
629.6,324.8783,122.1235,8.274e-03,2.922e-03
635.9,283.4967,111.4437,8.990e-03,2.667e-03
643.0,237.3848,99.1471,9.846e-03,2.368e-03
648.4,203.2880,89.8911,1.044e-02,2.140e-03
656.4,154.2057,75.6784,1.155e-02,1.779e-03
659.9,133.4208,70.3153,1.130e-02,1.649e-03
662.9,116.4723,65.3964,1.050e-02,1.536e-03
669.7,80.1891,51.7011,8.970e-03,1.209e-03
677.7,43.3790,35.8297,6.970e-03,8.295e-04
683.9,20.5960,23.2234,5.016e-03,5.310e-04
690.9,4.0529,8.2537,1.892e-03,1.871e-04
695.3,0.0000,0.0000,1.414e-22,1.372e-23
696.4,0.0714,0.9039,2.605e-04,1.937e-05
700.3,0.0633,0.7558,2.186e-04,1.630e-05
