x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,7.414e-12,3.148e-13
43.9,0.0000,0.0000,4.037e-23,2.633e-24
46.4,0.2312,0.1983,5.243e-05,5.240e-06
48.8,0.0000,0.0000,3.480e-23,5.395e-24
49.9,1.2527,0.9263,9.107e-05,2.565e-05
50.8,2.5750,2.2468,3.279e-04,6.111e-05
57.5,16.0138,13.2822,2.136e-03,3.588e-04
65.9,39.3317,26.6473,3.434e-03,7.296e-04
71.9,59.4343,36.0910,3.936e-03,9.945e-04
77.9,81.6470,45.4031,4.295e-03,1.255e-03
86.4,115.8652,58.8414,4.532e-03,1.632e-03
89.9,130.5891,63.1067,4.821e-03,1.749e-03
92.2,140.3059,65.8202,4.958e-03,1.823e-03
100.8,178.3801,79.0560,4.707e-03,2.192e-03
106.6,204.4127,87.5587,4.567e-03,2.426e-03
113.9,237.9204,98.2376,4.379e-03,2.719e-03
121.0,270.3572,108.2311,4.239e-03,2.990e-03
126.7,296.7334,116.1980,4.162e-03,3.205e-03
135.3,335.9310,127.6322,4.144e-03,3.511e-03
141.1,361.6672,135.3381,4.155e-03,3.715e-03
146.9,387.4520,141.3710,4.320e-03,3.872e-03
155.4,423.9430,149.7235,4.407e-03,4.086e-03
161.1,447.9061,156.5748,4.371e-03,4.260e-03
167.9,475.4018,163.8568,4.449e-03,4.443e-03
175.4,504.4341,171.6223,4.590e-03,4.635e-03
181.1,525.4064,177.2561,4.725e-03,4.772e-03
189.7,554.6826,185.1723,4.934e-03,4.962e-03
195.4,572.4638,190.4376,5.084e-03,5.087e-03
203.9,595.8855,196.2321,5.226e-03,5.218e-03
204.1,596.2540,196.3250,5.227e-03,5.219e-03
209.9,610.5891,199.8242,5.261e-03,5.284e-03
215.9,626.2999,203.6329,5.325e-03,5.364e-03
223.8,646.6394,208.2512,5.416e-03,5.456e-03
230.9,665.0648,212.1562,5.501e-03,5.533e-03
238.0,682.9348,215.8418,5.583e-03,5.604e-03
245.9,702.6212,219.7300,5.669e-03,5.679e-03
251.9,716.9097,222.5277,5.731e-03,5.732e-03
257.9,730.9938,225.3039,5.798e-03,5.785e-03
260.9,737.6789,226.3538,5.817e-03,5.804e-03
263.9,744.4185,227.3433,5.829e-03,5.822e-03
269.9,757.2528,229.8362,5.879e-03,5.869e-03
277.6,772.9820,232.7807,5.950e-03,5.925e-03
284.9,787.1015,235.5000,6.027e-03,5.977e-03
291.6,799.3184,237.8779,6.096e-03,6.024e-03
299.9,813.1386,240.6553,6.176e-03,6.080e-03
305.7,822.1546,242.4919,6.227e-03,6.118e-03
311.9,831.0269,244.4778,6.288e-03,6.160e-03
317.9,838.9654,245.8461,6.302e-03,6.188e-03
319.8,841.2208,246.2010,6.303e-03,6.195e-03
325.4,847.8163,247.6747,6.342e-03,6.227e-03
333.8,856.4415,249.6448,6.393e-03,6.270e-03
339.4,861.3889,250.8357,6.419e-03,6.297e-03
347.8,867.5181,252.4124,6.441e-03,6.332e-03
353.9,871.0347,253.4000,6.444e-03,6.355e-03
359.9,873.6168,254.2191,6.438e-03,6.374e-03
367.3,875.6045,255.1118,6.422e-03,6.394e-03
374.9,876.1899,255.3749,6.417e-03,6.401e-03
375.1,876.1880,255.3615,6.417e-03,6.401e-03
381.2,875.4663,254.8149,6.432e-03,6.386e-03
389.6,872.8720,253.6972,6.474e-03,6.356e-03
395.1,870.1615,252.8186,6.490e-03,6.333e-03
401.9,865.8412,251.5953,6.497e-03,6.302e-03
409.0,860.2537,250.1462,6.485e-03,6.265e-03
414.5,855.1041,248.8985,6.461e-03,6.235e-03
422.8,846.1577,246.8653,6.408e-03,6.187e-03
428.9,838.6320,245.1894,6.350e-03,6.148e-03
431.9,834.6574,244.4161,6.349e-03,6.131e-03
436.6,828.1377,243.1099,6.343e-03,6.101e-03
443.9,817.0317,240.7108,6.252e-03,6.047e-03
449.9,807.1646,238.6676,6.181e-03,6.002e-03
455.9,796.6161,236.5464,6.101e-03,5.957e-03
464.1,781.1530,233.4988,5.986e-03,5.893e-03
469.6,770.1301,231.3685,5.907e-03,5.849e-03
477.8,752.6817,228.0727,5.798e-03,5.783e-03
483.3,740.4304,225.6899,5.718e-03,5.735e-03
488.9,727.4937,223.4839,5.684e-03,5.692e-03
497.0,707.9242,219.9690,5.627e-03,5.623e-03
502.5,694.2064,217.1942,5.548e-03,5.568e-03
509.9,675.0039,213.3821,5.458e-03,5.492e-03
516.1,658.4691,209.9890,5.378e-03,5.424e-03
521.9,642.9103,206.7251,5.306e-03,5.358e-03
529.8,621.4991,202.0261,5.211e-03,5.262e-03
536.9,602.0866,197.5238,5.132e-03,5.169e-03
543.4,584.8207,193.1066,5.066e-03,5.076e-03
545.9,578.0862,191.5589,5.056e-03,5.044e-03
546.2,577.5790,191.4085,5.055e-03,5.042e-03
551.5,563.0489,187.1430,4.980e-03,4.954e-03
556.9,545.9555,182.2287,4.864e-03,4.836e-03
563.9,522.3544,175.7285,4.730e-03,4.682e-03
570.5,497.9166,169.2839,4.630e-03,4.527e-03
575.9,476.7254,163.7057,4.589e-03,4.391e-03
583.9,443.4939,155.0833,4.637e-03,4.177e-03
590.9,413.6315,147.3388,4.786e-03,3.982e-03
597.4,384.6256,139.4641,5.145e-03,3.780e-03
602.9,359.7462,133.7861,5.123e-03,3.636e-03
608.9,332.0749,127.3731,5.011e-03,3.470e-03
616.2,297.7926,117.6429,5.423e-03,3.211e-03
623.9,261.2915,107.4652,5.833e-03,2.938e-03
629.6,234.0990,99.6197,6.223e-03,2.726e-03
635.9,204.2795,90.8776,6.678e-03,2.486e-03
643.0,171.0517,80.7846,7.239e-03,2.206e-03
648.4,146.4821,73.1687,7.632e-03,1.993e-03
656.4,111.1145,61.4103,8.394e-03,1.656e-03
659.9,96.1375,57.0133,8.207e-03,1.535e-03
662.9,83.9250,53.0316,7.625e-03,1.430e-03
