x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,3.907e-10,1.625e-11
43.9,0.0000,0.0000,1.359e-22,6.729e-24
46.4,0.8439,0.5535,1.850e-04,1.108e-05
48.8,0.0000,0.0000,2.064e-22,1.857e-23
49.9,4.5741,2.5999,2.986e-04,5.441e-05
50.8,9.4922,6.3536,1.126e-03,1.293e-04
57.5,58.8869,37.6058,7.401e-03,7.577e-04
65.9,144.6354,74.9818,1.168e-02,1.543e-03
71.9,218.5080,101.3030,1.314e-02,2.105e-03
77.9,300.1997,127.3032,1.407e-02,2.659e-03
86.4,425.9165,164.9207,1.431e-02,3.462e-03
89.9,480.0821,176.9100,1.524e-02,3.710e-03
92.2,515.6971,184.5402,1.566e-02,3.867e-03
100.8,655.6876,221.8075,1.406e-02,4.654e-03
106.6,751.1938,245.8789,1.307e-02,5.156e-03
113.9,874.2961,276.2668,1.176e-02,5.784e-03
121.0,993.1091,304.8627,1.068e-02,6.369e-03
126.7,1089.9007,327.7861,9.986e-03,6.834e-03
135.3,1233.0569,360.8764,9.500e-03,7.497e-03
141.1,1327.1937,383.3535,9.467e-03,7.943e-03
146.9,1420.7817,400.9803,9.839e-03,8.282e-03
155.4,1553.1243,425.7387,9.850e-03,8.747e-03
161.1,1639.0129,446.2916,9.714e-03,9.137e-03
167.9,1737.6197,468.3032,9.906e-03,9.547e-03
175.4,1839.4674,492.0126,1.030e-02,9.983e-03
181.1,1912.6985,509.3411,1.061e-02,1.030e-02
189.7,2010.6881,534.1880,1.102e-02,1.074e-02
195.4,2068.7872,550.1718,1.116e-02,1.103e-02
203.2,2132.5696,570.2932,1.134e-02,1.134e-02
203.9,2137.5480,571.5823,1.135e-02,1.135e-02
204.5,2141.8816,572.5617,1.136e-02,1.136e-02
204.6,2142.2702,572.7845,1.136e-02,1.136e-02
209.9,2180.6072,583.9812,1.130e-02,1.151e-02
215.9,2229.1360,596.6921,1.136e-02,1.172e-02
223.8,2295.2737,612.4535,1.158e-02,1.196e-02
230.9,2357.2091,625.8185,1.183e-02,1.217e-02
238.0,2419.0441,638.5082,1.207e-02,1.237e-02
245.9,2488.3313,651.9394,1.233e-02,1.257e-02
251.9,2539.5607,661.6078,1.253e-02,1.273e-02
257.9,2590.3340,671.2188,1.276e-02,1.288e-02
260.9,2614.7601,674.7979,1.288e-02,1.293e-02
263.9,2639.2654,678.1409,1.290e-02,1.298e-02
269.9,2686.4949,686.6289,1.288e-02,1.311e-02
277.6,2744.6409,696.6000,1.301e-02,1.328e-02
284.9,2797.3027,705.7535,1.324e-02,1.343e-02
291.6,2843.0714,713.7063,1.350e-02,1.357e-02
299.9,2895.2223,722.9237,1.385e-02,1.373e-02
305.7,2929.3723,728.9608,1.409e-02,1.383e-02
311.9,2963.1934,735.4791,1.440e-02,1.395e-02
317.9,2993.5360,739.8561,1.440e-02,1.403e-02
319.8,3002.2319,740.9700,1.437e-02,1.404e-02
325.4,3027.5744,745.6731,1.454e-02,1.413e-02
333.8,3061.0160,751.9119,1.477e-02,1.425e-02
339.4,3080.3217,755.6670,1.490e-02,1.433e-02
347.8,3104.4977,760.6204,1.499e-02,1.443e-02
353.9,3118.5480,763.7095,1.498e-02,1.449e-02
359.9,3129.0609,766.3023,1.492e-02,1.454e-02
367.3,3137.4879,768.9685,1.472e-02,1.460e-02
374.2,3140.5684,770.5401,1.464e-02,1.462e-02
374.9,3140.6184,770.5332,1.464e-02,1.462e-02
375.6,3140.6134,770.4282,1.464e-02,1.462e-02
381.2,3138.6911,768.9400,1.481e-02,1.459e-02
389.6,3129.7750,765.5838,1.521e-02,1.452e-02
395.1,3120.1228,762.9302,1.538e-02,1.446e-02
401.9,3104.4034,759.1953,1.550e-02,1.438e-02
409.0,3083.9833,754.7287,1.551e-02,1.429e-02
414.5,3064.9947,750.8518,1.542e-02,1.421e-02
422.8,3032.0504,744.4627,1.520e-02,1.408e-02
428.9,3004.1816,739.1734,1.492e-02,1.397e-02
431.9,2989.5787,736.6377,1.496e-02,1.393e-02
436.6,2965.4353,732.3397,1.502e-02,1.385e-02
443.9,2924.5072,724.5789,1.464e-02,1.370e-02
449.9,2888.0047,717.9015,1.435e-02,1.358e-02
455.9,2849.2255,710.9270,1.401e-02,1.345e-02
464.1,2792.2093,700.8339,1.352e-02,1.328e-02
469.6,2751.8619,693.7359,1.319e-02,1.315e-02
477.8,2687.7926,682.6801,1.277e-02,1.297e-02
483.3,2643.2662,674.6955,1.251e-02,1.283e-02
488.9,2596.0327,667.1636,1.243e-02,1.271e-02
497.0,2525.3037,655.0942,1.231e-02,1.252e-02
502.5,2475.5850,645.6258,1.209e-02,1.237e-02
509.9,2407.2228,632.6417,1.187e-02,1.217e-02
516.1,2348.2485,621.1323,1.168e-02,1.198e-02
521.9,2294.1708,610.1053,1.152e-02,1.181e-02
529.8,2219.9205,594.3402,1.131e-02,1.156e-02
536.9,2155.1726,579.2923,1.115e-02,1.132e-02
543.4,2097.7555,564.8757,1.107e-02,1.108e-02
545.2,2083.4715,560.8201,1.105e-02,1.103e-02
545.9,2078.0382,559.5807,1.103e-02,1.102e-02
546.6,2072.5822,558.2457,1.102e-02,1.100e-02
