x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,4.974e-10,2.071e-11
43.9,0.0000,0.0000,1.757e-22,8.595e-24
46.4,1.0799,0.7554,2.371e-04,1.659e-05
48.8,0.0000,0.0000,2.806e-22,2.401e-23
49.9,5.8514,3.5302,3.851e-04,8.039e-05
50.8,12.1422,8.6104,1.445e-03,1.913e-04
57.5,75.3282,50.9524,9.496e-03,1.123e-03
65.9,185.0106,101.7581,1.501e-02,2.283e-03
71.9,279.4957,137.5570,1.692e-02,3.112e-03
77.9,383.9729,172.8874,1.815e-02,3.929e-03
86.4,544.7370,223.9435,1.854e-02,5.109e-03
89.9,613.9945,240.1767,1.974e-02,5.474e-03
92.2,659.5313,250.4985,2.029e-02,5.706e-03
100.8,838.4962,300.9014,1.836e-02,6.858e-03
106.6,960.5725,333.3779,1.720e-02,7.591e-03
113.9,1117.8920,374.2795,1.567e-02,8.507e-03
121.0,1269.6988,412.6672,1.446e-02,9.357e-03
126.7,1393.3400,443.3576,1.374e-02,1.003e-02
135.3,1576.1613,487.5292,1.334e-02,1.099e-02
141.1,1696.3431,517.4233,1.342e-02,1.163e-02
146.9,1815.7964,540.8060,1.395e-02,1.211e-02
155.4,1984.6559,573.4831,1.406e-02,1.278e-02
161.1,2094.2078,600.5166,1.398e-02,1.333e-02
167.9,2219.9349,629.3409,1.429e-02,1.390e-02
175.4,2349.7444,660.2506,1.483e-02,1.451e-02
181.1,2443.0377,682.7367,1.526e-02,1.494e-02
189.7,2567.8107,714.8131,1.584e-02,1.555e-02
195.4,2641.7384,735.3389,1.608e-02,1.594e-02
203.2,2722.8295,760.9689,1.636e-02,1.636e-02
203.9,2729.1539,762.5962,1.638e-02,1.637e-02
204.5,2734.6588,763.8177,1.639e-02,1.639e-02
204.6,2735.1522,764.0939,1.639e-02,1.639e-02
209.9,2783.8193,777.9908,1.632e-02,1.657e-02
215.9,2845.3705,793.7330,1.640e-02,1.683e-02
223.8,2929.1815,813.1197,1.668e-02,1.713e-02
230.9,3007.6173,829.4615,1.697e-02,1.738e-02
238.0,3085.8833,844.8897,1.726e-02,1.762e-02
245.9,3173.5495,861.1397,1.757e-02,1.786e-02
251.9,3238.3455,872.7993,1.782e-02,1.804e-02
