x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,2.640e-11,1.113e-12
43.9,0.0000,0.0000,1.413e-22,7.970e-24
46.4,0.8236,0.6156,1.864e-04,1.358e-05
48.8,0.0000,0.0000,1.028e-22,1.689e-23
49.9,4.4650,2.8090,3.185e-04,6.617e-05
50.8,9.1775,6.8562,1.160e-03,1.577e-04
57.5,57.0752,40.6158,7.571e-03,9.258e-04
65.9,140.1858,81.0815,1.213e-02,1.882e-03
71.9,211.8379,109.5495,1.384e-02,2.564e-03
77.9,291.0130,137.6165,1.502e-02,3.236e-03
86.4,412.9848,178.1112,1.568e-02,4.205e-03
89.9,465.4702,191.0255,1.667e-02,4.506e-03
92.2,500.1079,199.2336,1.713e-02,4.697e-03
100.8,635.8365,239.1250,1.594e-02,5.643e-03
106.6,728.6436,264.8054,1.520e-02,6.244e-03
113.9,848.1065,297.1096,1.416e-02,6.994e-03
121.0,963.7597,327.3952,1.325e-02,7.689e-03
126.7,1057.8106,351.5798,1.261e-02,8.238e-03
135.3,1197.5921,386.3536,1.199e-02,9.017e-03
141.1,1289.3783,409.8365,1.162e-02,9.537e-03
146.9,1381.3465,428.2571,1.206e-02,9.935e-03
155.4,1511.5168,453.7985,1.208e-02,1.047e-02
161.1,1597.0084,474.7710,1.154e-02,1.091e-02
167.9,1695.1154,497.1212,1.150e-02,1.137e-02
175.4,1798.7212,521.0102,1.174e-02,1.186e-02
181.1,1873.5760,538.3840,1.206e-02,1.220e-02
189.7,1978.0898,562.8561,1.262e-02,1.267e-02
195.4,2041.5824,579.1820,1.301e-02,1.299e-02
203.9,2125.2414,597.2535,1.333e-02,1.331e-02
204.1,2126.5585,597.5510,1.333e-02,1.331e-02
209.9,2177.7873,608.6737,1.337e-02,1.347e-02
215.9,2233.9474,620.6438,1.351e-02,1.366e-02
223.8,2306.6768,635.2270,1.373e-02,1.389e-02
230.9,2372.5784,647.5647,1.395e-02,1.408e-02
238.0,2436.5108,659.2211,1.416e-02,1.425e-02
245.9,2506.9568,671.5211,1.437e-02,1.443e-02
251.9,2558.0990,680.3682,1.451e-02,1.456e-02
257.9,2608.5156,689.1420,1.466e-02,1.469e-02
260.9,2632.4504,692.4648,1.469e-02,1.474e-02
263.9,2656.5805,695.5810,1.473e-02,1.478e-02
269.9,2702.5391,703.3864,1.490e-02,1.490e-02
277.6,2758.8708,712.5963,1.516e-02,1.504e-02
284.9,2809.4456,721.0833,1.544e-02,1.517e-02
291.6,2853.2099,728.4912,1.568e-02,1.529e-02
299.9,2902.7226,737.1250,1.594e-02,1.544e-02
305.7,2935.0253,742.8245,1.608e-02,1.554e-02
311.9,2966.8147,748.9824,1.625e-02,1.565e-02
317.9,2995.2578,753.2342,1.623e-02,1.572e-02
319.8,3003.3391,754.3277,1.622e-02,1.574e-02
325.4,3026.9701,758.8321,1.640e-02,1.583e-02
333.8,3057.8720,764.8526,1.662e-02,1.594e-02
339.4,3075.5954,768.4938,1.672e-02,1.601e-02
347.8,3097.5497,773.3226,1.677e-02,1.611e-02
353.9,3110.1427,776.3576,1.673e-02,1.617e-02
359.9,3119.3871,778.8860,1.665e-02,1.622e-02
367.3,3126.5009,781.6770,1.648e-02,1.628e-02
374.9,3128.5928,782.5419,1.635e-02,1.630e-02
375.1,3128.5861,782.5011,1.635e-02,1.630e-02
381.2,3126.0056,780.8031,1.647e-02,1.626e-02
389.6,3116.7222,777.3485,1.677e-02,1.618e-02
395.1,3107.0201,774.6536,1.690e-02,1.611e-02
401.9,3091.5518,770.9111,1.700e-02,1.602e-02
409.0,3071.5434,766.4850,1.701e-02,1.593e-02
414.5,3053.0995,762.6770,1.694e-02,1.584e-02
422.8,3021.0548,756.4679,1.675e-02,1.571e-02
428.9,2994.0958,751.3505,1.651e-02,1.560e-02
431.9,2979.8589,748.9724,1.653e-02,1.556e-02
436.6,2956.5034,744.9295,1.658e-02,1.548e-02
443.9,2916.7194,737.5080,1.632e-02,1.534e-02
449.9,2881.3741,731.1798,1.611e-02,1.522e-02
455.9,2843.5903,724.6022,1.585e-02,1.510e-02
464.1,2788.2060,715.1349,1.546e-02,1.493e-02
