x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,4.521e-10,1.879e-11
43.9,0.0000,0.0000,1.566e-22,7.780e-24
46.4,0.9749,0.6273,2.136e-04,1.221e-05
48.8,0.0000,0.0000,2.344e-22,2.138e-23
49.9,5.2848,2.9520,3.441e-04,6.019e-05
50.8,10.9674,7.2186,1.299e-03,1.429e-04
57.5,68.0383,42.7284,8.544e-03,8.373e-04
65.9,167.1146,85.1516,1.348e-02,1.706e-03
71.9,252.4712,115.0217,1.516e-02,2.328e-03
77.9,346.8651,144.5359,1.622e-02,2.942e-03
86.4,492.1346,187.2532,1.648e-02,3.831e-03
89.9,554.7271,200.8785,1.754e-02,4.106e-03
92.2,595.8834,209.5525,1.802e-02,4.280e-03
100.8,757.6622,251.9191,1.615e-02,5.153e-03
106.6,868.0388,279.3051,1.499e-02,5.711e-03
113.9,1010.3173,313.9030,1.343e-02,6.409e-03
121.0,1147.6477,346.4876,1.214e-02,7.060e-03
126.7,1259.5331,372.6302,1.130e-02,7.577e-03
135.3,1425.0269,410.4020,1.068e-02,8.316e-03
141.1,1533.8637,436.0880,1.061e-02,8.815e-03
146.9,1642.0742,456.2476,1.103e-02,9.194e-03
155.4,1795.1122,484.6073,1.102e-02,9.714e-03
161.1,1894.4422,508.1738,1.084e-02,1.015e-02
167.9,2008.4947,533.4466,1.105e-02,1.061e-02
175.4,2126.3104,560.7049,1.149e-02,1.110e-02
181.1,2211.0356,580.6549,1.184e-02,1.146e-02
189.7,2324.4234,609.3041,1.230e-02,1.196e-02
195.4,2391.6673,627.7627,1.245e-02,1.229e-02
203.2,2465.5091,651.0536,1.265e-02,1.265e-02
203.9,2471.2741,652.5496,1.266e-02,1.266e-02
204.5,2476.2926,653.6901,1.267e-02,1.267e-02
204.6,2476.7427,653.9500,1.267e-02,1.267e-02
209.9,2521.1474,667.0071,1.260e-02,1.284e-02
215.9,2577.3731,681.8391,1.266e-02,1.308e-02
223.8,2654.0222,700.2653,1.292e-02,1.337e-02
230.9,2725.8158,715.9154,1.321e-02,1.361e-02
238.0,2797.5052,730.7975,1.349e-02,1.385e-02
245.9,2877.8438,746.5705,1.380e-02,1.409e-02
251.9,2937.2506,757.9343,1.403e-02,1.427e-02
257.9,2996.1312,769.2379,1.430e-02,1.445e-02
260.9,3024.4594,773.4510,1.444e-02,1.451e-02
