x_m,rms_L_mm,rms_V_mm,rms_Tcw_rad,rms_Tg_rad
21.0,0.0000,0.0000,6.843e-12,2.901e-13
43.9,0.0000,0.0000,3.692e-23,2.333e-24
46.4,0.2112,0.1761,4.788e-05,4.477e-06
48.8,0.0000,0.0000,3.054e-23,4.812e-24
49.9,1.1443,0.8201,8.284e-05,2.189e-05
50.8,2.3522,1.9908,2.991e-04,5.215e-05
57.5,14.6280,11.7722,1.949e-03,3.062e-04
65.9,35.9276,23.6007,3.131e-03,6.226e-04
71.9,54.2897,31.9544,3.585e-03,8.485e-04
77.9,74.5787,40.1926,3.907e-03,1.071e-03
86.4,105.8321,52.0830,4.112e-03,1.392e-03
89.9,119.2797,55.8599,4.374e-03,1.492e-03
92.2,128.1541,58.2627,4.497e-03,1.555e-03
100.8,162.9259,69.9795,4.248e-03,1.869e-03
106.6,186.6990,77.5105,4.104e-03,2.069e-03
113.9,217.2965,86.9737,3.908e-03,2.318e-03
121.0,246.9138,95.8345,3.755e-03,2.549e-03
126.7,270.9955,102.9022,3.661e-03,2.732e-03
135.3,306.7798,113.0519,3.611e-03,2.992e-03
141.1,330.2725,119.8973,3.598e-03,3.166e-03
146.9,353.8074,125.2587,3.739e-03,3.299e-03
155.4,387.1105,132.6868,3.800e-03,3.480e-03
161.1,408.9774,138.7839,3.742e-03,3.628e-03
167.9,434.0651,145.2698,3.795e-03,3.783e-03
175.4,460.5510,152.1921,3.907e-03,3.946e-03
181.1,479.6812,157.2185,4.020e-03,4.062e-03
189.7,506.3814,164.2874,4.199e-03,4.222e-03
195.4,522.5948,168.9941,4.327e-03,4.327e-03
203.9,543.9460,174.1839,4.445e-03,4.437e-03
204.1,544.2820,174.2678,4.445e-03,4.439e-03
209.9,557.3460,177.4230,4.472e-03,4.493e-03
215.9,571.6605,180.8462,4.524e-03,4.560e-03
223.8,590.1879,185.0045,4.600e-03,4.637e-03
230.9,606.9689,188.5221,4.672e-03,4.702e-03
238.0,623.2415,191.8437,4.742e-03,4.761e-03
245.9,641.1666,195.3489,4.814e-03,4.823e-03
251.9,654.1755,197.8707,4.865e-03,4.868e-03
257.9,666.9980,200.3728,4.920e-03,4.913e-03
260.9,673.0838,201.3191,4.935e-03,4.929e-03
263.9,679.2196,202.2103,4.946e-03,4.943e-03
269.9,690.9034,204.4528,4.990e-03,4.983e-03
277.6,705.2228,207.1002,5.054e-03,5.030e-03
284.9,718.0769,209.5430,5.124e-03,5.074e-03
291.6,729.1995,211.6774,5.186e-03,5.114e-03
299.9,741.7825,214.1678,5.257e-03,5.162e-03
305.7,749.9921,215.8131,5.300e-03,5.194e-03
311.9,758.0714,217.5911,5.353e-03,5.230e-03
317.9,765.3010,218.8164,5.362e-03,5.254e-03
319.8,767.3551,219.1337,5.362e-03,5.260e-03
325.4,773.3626,220.4481,5.400e-03,5.287e-03
333.8,781.2197,222.2044,5.448e-03,5.324e-03
339.4,785.7272,223.2657,5.472e-03,5.347e-03
347.8,791.3124,224.6706,5.490e-03,5.377e-03
353.9,794.5175,225.5508,5.490e-03,5.397e-03
359.9,796.8714,226.2812,5.482e-03,5.413e-03
367.3,798.6838,227.0791,5.462e-03,5.431e-03
374.9,799.2177,227.3166,5.451e-03,5.437e-03
375.1,799.2160,227.3047,5.451e-03,5.437e-03
381.2,798.5582,226.8189,5.468e-03,5.424e-03
389.6,796.1932,225.8256,5.514e-03,5.398e-03
395.1,793.7223,225.0450,5.533e-03,5.378e-03
401.9,789.7849,223.9580,5.543e-03,5.351e-03
409.0,784.6933,222.6698,5.535e-03,5.320e-03
